source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,count_delayed_services_3min,total_services,monthly_true_total_services,monthly_pure_delay_count,monthly_cancellation_count,ratio_departure_delayed,ratio_arrival_delayed,ratio_arrival_delayed_3min,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,target_absolute,target_threshold_month_relative,target_relative,target_schedule_adherence,target_regulatory_punctuality,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
DMNZ,WP,2019-02-01,2019,2,7,903.0,0.51,329,3113.0,1.76,313,111,1768,1768.0,246.0,67.0,0.1861,0.177,0.0628,5,1878,1,1878.0,0,4,3907.0,3867.0,7774.0,9.0,4.5,4.5,8,18.0,9.0,9.0,8590.0,8590.0,17180.0,0,0.0,32,0.0,0.0,6.028220342838073,51.00000035762787,1.5399999842047691,0.0015922618691720778,16.080484133391153,84.96,5.65180662771066,6.021720377126864,51.00000035762787,1.5399999842047691,0.0015922618691720778,16.080484133391153,84.96,5.64530670398935,0,0.0,8.0,20.0,0.263,0,0,0.2891,0,0.177,0.0628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.8660254037844386,0.5000000000000001,0.0552542582154274,0.08523380756378174
DMNZ,WP,2020-02-01,2020,2,7,1486.0,0.85,494,5349.0,3.05,518,204,1753,1753.0,408.0,110.0,0.2818,0.2955,0.1164,1,2033,1,2033.0,0,4,4217.0,4175.0,8392.0,9.0,4.5,4.5,9,19.0,10.0,9.0,8922.67,8940.0,17862.67,0,0.0,36,0.0,0.0,6.908695560248419,132.0000005811453,0.48999999463558197,0.00030172413118697444,26.566092664482948,116.64,6.476511587356699,6.902195591179804,132.0000005811453,0.48999999463558197,0.00030172413118697444,26.566092664482948,116.64,6.470011671726731,0,0.0,9.0,20.0,0.263,1,1,0.2891,1,0.2955,0.1164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.8660254037844386,0.5000000000000001,0.0933254286646843,0.07362528890371323
GDM,CL,2019-02-01,2019,2,8,882.0,0.43,347,2205.0,1.06,312,89,2072,2072.0,268.0,44.0,0.1675,0.1506,0.043,21,2296,1,2296.0,0,6,4584.0,4584.0,9168.0,18.0,9.0,9.0,4,17.0,8.5,8.5,4597.0,4584.0,9181.0,0,0.0,24,0.0,0.0,5.807779751280101,53.90000034123659,2.8000000193715096,0.0031994046903924926,15.335881549687613,82.439995,5.302124968330775,5.801279784285552,53.90000034123659,2.8000000193715096,0.003020833265812447,15.335881549687613,82.439995,5.295625055297499,0,0.0,8.0,20.0,0.263,0,0,0.2891,0,0.1506,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.8660254037844386,0.5000000000000001,0.10440821945667267,0.07542423903942108
GDM,CL,2020-02-01,2020,2,8,1317.0,0.6,439,6235.0,2.82,554,257,2209,2209.0,392.0,162.0,0.1987,0.2508,0.1163,52,2312,1,2312.0,0,6,4621.0,4620.0,9241.0,18.0,9.0,9.0,4,17.0,8.5,8.5,4627.0,4614.0,9241.0,0,0.0,24,0.0,0.0,6.830034454321039,131.4000006094575,2.3799999952316284,0.00022988505233293292,25.569461005857622,107.64,6.373353426141301,6.8235344886779785,131.4000006094575,2.3799999952316284,0.0002442528681037412,25.569461005857622,107.64,6.366853515649664,0,0.0,9.0,20.0,0.263,0,1,0.2891,0,0.2508,0.1163,0.0018107741,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.998,1,0.8660254037844386,0.5000000000000001,0.1354384571313858,0.11238657683134079
HTO,HT,2023-02-01,2023,2,1,1419.0,1.62,485,4692.0,5.36,553,208,875,875.0,440.0,113.0,0.5543,0.632,0.2377,0,1191,1,1191.0,0,4,2494.0,2432.0,4926.0,7.0,3.5,3.5,13,40.85714285714286,21.0,19.857142857142858,11915.0,13584.0,25499.0,0,0.0,52,0.0,0.0,5.366559500501136,23.900000289082527,0.07000000029802322,0.0,14.288022000741746,74.520004,5.452943436490993,5.379559632717809,23.900000289082527,0.07000000029802322,0.0,14.288022000741746,74.520004,5.46594352840579,0,0.0,8.0,20.0,0.263,1,1,0.2891,1,0.632,0.2377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.8660254037844386,0.5000000000000001,0.11558256298303604,0.09936689585447311
STZ,DLD,2023-02-01,2023,2,6,689.0,0.82,547,1374.0,1.63,556,23,841,841.0,542.0,14.0,0.6504,0.6611,0.0273,0,1154,1,1154.0,0,4,2278.0,2278.0,4556.0,7.0,3.5,3.5,6,12.0,6.0,6.0,4564.0,4553.0,9117.0,0,0.0,24,0.0,0.0,5.388488210333024,31.200000301003456,0.3500000014901161,0.0,13.967860006505536,74.520004,5.296300662359933,5.39667272442464,30.600000396370888,0.3500000014901161,0.0,14.246115276501293,78.12,5.352327448864734,0,0.0,8.0,20.0,0.263,1,1,0.2891,1,0.6611,0.0273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.8660254037844386,0.5000000000000001,0.11796966940164566,0.14408618211746216
VP,AHPR,2019-02-01,2019,2,3,786.0,0.87,416,1590.0,1.77,106,56,900,900.0,63.0,43.0,0.4622,0.1178,0.0622,0,987,1,987.0,0,4,1979.0,1979.0,3958.0,7.0,3.5,3.5,4,5.0,2.5,2.5,1979.0,1979.0,3958.0,0,0.0,16,0.0,0.0,5.7333302605797405,57.500000193715096,4.690000109374523,0.004598214182936188,14.450808768471083,91.079994,5.252973102387928,5.752830305885125,57.500000193715096,4.690000109374523,0.004642857039081199,14.450808768471083,91.079994,5.27247321073498,0,0.0,8.0,20.0,0.263,0,0,0.2891,0,0.1178,0.0622,0.022222223,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.978,1,0.8660254037844386,0.5000000000000001,0.06824207305908203,0.047585632652044296
VP,AHPR,2020-02-01,2020,2,3,620.0,0.65,372,1178.0,1.23,100,41,956,956.0,72.0,28.0,0.3891,0.1046,0.0429,0,1034,1,1034.0,0,4,2070.0,2070.0,4140.0,7.0,3.5,3.5,4,5.0,2.5,2.5,2070.0,2067.0,4137.0,0,0.0,16,0.0,0.0,6.660724007192699,139.5000006109476,2.590000033378601,0.00022988505233293292,23.682148147245933,113.03999,6.294057333263858,6.680224062211212,139.5000006109476,2.590000033378601,0.0003591953942702077,23.682148147245933,113.03999,6.313557448914682,0,0.0,9.0,20.0,0.263,0,0,0.2891,0,0.1046,0.0429,0.020920502,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.979,1,0.8660254037844386,0.5000000000000001,0.20384107530117035,0.08658797293901443
CPS,NWK,2019-02-01,2019,2,4,795.0,0.59,272,2202.0,1.63,272,91,1348,1348.0,233.0,39.0,0.2018,0.2018,0.0675,0,1490,1,1490.0,0,4,3002.0,3001.0,6003.0,5.0,2.5,2.5,4,13.0,6.5,6.5,3001.0,3002.0,6003.0,0,0.0,16,0.0,0.0,6.1107084908289835,57.3000004068017,2.100000001490116,0.0019791666224288442,15.875460641369934,86.399994,5.781988268452031,6.1302083378624435,57.3000004068017,2.100000001490116,0.0019791666224288442,15.875460641369934,86.399994,5.801488109287762,0,0.0,8.0,20.0,0.263,0,1,0.2891,0,0.2018,0.0675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.8660254037844386,0.5000000000000001,0.07682259380817413,0.05223594605922699
CPS,NWK,2020-02-01,2020,2,4,613.0,0.4,249,9995.0,6.6,496,329,1515,1515.0,199.0,297.0,0.1644,0.3274,0.2172,0,1528,1,1528.0,0,4,3081.0,3081.0,6162.0,5.0,2.5,2.5,4,13.0,6.5,6.5,3081.0,3081.0,6162.0,0,0.0,16,0.0,0.0,7.107152485470662,127.50000105053186,1.4700000062584877,0.0003304597627285911,26.494333180802307,119.88,6.788186986898554,7.126652296418431,127.50000105053186,1.4700000062584877,0.0003304597627285911,26.494333180802307,119.88,6.807686788254771,0,0.0,9.0,20.0,0.263,1,1,0.2891,1,0.3274,0.2172,0.000660066,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.999,1,0.8660254037844386,0.5000000000000001,0.13403549790382385,0.17969034612178802
