source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,LogisticRegression_TWCW_pred,LogisticRegression_TWCW_proba
TBR,TBU,2024-01,2024,1,4,1420.0,1.21,383,7088.0,6.04,526,1173,0.3265,0.4484,0,1101,1,1101.0,0,4,2207.0,2207.0,4414.0,10.0,5.0,5.0,4,5.0,2.5,2.5,2207.0,3170.0,5377.0,0,0.0,16,0.0,0.0,3.5069140094752993,0.07876344158324183,0.007809139688008575,0.0013844085712065941,18.121215117874964,34.0316119777259,3.577411296917626,3.4679140745241557,0.07876344158324183,0.007809139688008575,0.0013978494311212212,18.121215117874964,34.0316119777259,3.5384113270268647,1,0.0323,8.0,22.0,0.2629,1,0.017902814,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.982,1,0.49999999999999994,0.8660254037844387,0.0,0.4601525813922722
HMBV,HMH,2024-01,2024,1,2,1110.0,1.21,262,4023.0,4.37,329,920,0.2848,0.3576,0,952,1,952.0,0,5,1911.0,1887.0,3798.0,11.0,6.0,5.0,5,6.5,5.0,1.5,1911.0,1911.0,3822.0,2,0.5,25,1.1022332815225997,0.325,3.2602822552635384,0.07809139854244647,0.005833333328125938,0.0035483870174615613,16.6981600767342,31.936934551244143,3.313776884903951,3.212137076087416,0.07594086116640478,0.004610215093419757,0.0035483870174615613,17.00263116100142,32.022095927628136,3.2838440539755966,1,0.0323,8.0,22.0,0.2629,1,0.006521739,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.993,1,0.49999999999999994,0.8660254037844387,0.0,0.44291147239306866
ASDM,ASD,2024-01,2024,1,4,3411.0,1.43,1252,10728.0,4.48,1405,2392,0.5234,0.5874,0,3124,1,3124.0,0,6,8196.0,7249.0,15445.0,4.666666666666667,2.3333333333333335,2.3333333333333335,22,37.45,19.2,18.25,12740.27,22105.16,34845.43,1,0.0625,132,0.5581106265512472,0.16666666666666666,3.7689301700291216,0.09247311911675879,0.004139784993904252,0.0,19.63019658833422,34.01661194011729,2.929682820669866,3.8271746891801075,0.08938172116114568,0.006962365540926174,0.0,18.942104511804157,33.40887008046591,2.7498897453920255,1,0.0323,8.0,22.0,0.2629,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,1.0,0.9364520100129275
ZP,DV,2024-01,2024,1,16,1520.0,1.26,451,7184.0,5.95,429,1208,0.3733,0.3551,8,1240,1,1240.0,0,6,2656.0,3485.0,6141.0,24.0,12.0,12.0,13,31.26190476190476,16.428571428571427,14.833333333333334,6681.5,7015.0,13696.5,0,0.0,78,0.0,0.0,3.2973440817296904,0.08911290353224162,0.00122311830480573,0.002043010707023323,18.674126823743183,33.98467642068863,3.3525859977128687,3.302338739151075,0.09852150560266548,0.004516129061499591,0.0017876343686454078,18.331987683170585,33.868063609446246,3.3866801085951987,1,0.0323,8.0,22.0,0.2629,1,0.9991722,0.0,0.0,0.00082781457,0.999,0.0,0.0,0.001,0.0,1,0.49999999999999994,0.8660254037844387,1.0,0.5680487198795927
RVS,O,2024-01,2024,1,8,3053.0,2.65,979,8624.0,7.49,1054,1151,0.8506,0.9157,4,1096,1,1096.0,0,4,2180.0,2180.0,4360.0,15.0,7.5,7.5,8,26.0,13.0,13.0,4589.0,4591.0,9180.0,0,0.0,32,0.0,0.0,3.401825163310634,0.08077957016485994,0.005739247286191551,0.002137096726425713,18.719984260618045,33.91596685942783,3.601153130397721,3.3758253045229902,0.08077957016485994,0.005739247286191551,0.002110215006596459,18.719984260618045,33.91596685942783,3.575153275750958,1,0.0323,8.0,22.0,0.2629,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,1.0,0.5311534294385761
WZ,HDE,2024-01,2024,1,9,955.0,0.86,298,2472.0,2.22,333,1113,0.2677,0.2992,0,1148,1,1148.0,0,3,2312.0,1148.0,3460.0,18.0,9.0,9.0,4,18.0,9.0,9.0,2312.0,2313.0,4625.0,0,0.0,12,0.0,0.0,3.3673064623388553,0.10080645219372805,0.005174731224855428,0.001706989209157645,19.757889633697847,34.96499910918615,3.4268495071108545,3.382854860931915,0.09354838775971563,0.004233871025824418,0.0017338709289868993,19.415674152553724,34.071289413718766,3.179225823521534,1,0.0323,8.0,22.0,0.2629,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0.0,0.4869594781250152
DRH,SPTN,2024-01,2024,1,1,609.0,0.51,233,3209.0,2.69,294,1192,0.1955,0.2466,0,1225,1,1225.0,0,4,2466.0,2453.0,4919.0,6.0,3.0,3.0,4,3.0,1.5,1.5,2448.0,2453.0,4901.0,0,0.0,16,0.0,0.0,4.486634390303484,0.09260752761075573,0.007620967644196685,0.0,22.694373001975396,40.57645042352779,4.085021486821314,4.480134442663922,0.09260752761075573,0.007620967644196685,0.0,22.694373001975396,40.57645042352779,4.078521560582142,1,0.0323,8.0,22.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0.0,0.4641636334527172
RTN,RTA,2024-01,2024,1,5,1122.0,0.93,501,5112.0,4.22,580,1211,0.4137,0.4789,2,1357,1,1357.0,0,3,2575.0,1357.0,3932.0,10.0,5.0,5.0,7,14.166666666666668,7.5,6.666666666666667,6169.0,4621.0,10790.0,1,0.2,21,0.45511961331341866,0.1111111111111111,4.006881736759698,0.08387096811045883,0.002822580657178356,0.0,18.714111432753583,34.11870878101677,3.9028495071075295,3.9704489682811084,0.08131720495199965,0.004233871005795976,0.0,19.442827911146225,34.72016040740475,3.8726667194021367,1,0.0323,8.0,22.0,0.2629,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,1.0,0.5922966307334494
ED,UT,2024-01,2024,1,41,10.0,0.31,5,253.0,7.91,12,32,0.1563,0.375,1,456,1,456.0,0,9,4314.0,5018.0,9332.0,44.1,23.5,20.6,32,49.96031746031746,26.071428571428573,23.88888888888889,22735.83,33161.44,55897.270000000004,2,0.09090909090909091,288,1.531574161186449,0.5333333333333333,3.2422312177437287,0.09193548511072833,0.004892473129094929,0.0028360214419863236,17.877992964559986,33.122902318995486,3.26595434445327,3.541932883702459,0.08750000020228726,0.007338709728692168,0.0017338709289868993,18.468390858301554,33.6870959292176,3.593411382152549,1,0.0323,8.0,22.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.49999999999999994,0.8660254037844387,1.0,0.8497590218382823
BN,AMRI,2024-01,2024,1,7,133.0,0.65,42,686.0,3.33,56,206,0.2039,0.2718,0,307,1,307.0,0,4,594.0,594.0,1188.0,12.0,6.0,6.0,4,9.0,4.5,4.5,594.0,594.0,1188.0,0,0.0,16,0.0,0.0,3.071728443852075,0.10416666697710752,0.005174731104684773,0.001706989209157645,17.676085703956183,33.25886998573939,3.1002903169782092,3.1307312451097715,0.10241935555372507,0.0013172043166974538,0.001706989209157645,18.123256162770332,33.35564434047668,3.1746828557112283,1,0.0323,8.0,22.0,0.2629,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0.0,0.3742510222485052
