source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
RSD,ETN,2019-04-01,2019,4,13,330.0,0.3,63,1830.0,1.68,60,1092,0.0577,0.0549,33,1125,1,1125.0,0,9,2224.0,4367.0,6591.0,39.5,20.5,19.0,3,23.0,12.0,11.0,2277.0,1125.0,3402.0,1,0.16666666666666666,27,0.5138983423697507,0.14285714285714285,10.499764022357866,0.04097222258440322,0.00019444444527228673,0.0,13.761476089391444,27.142499268054962,11.0519168012672,10.446013986226172,0.05194444457689921,0.0,0.0,13.328043191797203,27.581499291128583,10.974000084896883,4,0.1333,8.0,20.0,0.2629,0,0.99542123,0.0,0.0,0.004578755,0.995,0.0,0.0,0.005,0.0,2,0.8660254037844387,-0.4999999999999998,1.0,0.0
RSD,ETN,2021-04-01,2021,4,13,197.0,0.17,111,3301.0,2.91,109,1135,0.0978,0.096,30,2189,1,2189.0,0,7,2714.0,5856.0,8570.0,39.08333333333333,21.333333333333332,17.75,4,24.0,12.0,12.0,4313.0,1369.0,5682.0,0,0.0,28,0.0,0.0,6.617749973327025,0.05055555577079455,0.009819444351726108,0.0005694444317163693,13.756477262121107,27.34649926159117,7.755805549439457,6.558097205621501,0.05208333364377419,0.010888888738635513,0.0006805555403439535,13.179823574754927,27.620499272478952,7.623583332780335,4,0.1333,8.0,19.0,0.2629,0,0.9682819,0.0,0.0,0.0,0.968,0.0,0.0,0.0,0.032,2,0.8660254037844387,-0.4999999999999998,1.0,1.0
DDR,RTB,2024-01-01,2024,1,19,3454.0,1.54,916,17321.0,7.74,894,2237,0.4095,0.3996,120,2665,1,2665.0,0,14,5041.0,9112.0,14153.0,35.714285714285715,17.857142857142858,17.857142857142858,8,13.5,6.75,6.75,9371.0,7843.0,17214.0,1,0.1,112,0.45511961331341866,0.1111111111111111,3.829271595179033,0.08481182868001602,0.0033870967285286996,0.0005645161164143394,19.167625067054583,34.48499909459904,3.823357568362788,3.9743817768069687,0.08387096811045883,0.002822580657178356,0.0,18.714111432753583,34.11870878101677,3.870349486869189,1,0.0323,8.0,22.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.49999999999999994,0.8660254037844387,1.0,1.0
MP,SWK,2022-04-01,2022,4,14,1151.0,0.61,429,6679.0,3.52,444,1900,0.2258,0.2337,35,2022,1,2022.0,0,7,5915.0,4487.14,10402.14,48.66666666666667,20.666666666666668,28.0,6,34.0,17.0,17.0,4074.0,3949.0,8023.0,0,0.0,42,0.0,0.0,8.684097230951819,0.08875000100168917,0.005541666773044401,0.004513888852670789,15.682612278064092,30.30899922317929,8.982916683165563,8.630125204535823,0.0791666671116319,0.006319444543785519,0.0037777777321429716,16.677879329605236,30.601499165429008,9.014569682420955,4,0.1333,9.0,18.0,0.2629,0,0.5831579,0.0,0.0,0.0,0.583,0.0,0.0,0.0,0.417,2,0.8660254037844387,-0.4999999999999998,1.0,1.0
SWK,MP,2024-01-01,2024,1,14,2372.0,1.13,916,12636.0,6.0,1176,2107,0.4347,0.5581,17,1962,1,1962.0,0,6,4163.0,4111.0,8274.0,34.0,17.0,17.0,7,48.66666666666667,20.666666666666668,28.0,6108.0,5213.0,11321.0,0,0.0,42,0.0,0.0,3.4390161880642496,0.09690860252306667,0.0015994623924295108,0.002647849403181544,19.907589498066134,34.85999906575808,3.2671075399254037,3.33071236728981,0.10672043094671863,0.0030107527310329098,0.0035618278773761887,19.336175351613953,35.2519345706509,3.1930107548382254,1,0.0323,8.0,22.0,0.2629,1,0.5609872,0.0,0.0,0.0009492169,0.561,0.0,0.0,0.001,0.438,1,0.49999999999999994,0.8660254037844387,1.0,1.0
TB,BTL,2020-05-01,2020,5,17,0.0,0.0,0,4200.0,60.0,70,70,0.0,1.0,0,88,1,88.0,0,10,10188.0,7035.0,17223.0,31.6,17.8,13.8,7,20.0,11.0,9.0,5494.0,5419.0,10913.0,1,0.1111111111111111,70,1.4426950408889634,0.5,13.87536304003449,0.024193548787665622,0.0,0.0,13.327520147927347,28.194192798547846,15.438938335064918,13.93555107616609,0.026209677639667705,0.0,0.0,12.95097365254356,27.22499922206325,15.484677398717531,3,0.0968,10.0,19.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.49999999999999994,-0.8660254037844387,0.0,0.0
TB,BTL,2022-01-01,2022,1,17,89.0,1.06,42,481.0,5.73,42,84,0.5,0.5,4,93,1,93.0,0,11,10360.95,7089.0,17449.95,30.46666666666667,16.666666666666668,13.8,7,20.0,11.0,9.0,5587.0,5492.0,11079.0,1,0.1,77,1.4426950408889634,0.5,4.432284986860649,0.05443548471216233,0.001317204276640569,0.0,14.479430963515595,27.08467665603084,4.322002723492602,4.390927420248107,0.05524193612678397,0.0011290322828997848,0.0,14.349867335090073,26.551934668934475,4.234543000718438,1,0.0323,10.0,21.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.49999999999999994,0.8660254037844387,1.0,0.0
TB,BTL,2022-05-01,2022,5,17,227.0,2.67,58,542.0,6.38,48,85,0.6824,0.5647,3,93,1,93.0,0,11,10446.0,7101.0,17547.0,31.46666666666667,17.666666666666668,13.8,9,23.8,12.8,11.0,5634.0,5571.0,11205.0,2,0.2222222222222222,99,1.9235933878519513,0.625,15.014475953194403,0.08266128965162782,0.0,0.0,12.293514553257214,25.808225074122028,16.59827980174813,15.121975813501624,0.0909946240504743,0.0,0.0,11.863218348032685,24.53467677229194,16.321438133716583,1,0.0323,9.0,21.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.49999999999999994,-0.8660254037844387,1.0,1.0
NKK,HD,2020-06-01,2020,6,16,26.0,0.87,9,33.0,1.1,10,30,0.3,0.3333,0,34,1,34.0,0,7,2496.0,2322.0,4818.0,19.083333333333336,9.75,9.333333333333334,7,28.416666666666664,10.666666666666666,17.75,2321.0,2404.0,4725.0,0,0.0,49,0.0,0.0,17.538013652298186,0.10541666681981748,0.0,0.0,13.16128909703758,26.9869992699888,18.43016638225979,17.51875014702479,0.0965277787608405,0.0,0.0,13.347991582834059,27.72799924943182,18.676389102141062,1,0.0333,8.0,21.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,1.0,0.0
NKK,AVAT,2024-03-01,2024,3,5,1287.0,1.14,740,2170.0,1.92,752,1132,0.6537,0.6643,31,1148,1,1148.0,0,6,2348.0,2348.0,4696.0,17.0,7.666666666666667,9.333333333333334,4,8.0,4.0,4.0,2313.0,3331.0,5644.0,0,0.0,24,0.0,0.0,8.59733574140521,0.0724091521322647,0.00047106325907148873,0.0,14.724721059183093,27.17684994250897,8.511871413298923,8.603835801998828,0.0724091521322647,0.00047106325907148873,0.0,14.724721059183093,27.17684994250897,8.518371463945062,2,0.0645,10.0,20.0,0.2629,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,6.123233995736766e-17,0.0,1.0
NKK,AVAT,2024-05-01,2024,5,5,1405.0,1.24,720,3324.0,2.92,763,1137,0.6332,0.6711,1,1148,1,1148.0,0,6,2347.0,2347.0,4694.0,17.0,7.666666666666667,9.333333333333334,4,8.0,4.0,4.0,2311.0,3299.0,5610.0,0,0.0,24,0.0,0.0,15.367088451180408,0.18870967885939985,0.0,0.0,11.48896536899991,22.708063953025366,15.756066938882233,15.373588687630109,0.18870967885939985,0.0,0.0,11.48896536899991,22.708063953025366,15.762567183022858,3,0.0968,8.0,21.0,0.2629,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.49999999999999994,-0.8660254037844387,0.0,1.0
UTT,VTN,2021-05-01,2021,5,2,788.0,0.47,388,2153.0,1.28,209,1686,0.2301,0.124,0,1859,1,1859.0,0,4,3693.0,3693.0,7386.0,4.0,2.0,2.0,4,11.0,5.5,5.5,3693.0,3037.0,6730.0,0,0.0,16,0.0,0.0,10.85027693292146,0.14126344193373958,0.0,0.0,15.171506634082204,30.211934598543312,11.320572637742565,10.83077706829194,0.14126344193373958,0.0,0.0,15.171506634082204,30.211934598543312,11.30107278721307,3,0.0968,10.0,19.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.49999999999999994,-0.8660254037844387,0.0,0.0
UTT,VTN,2024-01-01,2024,1,2,2311.0,0.92,925,6107.0,2.44,1000,2508,0.3688,0.3987,14,2213,1,2213.0,0,4,3953.0,3953.0,7906.0,4.0,2.0,2.0,4,11.0,5.5,5.5,3953.0,3868.0,7821.0,0,0.0,16,0.0,0.0,3.6383816975479326,0.08561828016473721,0.008844086059158849,0.001706989209157645,19.205412822705444,33.31064427283503,2.988919338521858,3.618881808403599,0.08561828016473721,0.008844086059158849,0.001706989209157645,19.205412822705444,33.31064427283503,2.969419439944128,1,0.0323,8.0,22.0,0.2629,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0.0,1.0
