source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,total_services_lag1,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
HDRZ,ANA,2024-02-01,2024,2,11,494.0,0.43,220,4489.0,3.89,324,1155,0.1905,0.2805,10,1253,1,1253.0,0,3,2448.0,1253.0,3701.0,17.0,6.0,11.0,4,20.0,10.0,10.0,2448.0,2448.0,4896.0,0.0,0.0,12.0,0.0,0.0,7.65664961985473,0.18520115018319125,0.0030172414563853166,0.0,23.435662244371642,42.770171074346564,7.408804806484573,7.669649380548247,0.18520115018319125,0.0030172414563853166,0.0,23.435662244371642,42.770171074346564,7.421804602118744,0,0.0,8.0,21.0,0.263,1,0.9748918,0.0,0.0,0.0,0.975,0.0,0.0,0.0,0.025,1,0.8660254037844386,0.5000000000000001,0.0,0.0
OTB,WF,2024-02-01,2024,2,4,471.0,0.62,204,771.0,1.01,209,760,0.2684,0.275,0,908,1,908.0,0,4,1798.0,912.0,2710.0,8.0,4.0,4.0,4,13.0,6.5,6.5,1798.0,894.6,2692.6,0.0,0.0,16.0,0.0,0.0,7.456888023913763,0.189224138566903,0.002614942625507541,0.0,17.70775881572359,33.651723258111666,7.147117930410922,7.495887802892375,0.189224138566903,0.002614942625507541,0.0,17.70775881572359,33.651723258111666,7.186117758867384,0,0.0,8.0,21.0,0.263,1,0.005263158,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.995,1,0.8660254037844386,0.5000000000000001,0.0,1.0
RSD,DDR,2024-01-01,2024,1,38,1356.0,1.12,385,9597.0,7.89,596,1216,0.3166,0.4901,126,1124,1,1124.0,0,8,2274.0,5215.0,7489.0,43.46666666666667,24.666666666666668,18.8,14,35.714285714285715,17.857142857142858,17.857142857142858,2836.0,7185.0,10021.0,1.0,0.09090909090909091,112.0,0.6213349345596119,0.2,3.772360194033833,0.08588709715273112,0.005739247286191551,0.0013306451315480855,18.323154083182736,34.0437087708263,3.777064482063075,3.829271595179033,0.08481182868001602,0.0033870967285286996,0.0005645161164143394,19.167625067054583,34.48499909459904,3.823357568362788,1,0.0323,8.0,22.0,0.263,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.49999999999999994,0.8660254037844387,1.0,0.0
DRH,BV,2024-01-01,2024,1,5,1079.0,0.94,362,3330.0,2.89,417,1154,0.3137,0.3614,0,1147,1,1147.0,0,4,2314.0,2314.0,4628.0,6.0,3.0,3.0,8,24.25,10.75,13.5,2315.84,2315.84,4631.68,0.0,0.0,32.0,0.0,0.0,4.486634390303484,0.09260752761075573,0.007620967644196685,0.0,22.694373001975396,40.57645042352779,4.085021486821314,4.511021501049199,0.09946236614218001,0.0034811828205341933,0.0,23.045490062124628,39.68370856200495,4.168212362720321,1,0.0323,8.0,22.0,0.263,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,1.0,0.0
DB,ED,2024-01-01,2024,1,29,1441.0,1.47,395,6322.0,6.43,510,983,0.4018,0.5188,1,824,1,824.0,0,10,4494.0,4696.0,9190.0,30.0,15.0,15.0,9,44.1,23.5,20.6,4108.0,4476.0,8584.0,2.0,0.25,90.0,1.249862498521946,0.38596491228070173,3.550760696201475,0.0912634415592077,0.007903225930227388,0.0019892472673648147,18.645406234328465,34.88370886925728,3.6739462164821486,3.2422312177437287,0.09193548511072833,0.004892473129094929,0.0028360214419863236,17.877992964559986,33.122902318995486,3.26595434445327,1,0.0323,8.0,22.0,0.263,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.49999999999999994,0.8660254037844387,1.0,0.0
ED,KLP,2024-01-01,2024,1,7,1304.0,1.07,562,6584.0,5.42,666,1214,0.4629,0.5486,32,1191,1,1191.0,0,9,4108.0,4476.0,8584.0,44.1,23.5,20.6,6,42.0,21.0,21.0,2411.0,2362.0,4773.0,2.0,0.3333333333333333,54.0,0.9609582064547204,0.25263157894736843,3.2422312177437287,0.09193548511072833,0.004892473129094929,0.0028360214419863236,17.877992964559986,33.122902318995486,3.26595434445327,3.3267312269127096,0.09193548511072833,0.004892473129094929,0.0026344085432669167,17.877992964559986,33.122902318995486,3.3504543316510498,1,0.0323,8.0,22.0,0.263,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.49999999999999994,0.8660254037844387,1.0,0.0
RSD,ZLW,2024-01-01,2024,1,23,64.0,1.56,16,186.0,4.54,8,41,0.3902,0.1951,22,59,1,59.0,0,8,2274.0,5215.0,7489.0,43.46666666666667,24.666666666666668,18.8,10,28.0,14.0,14.0,4104.0,4103.0,8207.0,1.0,0.1111111111111111,80.0,0.5138983423697507,0.14285714285714285,3.772360194033833,0.08588709715273112,0.005739247286191551,0.0013306451315480855,18.323154083182736,34.0437087708263,3.777064482063075,3.772502806272999,0.08172043068434602,0.004045698982012528,0.001290322551804204,18.885062604501684,33.66338620262761,3.669075362379312,1,0.0323,8.0,22.0,0.263,0,0.46341464,0.0,0.0,0.024390243,0.463,0.0,0.0,0.024,0.513,1,0.49999999999999994,0.8660254037844387,1.0,0.0
ASN,HRN,2024-02-01,2024,2,22,1031.0,0.81,308,2690.0,2.12,339,1269,0.2427,0.2671,5,1328,1,1328.0,0,9,4536.0,3583.0,8119.0,76.0,37.333333333333336,38.666666666666664,4,26.0,13.0,13.0,2683.0,2465.0,5148.0,0.0,0.0,36.0,0.0,0.0,7.115804608996915,0.18060344839789744,0.005129310377370352,0.0002155172365621246,18.61681886137217,34.15448182273185,6.63548850910417,7.169008574801786,0.17887931234663587,0.0037212643836592807,0.0002155172365621246,19.114416601842848,35.208102523595436,6.792643685450499,0,0.0,8.0,21.0,0.263,1,0.06934594,0.0,0.0,0.00078802207,0.069,0.0,0.0,0.001,0.93,1,0.8660254037844386,0.5000000000000001,1.0,0.0
OTB,AH,2024-02-01,2024,2,4,28.0,7.0,3,28.0,7.0,3,4,0.75,0.75,0,4,1,4.0,0,4,1798.0,912.0,2710.0,8.0,4.0,4.0,14,21.714285714285715,10.857142857142858,10.857142857142858,7830.0,8120.0,15950.0,0.0,0.0,56.0,0.0,0.0,7.456888023913763,0.189224138566903,0.002614942625507541,0.0,17.70775881572359,33.651723258111666,7.147117930410922,7.476301933702981,0.19137931162298755,0.0004022988522874898,0.0,17.842594130970966,33.56327501384691,7.157480054888232,0,0.0,8.0,21.0,0.263,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.8660254037844386,0.5000000000000001,1.0,1.0
ASN,ZL,2024-02-01,2024,2,78,592.0,0.6,298,4560.0,4.64,405,983,0.3032,0.412,11,1114,1,1114.0,0,9,4536.0,3583.0,8119.0,76.0,37.333333333333336,38.666666666666664,16,96.0,52.0,44.0,6412.71,10156.14,16568.85,2.0,0.14285714285714285,144.0,1.4426950408889634,0.5,7.115804608996915,0.18060344839789744,0.005129310377370352,0.0002155172365621246,18.61681886137217,34.15448182273185,6.63548850910417,7.550574714917389,0.17499999947118006,0.0035201148183523923,0.00011494252616646646,19.255094976860217,34.37534390167258,7.149066085788025,0,0.0,8.0,21.0,0.263,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.8660254037844386,0.5000000000000001,1.0,1.0
ASA,ASDM,2024-02-01,2024,2,2,994.0,0.94,325,7460.0,7.02,512,1063,0.3057,0.4817,0,1484,1,1484.0,0,10,9207.0,9107.0,18314.0,18.8,9.4,9.4,7,5.583333333333334,2.3333333333333335,3.25,6143.0,5474.5,11617.5,2.0,0.2857142857142857,70.0,0.8340647828484926,0.18181818181818182,7.763299092404202,0.185775863006711,0.0012068965782721837,0.0,19.652092345144556,34.550688718242206,7.390885255117526,7.763299092404202,0.185775863006711,0.0012068965782721837,0.0,19.652092345144556,34.550688718242206,7.390885255117526,0,0.0,8.0,21.0,0.263,1,0.00094073376,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.999,1,0.8660254037844386,0.5000000000000001,1.0,0.0
ASA,UT,2024-02-01,2024,2,33,1878.0,0.81,742,13033.0,5.64,1228,2310,0.3212,0.5316,0,3007,1,3007.0,0,10,9207.0,9107.0,18314.0,18.8,9.4,9.4,31,43.03846153846154,21.53846153846154,21.5,22408.09,33103.8,55511.89,3.0,0.14285714285714285,310.0,1.3149631298114803,0.3068181818181818,7.763299092404202,0.185775863006711,0.0012068965782721837,0.0,19.652092345144556,34.550688718242206,7.390885255117526,7.762977176527867,0.1790229899102244,0.001910919526955862,0.0,18.63424655966375,34.2796542658203,7.414988690751723,0,0.0,8.0,21.0,0.263,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.8660254037844386,0.5000000000000001,1.0,1.0
DVC,HON,2024-01-01,2024,1,15,1423.0,1.46,506,2861.0,2.94,535,972,0.5206,0.5504,1,907,1,907.0,0,4,1833.0,1740.0,3573.0,19.0,9.5,9.5,4,22.0,11.0,11.0,1832.0,1833.0,3665.0,0.0,0.0,16.0,0.0,0.0,3.2958387875859376,0.09852150560266548,0.004516129061499591,0.0017876343686454078,18.331987683170585,33.868063609446246,3.380180171130085,3.124978540520314,0.10846774259041395,0.0036693547241469864,0.0017473117889015264,17.85289161812554,33.52741850415865,3.139830657886842,1,0.0323,8.0,22.0,0.263,1,0.0030864198,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.997,1,0.49999999999999994,0.8660254037844387,1.0,1.0
KBD,KRG,2024-01-01,2024,1,7,1645.0,1.43,361,7462.0,6.49,504,1150,0.3139,0.4383,0,1712,1,1712.0,0,4,3462.0,3462.0,6924.0,10.0,5.0,5.0,4,13.0,6.5,6.5,3457.0,3462.0,6919.0,0.0,0.0,16.0,0.0,0.0,4.035319994639365,0.09663978504437593,0.0018817204681615676,0.0013306451315480855,19.421654312841355,33.13645065151235,3.8128737121449925,4.338459686461276,0.08615591498191959,0.001693548414335456,0.0012365591121456956,21.93343339684189,38.412579557588025,4.232276915352271,1,0.0323,8.0,22.0,0.263,1,0.7486957,0.0,0.0,0.0,0.749,0.0,0.0,0.0,0.251,1,0.49999999999999994,0.8660254037844387,0.0,0.0
HTO,RS,2024-01-01,2024,1,6,1066.0,0.93,243,6325.0,5.53,382,1143,0.2126,0.3342,0,1084,1,1084.0,0,4,2205.0,2137.0,4342.0,7.0,3.5,3.5,4,17.0,8.5,8.5,2205.0,2205.0,4410.0,0.0,0.0,16.0,0.0,0.0,3.4519569635271066,0.08682795784245896,0.006680107515265224,0.0013709677112919668,18.203224191101647,33.09628944948155,3.7094166512621105,3.443634432517693,0.08427419376269144,0.006774193477085842,0.0018279569483892891,18.185909268997047,33.61983766927514,3.725825328051904,1,0.0323,8.0,22.0,0.263,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,1.0,0.0
MRN,VNDW,2024-01-01,2024,1,14,1707.0,1.5,1048,4527.0,3.99,1091,1136,0.9225,0.9604,1,1127,1,1127.0,0,4,2275.0,2240.0,4515.0,22.0,11.0,11.0,4,15.0,7.5,7.5,2274.0,2274.0,4548.0,0.0,0.0,16.0,0.0,0.0,3.511760746940009,0.0912634415592077,0.007903225930227388,0.0021908601660842217,18.645406234328465,34.88370886925728,3.6349462421150296,3.430424693371019,0.08924731271721983,0.007809139768122345,0.0021908601660842217,18.46898420619708,33.55887008418319,3.4291477994267296,1,0.0323,8.0,22.0,0.263,1,0.0,0.0,0.0,0.0008802817,0.0,0.0,0.0,0.001,0.999,1,0.49999999999999994,0.8660254037844387,1.0,0.0
GP,HZE,2024-01-01,2024,1,5,1116.0,1.23,342,3257.0,3.6,392,904,0.3783,0.4336,0,885,1,885.0,0,4,1778.0,1475.0,3253.0,11.0,5.5,5.5,4,15.0,7.5,7.5,1778.0,1778.0,3556.0,0.0,0.0,16.0,0.0,0.0,3.225344066858612,0.0779569896578949,0.0052688172267329305,0.005403225685680105,16.5179996062671,32.13725709915161,3.350075255258269,3.1865565473594333,0.07795698958779534,0.007903225790028291,0.005403225685680105,16.584412390346166,32.664676465013976,3.372174811319158,1,0.0323,8.0,22.0,0.263,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0.0,1.0
HON,RSN,2024-01-01,2024,1,7,1026.0,1.06,328,2477.0,2.55,360,971,0.3378,0.3708,1,907,1,907.0,0,4,1832.0,1833.0,3665.0,22.0,11.0,11.0,5,21.166666666666664,7.5,13.666666666666666,1832.0,1865.0,3697.0,0.0,0.0,20.0,0.0,0.0,3.124978540520314,0.10846774259041395,0.0036693547241469864,0.0017473117889015264,17.85289161812554,33.52741850415865,3.139830657886842,3.1918789295064065,0.10026881828783982,0.004704300995155048,0.0017473117889015264,18.48914554362656,34.38919261706773,3.2162068975333287,1,0.0323,8.0,22.0,0.263,1,0.0030895984,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.997,1,0.49999999999999994,0.8660254037844387,1.0,1.0
NMD,WC,2024-02-01,2024,2,4,1186.0,1.09,620,7395.0,6.82,743,1084,0.572,0.6854,0,1151,1,1151.0,0,4,3531.0,2912.0,6443.0,6.0,3.0,3.0,4,11.0,5.5,5.5,2294.0,2912.0,5206.0,0.0,0.0,16.0,0.0,0.0,7.747776108488826,0.17729885182503996,0.0005028735546545051,0.0,17.99581133805472,33.45930944777083,7.4083364232518205,7.754275791140958,0.17729885182503996,0.0005028735546545051,0.0,17.99581133805472,33.45930944777083,7.414836211451169,0,0.0,8.0,21.0,0.263,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.8660254037844386,0.5000000000000001,1.0,0.0
