source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,total_services_lag1,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
HVS,DVD,2019-01-01,2019,1,24,829.0,0.78,225,2532.0,2.38,251,1064,0.2115,0.2359,28,0,12,0.0,1,13,0.0,0.0,0.0,21.166666666666664,12.0,9.166666666666666,17,20.208333333333336,11.333333333333334,8.875,0.0,0.0,0.0,0.0,0.0,221.0,0.0,0.0,3.4825645320027347,0.05483871041446604,0.006680107545307888,0.0027956988622424425,16.05340471238859,30.726773420969646,3.432295682289267,3.611314463248897,0.05282258121196621,0.005174731294954976,0.0026747311230107982,17.364978714175123,31.457902469301736,3.407819847926818,1,0.0323,8.0,22.0,0.263,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.49999999999999994,0.8660254037844387,0.0,0.0
HVS,DVD,2020-05-01,2020,5,24,195.0,0.25,57,3975.0,5.02,124,792,0.072,0.1566,6,937,1,937.0,0,15,9057.0,7767.45,16824.45,25.857142857142858,14.0,11.857142857142858,15,20.482142857142858,11.625,8.857142857142858,10457.0,10454.0,20911.0,1.0,0.06666666666666667,225.0,0.5581106265512472,0.16666666666666666,12.871543120152207,0.03602150581296413,0.0,0.0,13.565938795526181,28.06209605643826,13.765158718632113,12.635777055896739,0.0297043013776983,0.0,0.0,14.929300956107596,29.183225010671922,13.927779779639295,3,0.0968,10.0,19.0,0.263,0,0.9987374,0.0,0.0,0.0,0.999,0.0,0.0,0.0,0.001,2,0.49999999999999994,-0.8660254037844387,1.0,0.0
HVS,DVD,2022-01-01,2022,1,24,345.0,0.33,139,2737.0,2.62,179,1044,0.1331,0.1715,63,1039,1,1039.0,0,14,9956.0,8315.5,18271.5,24.0,12.0,12.0,15,20.482142857142858,11.625,8.857142857142858,10900.0,10989.0,21889.0,0.0,0.0,210.0,0.0,0.0,5.059177464129584,0.07311828001852959,0.0017876344262271798,0.0,15.226922087291236,28.372257276247907,4.806422078321057,5.243706934684788,0.07043010797551884,0.005174731144741658,0.0,16.592939036828216,29.302741126027158,4.900158535809286,1,0.0323,10.0,21.0,0.263,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.49999999999999994,0.8660254037844387,1.0,1.0
HVS,DVD,2022-05-01,2022,5,24,604.0,0.5,206,6082.0,4.99,293,1218,0.1691,0.2406,55,1056,1,1056.0,0,14,9753.8,8316.0,18069.8,21.916666666666664,12.75,9.166666666666666,15,20.482142857142858,11.625,8.857142857142858,10922.0,10922.0,21844.0,1.0,0.06666666666666667,210.0,0.3459762562611936,0.05555555555555555,13.715360380629058,0.08602150515603121,0.0,0.0,12.535987296732523,25.306450973915798,14.533371089607156,13.412188318948592,0.07284946284026549,0.0,0.0,13.429043517718393,25.81257998815147,14.54511853315497,1,0.0323,9.0,21.0,0.263,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.49999999999999994,-0.8660254037844387,1.0,1.0
GVC,GD,2023-04-01,2023,4,28,310.0,0.25,140,2220.0,1.8,59,1236,0.1133,0.0477,42,1437,1,1437.0,0,5,0.0,9305.0,9305.0,9.6,0.0,9.6,16,35.23809523809524,18.666666666666668,16.571428571428573,11164.5,8860.0,20024.5,1.0,0.07692307692307693,80.0,0.5581106265512472,0.16666666666666666,8.355472402098693,0.13666666762696372,0.0,0.0,16.545717788736024,31.3889991707272,9.002694636583328,8.539986389420099,0.1147222229383058,0.0,0.0,15.576502742701107,29.23749919798639,9.203736433386803,4,0.1333,10.0,17.0,0.263,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.8660254037844387,-0.4999999999999998,1.0,0.0
AH,NM,2024-04-01,2024,4,19,486.0,0.4,176,11504.0,9.35,520,1230,0.1431,0.4228,141,1143,1,1143.0,0,13,7893.0,8108.0,16001.0,22.857142857142858,12.0,10.857142857142858,9,22.75,11.75,11.0,4684.0,7481.0,12165.0,1.0,0.09090909090909091,117.0,0.7213475204444817,0.25,10.420861384686496,0.14666666817954846,0.0015555555621782938,0.0,16.591092596948148,32.623999136024054,10.550444760256344,10.672735990169976,0.1444444448687136,0.0026249999180436136,0.0,15.87786608884732,32.33199909594324,10.787180428372489,2,0.0667,8.0,21.0,0.263,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.8660254037844387,-0.4999999999999998,1.0,0.0
ASD,ASS,2022-06-01,2022,6,4,8082.0,0.7,3002,55571.0,4.79,2302,11599,0.2588,0.1985,1105,12033,1,12033.0,0,21,9665.0,21832.0,31497.0,35.88181818181818,18.7,17.181818181818183,12,24.666666666666668,12.333333333333334,12.333333333333334,26187.0,18624.0,44811.0,1.0,0.058823529411764705,252.0,0.45511961331341866,0.1111111111111111,16.106583727068372,0.14750000023179585,0.0,0.0,12.567746569795741,24.97299928665161,17.137694962819417,16.113083054622013,0.14750000023179585,0.0,0.0,12.567746569795741,24.97299928665161,17.144194049305387,2,0.0667,8.0,21.0,0.263,0,0.46141908,0.0,0.0,8.621433e-05,0.461,0.0,0.0,0.0,0.539,3,1.2246467991473532e-16,-1.0,1.0,1.0
HN,HNK,2022-06-01,2022,6,1,762.0,0.62,173,7536.0,6.16,406,1223,0.1415,0.332,12,1306,1,1306.0,0,7,4819.0,4727.0,9546.0,36.58333333333333,19.333333333333332,17.25,4,10.0,5.0,5.0,2682.0,3820.0,6502.0,0.0,0.0,28.0,0.0,0.0,15.981361546119054,0.16055555586806602,0.0,0.0,13.333036056243712,25.713499308294722,16.82698665857315,15.981361546119054,0.16055555586806602,0.0,0.0,13.333036056243712,25.713499308294722,16.82698665857315,2,0.0667,8.0,21.0,0.263,1,0.97465247,0.0,0.0,0.00081766146,0.975,0.0,0.0,0.001,0.024,3,1.2246467991473532e-16,-1.0,0.0,1.0
ASDZ,DVD,2020-06-01,2020,6,4,719.0,0.41,217,4866.0,2.8,355,1739,0.1248,0.2041,17,1447,1,1447.0,0,12,12633.0,10122.0,22755.0,26.333333333333332,13.166666666666666,13.166666666666666,15,20.482142857142858,11.625,8.857142857142858,10074.0,10087.0,20161.0,4.0,0.4,180.0,2.404367813454491,0.736111111111111,16.858416595723895,0.1006944454068111,0.0,0.0,13.819435655242867,28.27049922214614,17.667999941772884,17.022694916857613,0.0958333347303172,0.0,0.0,14.369885161643227,28.364499188131756,17.975681142012277,1,0.0333,8.0,21.0,0.263,0,0.99942493,0.0,0.0,0.00057504314,0.999,0.0,0.0,0.001,0.0,3,1.2246467991473532e-16,-1.0,1.0,0.0
ASDZ,DVD,2024-03-01,2024,3,4,681.0,0.74,234,5489.0,5.98,344,918,0.2549,0.3747,9,653,1,653.0,0,12,10587.0,9442.0,20029.0,26.333333333333332,13.166666666666666,13.166666666666666,15,20.482142857142858,11.625,8.857142857142858,7633.0,7629.0,15262.0,4.0,0.4,180.0,2.2339478037467595,0.6444444444444445,8.475792681785805,0.07362045850078318,0.0007537012145143819,0.0,15.47013106496947,29.499649301351802,8.639857307898726,8.469308162281042,0.06393001432133234,0.00037685060725719096,0.0,15.755852521187846,28.374588719287118,8.61426103676633,2,0.0645,10.0,20.0,0.263,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1.0,6.123233995736766e-17,1.0,0.0
