source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
BRN,AMF,2023-02-01,2023,2,9,2004.0,2.24,828,4251.0,4.76,862,894,0.9262,0.9642,4,1021,1,1021.0,0,5,2542.0,3534.0,6076.0,14.666666666666668,8.0,6.666666666666667,15,46.10714285714286,23.857142857142858,22.25,12734.0,12866.0,25600.0,1,0.1,75,0.45511961331341866,0.1111111111111111,5.316988086111711,0.04642857187649324,0.000520833335550768,0.0,13.967860006505536,26.24678498754899,5.224800639597344,5.435672638555324,0.045535714875551914,0.000520833335550768,0.0,14.246115276501293,27.305356370196456,5.3913274074106345,0,0.0,8.0,20.0,0.2629,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.8660254037844386,0.5000000000000001,0.0,0.0
KRG,KBD,2021-10-01,2021,10,7,943.0,0.8,525,3845.0,3.28,248,1173,0.4476,0.2114,9,1329,1,1329.0,0,4,2646.0,2651.0,5297.0,13.0,6.5,6.5,4,10.0,5.0,5.0,2650.0,2646.0,5296.0,0,0.0,16,0.0,0.0,12.433499758035545,0.15503355796705157,0.0,0.0,18.679337937239833,33.6012877086665,12.210479631999995,12.301497011376707,0.17825503372305992,0.0,0.0,17.461841603413525,32.29803930929043,11.983174922482279,0,0.0,10.0,21.0,0.2629,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,-0.8660254037844386,0.5000000000000001,0.0,0.0
KRG,KBD,2023-10-01,2023,10,7,2384.0,1.92,720,11051.0,8.89,926,1243,0.5792,0.745,22,1395,1,1395.0,0,4,2785.0,2785.0,5570.0,13.0,6.5,6.5,4,10.0,5.0,5.0,2786.0,2786.0,5572.0,0,0.0,16,0.0,0.0,14.030949471620906,0.15771812185545095,0.0,0.0,19.549099270929425,34.772133242203886,13.897392354875603,13.792503545108257,0.1594630874143351,0.0,0.0,17.355960826665765,30.139005989996377,13.575188122819734,0,0.0,9.0,22.0,0.2629,1,0.72807723,0.0,0.0,0.0016090105,0.728,0.0,0.0,0.002,0.27,4,-0.8660254037844386,0.5000000000000001,0.0,0.0
KRG,KBD,2024-06-01,2024,6,7,1028.0,0.89,449,5743.0,4.99,572,1152,0.3898,0.4965,21,1750,1,1750.0,0,4,3457.0,3462.0,6919.0,13.0,6.5,6.5,4,10.0,5.0,5.0,3462.0,3462.0,6924.0,0,0.0,16,0.0,0.0,15.348777537875705,0.07944444462450015,0.0,0.0,15.381800914141866,29.169499211178884,16.204471968279943,15.603388939963446,0.07847222294658422,0.0,0.0,14.08659598984652,25.96999929944674,16.569361090660095,0,0.0,10.0,20.0,0.2629,1,0.7335069,0.0,0.0,0.0,0.734,0.0,0.0,0.0,0.266,3,1.2246467991473532e-16,-1.0,0.0,0.0
NVP,HFD,2019-11-01,2019,11,5,1235.0,0.73,542,3666.0,2.17,328,1692,0.3203,0.1939,0,2111,1,2111.0,0,4,4337.0,4335.0,8672.0,16.0,8.0,8.0,6,22.666666666666668,11.333333333333334,11.333333333333334,4645.33,7829.5,12474.83,0,0.0,24,0.0,0.0,6.491986079224282,0.11319444536541899,0.0,0.0,14.28489931093322,26.960499212476943,6.471777721411652,6.485486109285719,0.11319444536541899,0.0,0.0,14.28489931093322,26.960499212476943,6.465277782579263,0,0.0,9.0,21.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,-0.5000000000000004,0.8660254037844384,0.0,0.0
NVP,HFD,2021-08-01,2021,8,5,449.0,0.23,177,2408.0,1.24,153,1944,0.091,0.0787,1,2011,1,2011.0,0,4,4180.0,4180.0,8360.0,16.0,8.0,8.0,6,22.666666666666668,11.333333333333334,11.333333333333334,4275.33,7813.33,12088.66,0,0.0,24,0.0,0.0,16.80334165532102,0.11196236638852985,0.0,0.0,14.685251357414389,29.114999225062707,17.130761017081557,16.796841411180395,0.11196236638852985,0.0,0.0,14.685251357414389,29.114999225062707,17.124260772940932,0,0.0,9.0,22.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,-0.8660254037844384,-0.5000000000000004,0.0,0.0
NVP,HFD,2022-03-01,2022,3,5,912.0,0.54,355,3056.0,1.81,273,1684,0.2108,0.1621,0,2009,1,2009.0,0,4,4178.0,4178.0,8356.0,16.0,8.0,8.0,4,10.0,5.0,5.0,4168.0,7749.0,11917.0,0,0.0,16,0.0,0.0,7.0951272006300785,0.01601615072820902,0.006877523411972846,0.0002691789980210655,12.995954765686276,24.487267094377234,7.382072027567097,7.088627189182216,0.01601615072820902,0.006877523411972846,0.000296096897823172,12.995954765686276,24.487267094377234,7.375572013502006,0,0.0,8.0,23.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,6.123233995736766e-17,0.0,0.0
NWK,GD,2020-07-01,2020,7,9,671.0,0.44,335,3307.0,2.18,240,1520,0.2204,0.1579,1,1528,1,1528.0,0,4,3081.0,3081.0,6162.0,13.0,6.5,6.5,15,37.66666666666667,21.0,16.666666666666668,14934.5,10736.0,25670.5,0,0.0,60,0.0,0.0,16.899529576301575,0.10967742066870453,0.0,0.0,14.550947703661457,29.050644402221966,17.607190853805953,16.886529445648193,0.10967742066870453,0.0,0.0,14.550947703661457,29.050644402221966,17.5941905924069,0,0.0,8.0,23.0,0.2629,0,0.0,0.0,0.0,0.00065789477,0.0,0.0,0.0,0.001,0.999,3,-0.4999999999999997,-0.8660254037844388,0.0,0.0
NWK,GD,2021-09-01,2021,9,9,1791.0,1.24,643,3267.0,2.26,249,1448,0.4441,0.172,7,1516,1,1516.0,0,4,3049.0,3049.0,6098.0,13.0,6.5,6.5,16,37.16666666666667,20.5,16.666666666666668,14893.5,10719.0,25612.5,0,0.0,64,0.0,0.0,16.31111109521654,0.02958333357754681,0.0,0.0,11.989399077826077,23.236999358733495,16.52097220553292,16.29811107383834,0.02958333357754681,0.0,0.0,11.989399077826077,23.236999358733495,16.50797210401959,0,0.0,8.0,22.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,-1.0,-1.8369701987210297e-16,0.0,0.0
NWK,GD,2022-10-01,2022,10,9,937.0,0.66,367,6155.0,4.32,390,1425,0.2575,0.2737,0,1585,1,1585.0,0,4,3186.0,3186.0,6372.0,13.0,6.5,6.5,16,35.23809523809524,18.666666666666668,16.571428571428573,15134.0,10890.0,26024.0,0,0.0,64,0.0,0.0,13.676845627343095,0.05973154373416965,0.0,0.0,15.1670151052859,27.880428820488437,13.090939597315437,13.6638458879202,0.05973154373416965,0.0,0.0,15.1670151052859,27.880428820488437,13.077939994223167,0,0.0,10.0,21.0,0.2629,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,-0.8660254037844386,0.5000000000000001,0.0,0.0
NWK,GD,2023-02-01,2023,2,9,493.0,0.46,202,2161.0,2.0,249,1082,0.1867,0.2301,0,1585,1,1585.0,0,4,3186.0,3186.0,6372.0,13.0,6.5,6.5,16,35.23809523809524,18.666666666666668,16.571428571428573,14986.5,10679.67,25666.17,0,0.0,64,0.0,0.0,5.679464288222205,0.02693452429957688,0.0006250000248352686,0.0,15.304018976965121,27.674463501288777,5.747991063454676,5.666464411199004,0.02693452429957688,0.0006250000248352686,0.0,15.304018976965121,27.674463501288777,5.734991144255868,0,0.0,8.0,20.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.8660254037844386,0.5000000000000001,0.0,0.0
WD,VTN,2022-11-01,2022,11,9,712.0,0.45,268,4671.0,2.97,348,1574,0.1703,0.2211,27,1831,1,1831.0,0,12,8228.0,7440.0,15668.0,28.0,14.0,14.0,4,11.0,5.5,5.5,3711.0,3355.0,7066.0,0,0.0,48,0.0,0.0,8.548014135839832,0.12055555594464143,0.00019444444527228673,0.0,17.227035886380406,30.535499125056795,8.59183356832299,8.529569617700245,0.12569444541715913,0.0009722222263614336,0.0,17.4573551485108,30.961499118142658,8.348527964287333,0,0.0,8.0,22.0,0.2629,0,0.045743328,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.954,4,-0.5000000000000004,0.8660254037844384,0.0,0.0
