source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,RandomForestClassifier_OPS_pred,RandomForestClassifier_OPS_proba
HVS,HVSM,2021-01,2021,1,1,1221.0,0.57,470,5092.0,2.37,519,2149,0.2187,0.2415,33,2226,1,2226.0,0,13,11072.0,9275.0,20347.0,21.166666666666664,12.0,9.166666666666666,5,6.833333333333333,4.333333333333333,2.5,4410.0,4406.0,8816.0,1.0,0.1111111111111111,65.0,0.7213475204444817,0.25,3.075776902433004,89.10000065714121,2.7299999967217445,0.0009139784741946446,15.31688170727863,104.399994,2.963478481712481,3.1133144979004657,82.50000067055225,2.6599999889731407,0.0009139784741946446,15.867637987418842,104.03999,2.987575249355887,1,0.0323,10.0,20.0,0.263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,1.0,0.63
HVS,HVSP,2021-01,2021,1,1,769.0,0.4,306,4616.0,2.41,340,1914,0.1599,0.1776,96,2154,1,2154.0,0,13,11072.0,9275.0,20347.0,21.166666666666664,12.0,9.166666666666666,6,13.333333333333334,6.666666666666667,6.666666666666667,4839.0,4757.0,9596.0,0.0,0.0,78.0,0.0,0.0,3.075776902433004,89.10000065714121,2.7299999967217445,0.0009139784741946446,15.31688170727863,104.399994,2.963478481712481,3.0822769334634907,89.10000065714121,2.7299999967217445,0.0009139784741946446,15.31688170727863,104.399994,2.9699785485588293,1,0.0323,10.0,20.0,0.263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0.0,0.06
RTD,BD,2021-01,2021,1,50,687.0,0.43,171,5297.0,3.32,306,1595,0.1072,0.1918,80,1618,1,1618.0,0,17,14082.0,18260.0,32342.0,56.55714285714285,34.857142857142854,21.7,13,41.73809523809524,21.571428571428573,20.166666666666668,8646.0,9730.5,18376.5,1.0,0.058823529411764705,221.0,0.48089834696298783,0.125,3.477110247678494,84.20000018924475,4.970000021159649,0.0011827956724871872,16.092586225078954,103.32,3.3523790908236335,3.2989166857454406,89.7000010535121,6.510000050067902,0.002997311760961849,15.851830386346386,106.92,3.2814435625438807,1,0.0323,10.0,20.0,0.263,0,0.7742947,0.22570533,0.0,0.0,0.774,0.226,0.0,0.0,0.0,1,0.49999999999999994,0.8660254037844387,0.0,0.21
RTD,GD,2021-01,2021,1,24,5.0,0.42,1,0.0,0.0,0,12,0.0833,0.0,1,38,1,38.0,0,17,14082.0,18260.0,32342.0,56.55714285714285,34.857142857142854,21.7,15,35.333333333333336,18.666666666666668,16.666666666666668,15117.0,10770.0,25887.0,2.0,0.1111111111111111,255.0,1.1764671337579005,0.3611111111111111,3.477110247678494,84.20000018924475,4.970000021159649,0.0011827956724871872,16.092586225078954,103.32,3.3523790908236335,3.478599484028515,83.10000034421682,3.429999992251396,0.001061827933255543,16.652979825052523,104.76,3.265830646699635,1,0.0323,10.0,20.0,0.263,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.49999999999999994,0.8660254037844387,0.0,0.27
RTD,RTB,2021-01,2021,1,1,1025.0,0.25,319,12920.0,3.18,841,4065,0.0785,0.2069,155,4296,1,4296.0,0,17,14082.0,18260.0,32342.0,56.55714285714285,34.857142857142854,21.7,6,15.333333333333334,7.666666666666667,7.666666666666667,8578.0,7377.0,15955.0,1.0,0.07692307692307693,102.0,0.48089834696298783,0.125,3.477110247678494,84.20000018924475,4.970000021159649,0.0011827956724871872,16.092586225078954,103.32,3.3523790908236335,3.4446102056291794,84.20000018924475,4.970000021159649,0.0011827956724871872,16.092586225078954,103.32,3.319879002448532,1,0.0323,10.0,20.0,0.263,0,0.54194343,0.0,0.0,0.0,0.542,0.0,0.0,0.0,0.458,1,0.49999999999999994,0.8660254037844387,0.0,0.4
GVC,ZTM,2021-01,2021,1,12,0.0,0.0,0,120.0,30.0,4,4,0.0,1.0,0,12,22,0.55,0,6,0.0,11228.55,11228.55,10.0,0.0,10.0,6,13.333333333333332,6.0,7.333333333333333,3708.55,3708.0,7416.55,1.0,0.1111111111111111,36.0,0.45511961331341866,0.1111111111111111,3.8620269652005406,87.90000066906214,4.550000041723251,0.0006182795560728478,18.065425225323246,104.03999,3.5893790900046305,3.594575328940165,86.50000061094761,3.4300000220537186,0.0010080644935970345,16.37403728452421,101.159996,3.389400609613707,1,0.0323,10.0,20.0,0.263,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.49999999999999994,0.8660254037844387,1.0,0.93
RHN,VNDC,2021-01,2021,1,8,71.0,0.06,32,1200.0,1.07,36,1124,0.0285,0.032,0,1579,1,1579.0,0,1,0.0,1579.0,1579.0,8.0,0.0,8.0,3,5.5,4.5,1.0,3156.0,1617.0,4773.0,0.0,0.0,3.0,0.0,0.0,2.7484139618413743,88.10000076144934,2.7300000190734863,0.0032661289592543917,15.127986691010896,104.399994,2.845053746385039,2.9499139350623653,88.10000076144934,2.7300000190734863,0.002983870901047222,15.127986691010896,104.399994,3.046553711544582,1,0.0323,10.0,20.0,0.263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0.0,0.0
UTVR,UTLN,2021-01,2021,1,3,1590.0,0.69,941,2780.0,1.21,268,2305,0.4082,0.1163,4,2519,1,2519.0,0,6,8229.0,7374.0,15603.0,7.333333333333333,3.6666666666666665,3.6666666666666665,4,7.0,3.5,3.5,5036.0,5036.0,10072.0,0.0,0.0,24.0,0.0,0.0,3.1017661760410955,86.20000090450048,2.8700000047683716,0.0008870967543653903,15.607154747331014,106.92,3.140946303604431,3.121266113984729,86.20000090450048,2.8700000047683716,0.0008870967543653903,15.607154747331014,106.92,3.1604462523634234,1,0.0323,10.0,20.0,0.263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,1.0,0.5436975470592731
MT,STD,2021-01,2021,1,21,160.0,0.15,69,3390.0,3.13,109,1084,0.0637,0.1006,62,1380,1,1380.0,0,1,0.0,1380.0,1380.0,21.0,0.0,21.0,3,48.0,23.0,25.0,4135.0,2767.0,6902.0,0.0,0.0,3.0,0.0,0.0,2.9729489691916013,96.30000010877848,21.559999890625477,0.017392472857208824,15.332610727157643,88.92,3.2082312410517084,2.9339005115532104,96.50000029802322,16.59000013023615,0.012338709491755693,14.749670266464193,83.520004,3.167838706644953,1,0.0323,10.0,20.0,0.263,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.49999999999999994,0.8660254037844387,0.0,0.36
GV,LEDN,2021-01,2021,1,16,69.0,0.48,22,408.0,2.81,27,145,0.1517,0.1862,10,290,1,290.0,0,16,11208.0,8341.0,19549.0,36.01587301587301,18.444444444444443,17.571428571428573,20,36.6,19.0,17.6,13423.33,14088.33,27511.66,3.0,0.17647058823529413,320.0,1.7603564939587166,0.5416666666666666,3.8685268881250052,87.90000066906214,4.550000041723251,0.0006182795560728478,18.065425225323246,104.03999,3.595879006530008,3.828387161276193,93.20000061392784,3.1500000059604645,0.000645161275902102,17.81329804106105,102.96,3.3972715661079893,1,0.0323,10.0,20.0,0.263,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.49999999999999994,0.8660254037844387,1.0,0.78
