source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,monthly_true_total_services,monthly_pure_delay_count,monthly_cancellation_count,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,target_absolute,target_threshold_month_relative,target_relative,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,XGBClassifier_TW_pred,XGBClassifier_TW_proba
WP,DMN,2024-04,2024,4,7,1028.0,0.66,310,3578.0,2.29,526,1565,1565.0,458.0,68.0,0.1981,0.3361,13,2529,1,2529.0,0,13,8792.07,8831.56,17623.629999999997,20.88095238095238,10.714285714285714,10.166666666666666,6,8.0,4.0,4.0,4942.33,4920.33,9862.66,0,0.0,78,0.0,0.0,10.249875131001074,97.8000003695488,0.6300000175833702,0.0,18.769380096263355,75.6,10.654319595959452,10.256375239996446,97.8000003695488,0.6300000175833702,0.0,18.769380096263355,75.6,10.66081973016262,2,0.0667,8.0,21.0,0.2629,1,1,0.2338,1,0.0,0.0,0.0,0.0006389776,0.0,0.0,0.0,0.001,0.999,2,0.8660254037844387,-0.4999999999999998,1.0,0.8967995047569275
HLM,OVN,2024-04,2024,4,2,727.0,0.7,263,2829.0,2.71,234,1045,1045.0,189.0,45.0,0.2517,0.2239,89,1412,1,1412.0,0,10,9384.0,10817.0,20201.0,10.0,5.0,5.0,3,6.0,4.0,2.0,2755.0,1154.0,3909.0,0,0.0,30,0.0,0.0,10.030333521796598,106.40000054985285,1.3299999758601189,0.0,21.33494813574685,82.799995,10.336166846752167,10.0238332832853,106.40000054985285,1.3299999758601189,0.0,21.33494813574685,82.799995,10.329666603273816,2,0.0667,8.0,21.0,0.2629,0,1,0.2338,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.0,0.10292649269104004
UTT,VTN,2024-04,2024,4,2,1678.0,0.7,764,4253.0,1.77,808,2409,2409.0,725.0,83.0,0.3171,0.3354,0,2508,1,2508.0,0,4,4257.0,4248.0,8505.0,4.0,2.0,2.0,4,11.0,5.5,5.5,4248.0,4218.0,8466.0,0,0.0,16,0.0,0.0,10.383791746613053,83.80000068247318,0.7699999883770943,0.0,18.475819987389777,74.88,10.685597291588783,10.36429186562697,83.80000068247318,0.7699999883770943,0.0,18.475819987389777,74.88,10.666097442640199,2,0.0667,8.0,21.0,0.2629,1,1,0.2338,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,1.0,0.79481440782547
DV,AML,2024-04,2024,4,39,956.0,0.85,162,4654.0,4.11,351,1131,1131.0,242.0,109.0,0.1432,0.3103,96,1188,1,1188.0,0,12,6571.0,7086.0,13657.0,29.666666666666668,14.833333333333334,14.833333333333334,8,30.0,15.0,15.0,2955.0,3676.0,6631.0,0,0.0,96,0.0,0.0,10.422569610923528,98.90000063925982,0.49000000953674316,0.0,16.569615319040086,83.88,10.502500262856483,10.373194435114662,113.00000075250864,5.249999940395355,0.0,15.686397382616997,81.0,10.412152784400517,2,0.0667,8.0,21.0,0.2629,1,1,0.2338,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.8660254037844387,-0.4999999999999998,1.0,0.6330698132514954
ASDZ,SHL,2024-04,2024,4,11,2568.0,0.65,883,19065.0,4.83,1253,3948,3948.0,718.0,535.0,0.2237,0.3174,48,3881,1,3881.0,0,10,12893.0,11467.0,24360.0,20.4,10.2,10.2,15,44.44642857142857,21.875,22.571428571428573,18789.0,15894.0,34683.0,1,0.08333333333333333,150,0.48089834696298783,0.125,10.144319398913325,99.00000059604645,1.6099999696016312,0.0,18.341985719733767,77.03999,10.539874937799242,10.157319744790179,99.00000059604645,1.6099999696016312,0.0,18.341985719733767,77.03999,10.552875314818488,2,0.0667,8.0,21.0,0.2629,1,1,0.2338,1,0.59625125,0.0,0.0,0.0,0.596,0.0,0.0,0.0,0.404,2,0.8660254037844387,-0.4999999999999998,1.0,0.8841212391853333
AML,AMRI,2024-04,2024,4,2,64.0,0.38,32,226.0,1.34,20,169,169.0,15.0,5.0,0.1893,0.1183,5,287,1,287.0,0,8,2955.0,3676.0,6631.0,30.0,15.0,15.0,4,9.0,4.5,4.5,594.0,594.0,1188.0,0,0.0,32,0.0,0.0,10.373194435114662,113.00000075250864,5.249999940395355,0.0,15.686397382616997,81.0,10.412152784400517,10.366694324091076,113.00000075250864,5.249999940395355,0.0,15.686397382616997,81.0,10.405652660793729,2,0.0667,8.0,21.0,0.2629,0,0,0.2338,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.0,0.032291535288095474
DDR,ZWD,2024-04,2024,4,2,743.0,0.37,268,9236.0,4.61,271,2005,2005.0,33.0,238.0,0.1337,0.1352,147,1988,1,1988.0,0,13,5041.0,8927.0,13968.0,35.35714285714286,17.857142857142858,17.5,4,9.0,4.5,4.5,4144.0,2382.0,6526.0,0,0.0,52,0.0,0.0,10.568111329691277,107.30000062286854,1.4000000208616257,0.0,18.056773591207133,80.64,10.718111424975925,10.530138902035024,110.80000045895576,1.1199999898672104,0.0,18.14129836724864,79.56,10.76465278201633,2,0.0667,8.0,21.0,0.2629,0,0,0.2338,0,0.0009975062,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.999,2,0.8660254037844387,-0.4999999999999998,0.0,0.18552552163600922
BDPB,ZLW,2024-04,2024,4,10,1179.0,1.1,282,4912.0,4.6,369,1068,1068.0,239.0,130.0,0.264,0.3455,0,1153,1,1153.0,0,4,2294.0,2226.0,4520.0,15.0,7.5,7.5,10,28.0,14.0,14.0,5169.0,4735.0,9904.0,0,0.0,40,0.0,0.0,10.644610988845427,122.20000070333481,2.5200000405311584,0.0,17.419136592083508,83.520004,10.72398598326577,10.58897233325988,106.90000103414059,2.869999997317791,0.0,17.81327696442604,81.0,10.666402930021286,2,0.0667,8.0,21.0,0.2629,1,1,0.2338,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,1.0,0.9553356170654297
ETN,BD,2024-04,2024,4,11,333.0,0.29,142,10188.0,9.0,433,1132,1132.0,110.0,323.0,0.1254,0.3825,0,1238,1,1238.0,0,4,2495.0,1704.0,4199.0,24.0,12.0,12.0,12,42.333333333333336,21.166666666666668,21.166666666666668,7993.0,8826.0,16819.0,0,0.0,48,0.0,0.0,10.60698618004616,113.2000005170703,0.630000002682209,0.0,17.53396203253004,86.399994,10.760527815090285,10.650305470637978,108.00000035762787,1.3299999833106995,0.0,17.23793724460734,83.88,10.80954159465101,2,0.0667,8.0,21.0,0.2629,1,1,0.2338,1,0.9991166,0.0,0.0,0.00088339223,0.999,0.0,0.0,0.001,0.0,2,0.8660254037844387,-0.4999999999999998,1.0,0.646766722202301
HGL,AML,2024-04,2024,4,14,760.0,0.68,357,4447.0,3.99,295,1115,1115.0,169.0,126.0,0.3202,0.2646,119,1173,1,1173.0,0,7,2958.0,1778.0,4736.0,15.416666666666668,7.75,7.666666666666667,8,30.0,15.0,15.0,2955.0,3676.0,6631.0,0,0.0,56,0.0,0.0,10.384763580105371,103.5000012665987,2.799999989569187,0.0,15.243662053760556,73.079994,10.43295801497168,10.373194435114662,113.00000075250864,5.249999940395355,0.0,15.686397382616997,81.0,10.412152784400517,2,0.0667,8.0,21.0,0.2629,1,1,0.2338,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.8660254037844387,-0.4999999999999998,0.0,0.3720075488090515
BKL,WD,2024-04,2024,4,19,924.0,0.87,283,3992.0,3.76,355,1063,1063.0,255.0,100.0,0.2662,0.334,11,1170,1,1170.0,0,6,3289.0,4469.0,7758.0,24.0,12.0,12.0,12,27.0,13.5,13.5,9821.0,10147.0,19968.0,0,0.0,72,0.0,0.0,10.347472293674945,94.30000013113022,2.80000002682209,0.0,18.590291101733843,74.520004,10.776152829991446,10.381486413162202,91.60000037401915,1.049999974668026,0.0,18.08111335668299,78.479996,10.528639223178228,2,0.0667,8.0,21.0,0.2629,1,1,0.2338,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.0,0.11317281424999237
ASDZ,DVD,2024-04,2024,4,4,858.0,0.61,298,6271.0,4.45,433,1408,1408.0,258.0,175.0,0.2116,0.3075,5,1581,1,1581.0,0,10,12893.0,11467.0,24360.0,20.4,10.2,10.2,17,20.208333333333336,11.333333333333334,8.875,10325.56,10221.32,20546.879999999997,3,0.2727272727272727,170,2.37871300116537,0.7361111111111112,10.144319398913325,99.00000059604645,1.6099999696016312,0.0,18.341985719733767,77.03999,10.539874937799242,10.19137500917746,97.8000003695488,0.6300000175833702,0.0,18.769380096263355,75.6,10.595819438497225,2,0.0667,8.0,21.0,0.2629,1,1,0.2338,1,0.9886364,0.0,0.0,0.0007102273,0.989,0.0,0.0,0.001,0.01,2,0.8660254037844387,-0.4999999999999998,0.0,0.16288498044013977
AML,HGL,2024-04,2024,4,14,1316.0,1.16,255,4579.0,4.05,257,1132,1132.0,148.0,109.0,0.2253,0.227,74,1181,1,1181.0,0,8,2955.0,3676.0,6631.0,30.0,15.0,15.0,7,15.416666666666668,7.75,7.666666666666667,2958.0,1778.0,4736.0,0,0.0,56,0.0,0.0,10.373194435114662,113.00000075250864,5.249999940395355,0.0,15.686397382616997,81.0,10.412152784400517,10.384763580105371,103.5000012665987,2.799999989569187,0.0,15.243662053760556,73.079994,10.43295801497168,2,0.0667,8.0,21.0,0.2629,0,1,0.2338,0,0.9991166,0.0,0.0,0.00088339223,0.999,0.0,0.0,0.001,0.0,2,0.8660254037844387,-0.4999999999999998,0.0,0.3169993758201599
BRN,AMF,2024-04,2024,4,9,1748.0,2.16,749,2652.0,3.27,759,810,810.0,730.0,29.0,0.9247,0.937,3,1085,1,1085.0,0,5,2690.0,3441.0,6131.0,14.666666666666668,8.0,6.666666666666667,16,49.125,26.875,22.25,12282.4,11858.0,24140.4,1,0.09090909090909091,80,0.48089834696298783,0.125,10.246124936950704,97.20000050961971,2.3100000098347664,0.0,17.04325930111938,74.520004,10.32987486521403,10.379055474822719,102.60000053048134,1.1199999824166298,0.0,17.415804783503216,75.96,10.54836106300354,2,0.0667,8.0,21.0,0.2629,1,1,0.2338,1,0.002469136,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.998,2,0.8660254037844387,-0.4999999999999998,1.0,0.7066024541854858
