source,target,service_date,arrival_hour,earliest_departure_hour,distance,total_services,src_degree,src_weighted_degree,src_avg_distance,tgt_degree,tgt_weighted_degree,tgt_avg_distance,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,temperature_2m,rain,snowfall,snow_depth,wind_speed_10m,wind_gusts_10m,soil_temperature_0_to_7cm,is_holiday,target_binary,count_intercity,count_sprinter,count_other_trains,rolling_prev_5_avg_delay,hours_since_prev_service,delta_hours_since_last_service,delta_count_services_since_last_delay,delta_hours_since_last_delayed_service,total_last_services_count,total_last_delayed_services_count,ratio_last_delay,service_year,service_month,day_of_week,YearMonth,YearMonthDayHour,arrival_hour_sin,arrival_hour_cos,day_of_week_sin,day_of_week_cos,month_of_year_sin,month_of_year_cos,hourly_edges_size,count_class_1,count_class_0,simultaneous_pred,simultaneous_null
BRN,AMF,2024-02-28,10,10,9,2,6,12,13.333333333333334,14,44,47.714285714285715,1,0.1111111111111111,84,0.5581106265512472,0.16666666666666666,5.065500259399414,0.0,0.0,0.0,11.212135314941406,20.15999984741211,4.165500164031982,False,1,0,2,0,2.0,1.0,1.0,1,1.0,2,2,1.0,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,0.0,1.0
AKM,HR,2024-02-28,10,10,11,2,4,8,16.0,8,16,37.5,0,0.0,32,0.0,0.0,7.667500019073486,0.0,0.0,0.0,18.08977508544922,30.23999786376953,6.017500400543213,False,0,0,2,0,0.2,1.0,1.0,1,1.0,2,1,0.5,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,0.0,1.0
ALMM,AMPO,2024-02-28,10,10,2,4,4,16,3.0,6,16,24.666666666666668,0,0.0,24,0.0,0.0,5.9629998207092285,0.0,0.0,0.0,13.202726364135742,23.759998321533203,5.11299991607666,False,0,0,4,0,0.42000000000000004,1.0,1.0,1,1.0,5,2,0.4,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,1.0,0.0
WDN,AML,2024-02-28,10,10,5,2,4,8,13.0,6,12,38.666666666666664,0,0.0,24,0.0,0.0,3.2869999408721924,0.0,0.0,0.0,11.275529861450195,23.759998321533203,2.7869999408721924,False,0,0,2,0,0.6,1.0,1.0,1,1.0,2,1,0.5,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,0.0,1.0
NM,NML,2024-02-28,10,10,1,4,8,36,23.5,4,18,8.0,0,0.0,32,0.0,0.0,4.0435004234313965,0.0,0.0,0.0,10.739832878112793,21.599998474121094,3.5434999465942383,False,1,0,4,0,1.6800000000000002,1.0,1.0,1,1.0,4,3,0.75,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,1.0,0.0
AC,ASHD,2024-02-28,10,10,4,2,4,9,16.0,4,8,5.0,0,0.0,16,0.0,0.0,6.236999988555908,0.0,0.0,0.0,15.034041404724121,26.280000686645508,4.936999797821045,False,0,0,2,0,2.04,1.0,1.0,1,1.0,3,1,0.33333334,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,0.0,1.0
RTN,RTD,2024-02-28,10,10,5,2,4,8,10.0,14,68,43.142857142857146,1,0.125,56,0.7213475204444817,0.25,5.71750020980835,0.4000000059604645,0.0,0.0,14.003028869628906,24.479999542236328,5.367500305175781,False,0,0,2,0,1.4,1.0,1.0,1,1.0,2,1,0.5,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,0.0,1.0
HKS,BKG,2024-02-28,10,10,4,2,4,8,13.0,4,8,5.0,0,0.0,16,0.0,0.0,6.69350004196167,0.0,0.0,0.0,17.727943420410156,31.319997787475586,6.243500232696533,False,0,2,0,0,0.5,1.0,1.0,3,3.0,2,2,1.0,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,0.0,1.0
RTA,RTN,2024-02-28,10,10,5,2,8,24,15.0,4,8,10.0,1,0.2,32,0.5138983423697507,0.14285714285714285,5.7935004234313965,0.20000000298023224,0.0,0.0,14.799459457397461,26.639999389648438,5.0435004234313965,False,0,0,2,0,0.9,1.0,1.0,2,2.0,2,1,0.5,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,0.0,1.0
WV,SWK,2024-02-28,10,10,13,2,4,8,24.0,6,16,34.0,1,0.25,24,0.7213475204444817,0.25,6.593500137329102,0.0,0.0,0.0,14.843179702758789,28.079999923706055,5.393500328063965,False,0,0,2,0,0.2,1.0,1.0,4,4.0,1,1,1.0,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,0.0,1.0
HVS,HVSP,2024-02-28,10,10,1,4,12,34,20.0,6,16,13.333333333333334,0,0.0,72,0.0,0.0,5.5370001792907715,0.0,0.0,0.0,13.009902954101562,24.119998931884766,4.336999893188477,False,1,0,4,0,0.2,1.0,1.0,1,1.0,4,2,0.5,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,1.0,0.0
LLS,ZL,2024-02-28,10,10,57,2,8,16,61.0,14,36,76.28571428571429,0,0.0,112,0.0,0.0,5.291500091552734,0.0,0.0,0.0,13.755579948425293,24.119998931884766,4.491500377655029,False,1,2,0,0,4.3,1.0,1.0,1,1.0,2,2,1.0,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,0.0,1.0
HRL,STD,2024-02-28,10,10,19,2,2,4,38.0,6,16,43.333333333333336,0,0.0,12,0.0,0.0,4.225500106811523,0.0,0.0,0.0,9.08598804473877,19.799999237060547,3.825500011444092,False,0,2,0,0,0.0,1.0,1.0,13,18.0,3,2,0.6666667,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,0.0,1.0
BRN,HVS,2024-02-28,10,10,7,2,6,12,13.333333333333334,12,34,20.0,1,0.125,72,0.5138983423697507,0.14285714285714285,5.065500259399414,0.0,0.0,0.0,11.212135314941406,20.15999984741211,4.165500164031982,False,1,0,2,0,1.2,1.0,1.0,1,1.0,2,2,1.0,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,0.0,1.0
ASD,ASDM,2024-02-28,10,10,4,4,12,74,30.666666666666668,6,16,4.666666666666667,1,0.125,72,0.6213349345596119,0.2,6.921999931335449,0.0,0.0,0.0,12.783802032470703,22.68000030517578,5.572000026702881,False,1,0,4,0,3.8120000000000003,1.0,1.0,1,1.0,7,1,0.14285715,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,1.0,0.0
DDR,DDZD,2024-02-28,10,10,1,5,8,31,30.0,4,18,15.0,0,0.0,32,0.0,0.0,4.986999988555908,0.4000000059604645,0.0,0.0,10.105681419372559,19.440000534057617,4.7870001792907715,False,1,0,5,0,1.5,1.0,1.0,1,1.0,4,1,0.25,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,1.0,0.0
LEDN,LDL,2024-02-28,10,10,1,2,16,58,25.75,4,12,15.0,0,0.0,64,0.0,0.0,7.46750020980835,0.0,0.0,0.0,13.202726364135742,24.479999542236328,6.317500114440918,False,0,0,2,0,21.857999999999997,1.0,1.0,2,2.0,6,3,0.5,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,0.0,1.0
