Model,Balanced Accuracy,F1 Score,AUC-ROC,Saved File
HistGradientBoosting,0.6409549087996886,0.6159435333194935,0.7056781106235972,DEFAULT_SUBSET_2023_HistGradientBoosting_best.pkl
XGBoost,0.632761833781815,0.5885784808706384,0.6975489397685164,DEFAULT_SUBSET_2023_XGBoost_best.pkl
Logistic_Regression,0.6175000675244495,0.47206875383670965,0.7110836665353059,DEFAULT_SUBSET_2023_Logistic_Regression_best.pkl
