source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
RM,STD,2022-06-01,2022,6,25,1615.0,0.85,457,13112.0,6.87,749,1909,0.2394,0.3924,6,2250,1,2250.0,0,4,4354.0,4354.0,8708.0,49.0,24.5,24.5,4,46.66666666666667,21.666666666666668,25.0,4354.0,2104.0,6458.0,0,0.0,16,0.0,0.0,17.90036124918196,0.14111111064751944,0.0,0.0,10.435890948855215,22.132499427265593,18.588278011480966,17.78647236360444,0.14305555542103118,0.0,0.0,10.063610266562964,22.142499358786477,18.36508359114329,2,0.0667,8.0,21.0,0.2629,1,0.9994762,0.0,0.0,0.0005238345,0.999,0.0,0.0,0.001,0.0,3,1.2246467991473532e-16,-1.0,1.0,0.0
RS,HTO,2019-05-01,2019,5,6,405.0,0.36,133,3611.0,3.17,192,1138,0.1169,0.1687,0,1135,1,1135.0,0,4,2263.0,2262.0,4525.0,17.0,8.5,8.5,4,7.0,3.5,3.5,2263.0,2198.0,4461.0,0,0.0,16,0.0,0.0,11.813997134726534,0.07405914006734728,0.0,0.0,12.735287954650259,26.553870285390527,12.696591186267073,11.765532395532054,0.07110215132675504,0.0,0.0,12.715414851222949,25.909354148692984,12.67319368995646,1,0.0323,8.0,22.0,0.2629,0,0.0,0.0,0.0,0.00087873463,0.0,0.0,0.0,0.001,0.999,2,0.49999999999999994,-0.8660254037844387,0.0,0.0
RS,HTO,2019-12-01,2019,12,6,1273.0,1.1,397,4866.0,4.2,502,1158,0.3428,0.4335,0,1251,1,1251.0,0,4,2479.0,2479.0,4958.0,17.0,8.5,8.5,4,7.0,3.5,3.5,2479.0,2416.0,4895.0,0,0.0,16,0.0,0.0,5.697061902317669,0.09354838796000006,0.0,0.0,17.127031641621745,32.688386206985804,5.439199043898492,5.692884387618672,0.09677419390889906,0.0,0.0,17.11574185984109,31.976612014796146,5.383946216755336,2,0.0645,9.0,20.0,0.2629,1,0.0,0.0,0.0,0.00086355786,0.0,0.0,0.0,0.001,0.999,1,-2.4492935982947064e-16,1.0,1.0,0.0
ZVB,ZLW,2023-01-01,2023,1,8,1352.0,1.48,714,1988.0,2.18,716,913,0.782,0.7842,1,932,1,932.0,0,4,2036.0,1964.0,4000.0,16.0,8.0,8.0,6,21.333333333333332,10.666666666666666,10.666666666666666,4379.0,4443.0,8822.0,0,0.0,24,0.0,0.0,5.549653354203529,0.1439516134960677,0.010067204073552162,0.0012499999720603228,18.859023630779276,35.024998943010964,5.445486687299025,5.6120861564507525,0.1471774203863035,0.009314515928347264,0.002016128987194069,19.358329375745146,35.502095754428574,5.522570025453705,1,0.0323,9.0,22.0,0.2629,1,0.0021905806,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.998,1,0.49999999999999994,0.8660254037844387,1.0,0.0
ZVB,ZLW,2023-12-01,2023,12,8,1144.0,1.32,515,3848.0,4.43,553,869,0.5926,0.6364,0,957,1,957.0,0,4,1954.0,1954.0,3908.0,16.0,8.0,8.0,10,28.0,14.0,14.0,4344.67,4371.5,8716.17,0,0.0,40,0.0,0.0,6.640043184929778,0.15430107626623363,0.005456989160388387,0.0026209676833522898,20.828955612355664,38.061773248257175,6.321091569118923,6.635070061246033,0.1529569898942305,0.005551075142237448,0.002661290263096171,20.934553558467538,37.360160339263174,6.196024355891671,2,0.0645,10.0,19.0,0.2629,1,0.001150748,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.999,1,-2.4492935982947064e-16,1.0,1.0,0.0
RLB,BRD,2019-04-01,2019,4,4,2099.0,1.14,1119,3219.0,1.74,591,1848,0.6055,0.3198,23,1936,1,1936.0,0,6,3832.0,3837.0,7669.0,6.0,3.0,3.0,4,11.0,5.5,5.5,3832.0,3832.0,7664.0,0,0.0,24,0.0,0.0,10.4196945648123,0.03638888908964064,0.0,0.0,14.260345818930203,27.754999250835844,10.96663902401924,10.374194736426903,0.03638888908964064,0.0,0.0,14.260345818930203,27.754999250835844,10.92113921576076,4,0.1333,8.0,20.0,0.2629,1,0.0,0.0,0.0,0.003787879,0.0,0.0,0.0,0.004,0.996,2,0.8660254037844387,-0.4999999999999998,0.0,1.0
WC,RVS,2019-01-01,2019,1,7,1010.0,0.96,313,3597.0,3.44,271,1047,0.2989,0.2588,1,0,12,0.0,1,4,0.0,0.0,0.0,11.0,5.5,5.5,4,15.0,7.5,7.5,0.0,0.0,0.0,0,0.0,16,0.0,0.0,3.1074785956216635,0.06465053877803267,0.005645161274299827,0.004233870873107544,15.619835732364526,30.713708833981585,3.2928280771474645,3.1571343123352014,0.0646505386478478,0.005268817206704488,0.004260752592936799,15.985281442121792,29.60370881775374,3.2942982830122234,1,0.0323,8.0,22.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0.0,0.0
WC,RVS,2020-05-01,2020,5,7,294.0,0.38,102,2704.0,3.46,202,781,0.1306,0.2586,3,1108,1,1108.0,0,4,2211.0,2977.0,5188.0,11.0,5.5,5.5,4,15.0,7.5,7.5,2211.0,2211.0,4422.0,0,0.0,16,0.0,0.0,13.321120781924135,0.03709677456607742,0.0,0.0,12.6049330702392,27.189192825107163,14.0827470921701,13.418357585386563,0.035349462591912795,0.0,0.0,13.005943133305477,26.330321815706068,14.475615696881407,3,0.0968,10.0,19.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.49999999999999994,-0.8660254037844387,0.0,1.0
NM,NMGO,2019-06-01,2019,6,3,874.0,0.51,254,4113.0,2.38,228,1729,0.1469,0.1319,30,1847,1,1847.0,0,9,5295.0,7963.0,13258.0,22.75,11.75,11.0,4,5.0,2.5,2.5,3660.0,3395.0,7055.0,0,0.0,36,0.0,0.0,18.951624765661027,0.09486111213142673,0.0,0.0,12.297151809392703,26.9539991484748,19.180444200833637,18.786583511034646,0.10347222242918279,0.0,0.0,12.600200922911366,27.50449925131268,19.035194663206735,2,0.0667,10.0,19.0,0.2629,0,0.000578369,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.999,3,1.2246467991473532e-16,-1.0,1.0,0.0
NM,NMGO,2020-01-01,2020,1,3,793.0,0.43,299,4149.0,2.26,303,1833,0.1631,0.1653,37,1961,1,1961.0,0,9,5475.0,8221.0,13696.0,22.75,11.75,11.0,4,5.0,2.5,2.5,3831.0,3564.0,7395.0,0,0.0,36,0.0,0.0,5.748002722666609,0.06465053836744959,0.0,0.0,16.116001847931134,32.05499919127392,5.435301164625793,5.773922172815649,0.0602150542901889,0.0,0.0,16.600767920414608,32.780321728798654,5.496771640394644,1,0.0323,8.0,22.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,1.0,0.0
NM,NMGO,2022-12-01,2022,12,3,1339.0,0.78,468,7927.0,4.63,394,1713,0.2732,0.23,100,2044,1,2044.0,0,9,5694.0,8489.0,14183.0,22.75,11.75,11.0,4,5.0,2.5,2.5,4030.0,3619.0,7649.0,0,0.0,36,0.0,0.0,3.8248844061507494,0.13978494751837947,0.0,0.0,14.191963831824,27.21435409463862,3.7042527539275025,3.8057097654529315,0.12473118313217677,0.0,0.0,14.60970860046725,27.754837945584327,3.6901183718695276,2,0.0645,9.0,21.0,0.2629,0,0.0,0.0,0.0,0.00058377115,0.0,0.0,0.0,0.001,0.999,1,-2.4492935982947064e-16,1.0,1.0,0.0
NM,NMGO,2023-05-01,2023,5,3,911.0,0.53,340,4329.0,2.52,223,1719,0.1978,0.1297,96,2044,1,2044.0,0,9,5610.0,8482.0,14092.0,22.75,11.75,11.0,4,5.0,2.5,2.5,4030.0,3570.0,7600.0,0,0.0,36,0.0,0.0,13.598607309082503,0.09341397835442455,0.0,0.0,11.943674490336448,24.736934836833708,14.169171792845573,13.551610423352129,0.0806451619112043,0.0,0.0,12.211406952190783,25.20338636188097,14.117470623985414,3,0.0968,8.0,21.0,0.2629,0,0.0005817336,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.999,2,0.49999999999999994,-0.8660254037844387,1.0,1.0
NM,NMGO,2024-12-01,2024,12,3,854.0,0.48,305,9640.0,5.46,424,1767,0.1726,0.24,105,1926,1,1926.0,0,9,5141.0,7984.0,13125.0,22.75,11.75,11.0,4,5.0,2.5,2.5,3790.0,3241.0,7031.0,0,0.0,36,0.0,0.0,5.445381793874486,0.07715053805300305,0.0015994623623868472,0.0,15.644860978568754,30.558386253413335,5.458285071196094,5.512430240850775,0.08158602178978022,0.002352150587705515,0.0,15.735975509209018,31.253225027553498,5.454701751951249,2,0.0645,9.0,20.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,-2.4492935982947064e-16,1.0,0.0,1.0
APN,BDG,2022-06-01,2022,6,8,302.0,0.21,100,5843.0,3.97,458,1472,0.0679,0.3111,44,1458,1,1458.0,0,4,3150.0,3293.0,6443.0,22.0,11.0,11.0,4,19.0,9.5,9.5,3119.0,3120.0,6239.0,0,0.0,16,0.0,0.0,16.37699995438258,0.12069444450446301,0.0,0.0,12.676405152430137,24.770999282598495,17.145611000061034,16.51212545103497,0.13569444485215676,0.0,0.0,12.812603337731627,24.610499391290876,17.382820026079813,2,0.0667,8.0,21.0,0.2629,1,0.76766306,0.0,0.0,0.0,0.768,0.0,0.0,0.0,0.232,3,1.2246467991473532e-16,-1.0,0.0,0.0
UTO,BHV,2022-04-01,2022,4,6,550.0,0.28,239,4724.0,2.37,181,1991,0.12,0.0909,3,2235,1,2235.0,0,7,8653.0,4335.0,12988.0,17.666666666666664,8.0,9.666666666666666,4,9.0,4.5,4.5,4564.0,4564.0,9128.0,0,0.0,28,0.0,0.0,9.177388828620314,0.06875000041392114,0.006805555563833978,0.0036249999448450076,15.567053202456899,30.14099924299452,9.55870831723118,9.13838909065558,0.06875000041392114,0.006805555563833978,0.003583333273935649,15.567053202456899,30.14099924299452,9.51970861159886,4,0.1333,9.0,18.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,1.0,1.0
WV,HR,2019-05-01,2019,5,11,570.0,0.62,242,3358.0,3.66,167,918,0.2636,0.1819,2,923,1,923.0,0,4,1874.0,1874.0,3748.0,24.0,12.0,12.0,7,34.083333333333336,18.75,15.333333333333334,3868.0,2866.0,6734.0,1,0.2,28,0.7213475204444817,0.25,11.3194407182996,0.04327957000663524,0.0,0.0,14.449915259275386,27.8729024144911,12.604050907396502,11.268567048413779,0.04892473117077863,0.0,0.0,14.806010597495623,28.353386278434467,12.293096616063067,1,0.0323,8.0,22.0,0.2629,0,0.30610022,0.0,0.0,0.0,0.306,0.0,0.0,0.0,0.694,2,0.49999999999999994,-0.8660254037844387,0.0,0.0
