source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,target_absolute,target_threshold_month_relative,target_relative,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
WC,RVS,2023-12-01,2023,12,7,1766.0,1.61,712,9489.0,8.66,854,1096,0.6496,0.7792,1,1079,1,1079.0,0,4,2122.0,2918.0,5040.0,11.0,5.5,5.5,4,15.0,7.5,7.5,2121.0,2070.0,4191.0,0,0.0,16,0.0,0.0,6.19376880492294,125.00000099092722,4.479999922215939,0.0024731182242913913,19.60319315377743,80.64,5.968836091799281,6.312107365282993,107.90000071376562,5.180000007152557,0.0023924730648036286,20.293416526048414,81.36,6.070978333182152,2,0.0645,10.0,19.0,0.2629,1,1,0.2992,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,-2.4492935982947064e-16,1.0,1.0,0.0
HLM,HAD,2022-12-01,2022,12,4,2018.0,0.74,762,10600.0,3.89,617,2722,0.2799,0.2267,148,3380,1,3380.0,0,10,9199.0,10989.0,20188.0,10.0,5.0,5.0,6,24.0,12.0,12.0,6836.0,5650.0,12486.0,0,0.0,60,0.0,0.0,4.109943654177891,70.70000042021275,0.5600000023841858,0.0,17.558546526457675,83.520004,3.6247285958179223,3.996879142293486,79.70000065118074,0.6299999952316284,0.0,16.563917665952637,81.72,3.6144865818511973,2,0.0645,9.0,21.0,0.2629,0,1,0.2992,0,0.56429094,0.0,0.0,0.0,0.564,0.0,0.0,0.0,0.436,1,-2.4492935982947064e-16,1.0,0.0,0.0
HM,DN,2022-12-01,2022,12,9,2453.0,1.78,942,9377.0,6.8,809,1379,0.6831,0.5867,12,1158,1,1158.0,0,8,4289.0,4123.0,8412.0,12.0,6.0,6.0,5,25.166666666666664,13.5,11.666666666666666,2319.0,3317.0,5636.0,1,0.16666666666666666,40,1.4426950408889634,0.5,3.852056485315364,91.1000008136034,0.21000000089406967,0.0,13.964764436566702,75.24,3.708239239495328,3.849924752123213,88.70000025629997,0.42000000178813934,0.0,13.820617187087255,75.6,3.7406505663398533,2,0.0645,9.0,21.0,0.2629,1,1,0.2992,1,0.99927485,0.0,0.0,0.00072516315,0.999,0.0,0.0,0.001,0.0,1,-2.4492935982947064e-16,1.0,1.0,1.0
HM,DN,2024-12-01,2024,12,9,2379.0,1.95,804,7645.0,6.26,909,1221,0.6585,0.7445,19,1630,1,1630.0,0,8,4841.0,4662.0,9503.0,12.0,6.0,6.0,5,25.166666666666664,13.5,11.666666666666666,2864.0,3870.0,6734.0,1,0.16666666666666666,40,1.4426950408889634,0.5,5.315497285030502,59.800000719726086,2.7999999672174454,0.0,15.469619645006073,71.64,5.318050999635009,5.136685505684626,48.50000064820051,2.799999922513962,0.0,16.220162250101566,83.520004,5.210072615774729,2,0.0645,9.0,20.0,0.2629,1,1,0.2992,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-2.4492935982947064e-16,1.0,1.0,0.0
UTG,HK,2019-12-01,2019,12,3,605.0,0.5,273,2205.0,1.84,245,1201,0.2273,0.204,22,1224,1,1224.0,0,6,2725.0,4458.0,7183.0,8.0,4.0,4.0,4,6.0,3.0,3.0,2383.0,2369.0,4752.0,0,0.0,24,0.0,0.0,6.733467740161966,85.70000090450048,0.07000000029802322,0.0,22.180409548744077,88.2,6.18306451507153,6.591782203036791,88.40000071376562,0.0,0.0,21.493700063677245,87.479996,6.090774057372924,2,0.0645,9.0,20.0,0.2629,0,1,0.2992,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,-2.4492935982947064e-16,1.0,1.0,0.0
RTST,RLB,2021-12-01,2021,12,2,6.0,0.16,2,1116.0,30.16,33,37,0.0541,0.8919,0,37,1,37.0,0,7,99.75,90.0,189.75,7.833333333333334,5.5,2.3333333333333335,6,6.0,3.0,3.0,4025.0,4024.0,8049.0,1,0.16666666666666666,42,0.9102392266268373,0.3333333333333333,5.493134548296771,51.60000043362379,4.05999993532896,0.0009408601940238989,15.59175215092718,65.88,5.231373799096052,5.446150528958007,46.700000405311584,2.379999987781048,0.0009408601940238989,15.79094067904898,68.03999,5.115908539751344,2,0.0645,8.0,23.0,0.2629,1,1,0.2992,1,0.0,0.0,0.0,0.16216215,0.0,0.0,0.0,0.162,0.838,1,-2.4492935982947064e-16,1.0,0.0,0.0
WP,DMNZ,2022-12-01,2022,12,7,727.0,0.43,217,7139.0,4.23,497,1686,0.1287,0.2948,11,2143,1,2143.0,0,8,10504.0,10488.0,20992.0,18.0,9.0,9.0,4,9.0,4.5,4.5,4222.0,4185.0,8407.0,0,0.0,32,0.0,0.0,3.783591519237586,79.60000057518482,0.6300000101327896,0.0,16.331156688271673,74.88,3.3737796762963175,3.7900915027806357,79.60000057518482,0.6300000101327896,0.0,16.331156688271673,74.88,3.3802796047962,2,0.0645,9.0,21.0,0.2629,1,1,0.2992,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,-2.4492935982947064e-16,1.0,1.0,0.0
WP,ASD,2024-12-01,2024,12,14,41.0,1.11,13,99.0,2.68,14,37,0.3514,0.3784,0,41,1,41.0,0,14,8746.0,8609.0,17355.0,21.428571428571427,10.714285714285714,10.714285714285714,19,36.82222222222222,18.6,18.22222222222222,14139.14,23311.0,37450.14,1,0.058823529411764705,266,0.43429448190325176,0.1,6.326333517629292,71.00000037252903,0.7700000107288361,0.0,16.054247581109564,75.96,5.966320079500957,6.428921978600243,77.40000016242266,1.7499999776482582,0.0,14.038379416590736,78.479996,5.8872553098906755,2,0.0645,9.0,20.0,0.2629,1,1,0.2992,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-2.4492935982947064e-16,1.0,0.0,0.0
O,HT,2020-12-01,2020,12,19,583.0,0.52,175,3771.0,3.34,254,1128,0.1551,0.2252,3,1256,1,1256.0,0,8,4625.0,4758.0,9383.0,26.0,13.0,13.0,13,45.19047619047619,25.333333333333332,19.857142857142858,11423.0,13931.0,25354.0,0,0.0,104,0.0,0.0,5.480059172454921,97.00000104308128,0.0,0.0,15.338772398810233,101.52,5.3758925427832915,5.484580743797524,92.700000628829,0.0,0.0,15.387312092447793,83.520004,5.4208710337838815,2,0.0645,8.0,22.0,0.2629,0,1,0.2992,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-2.4492935982947064e-16,1.0,1.0,1.0
O,HT,2021-12-01,2021,12,19,853.0,0.69,259,6017.0,4.84,336,1244,0.2082,0.2701,3,1279,1,1279.0,0,8,4708.0,4854.0,9562.0,26.0,13.0,13.0,14,42.42857142857143,22.571428571428573,19.857142857142858,11032.0,13236.0,24268.0,0,0.0,112,0.0,0.0,5.071591411173965,42.300000444054604,2.9400000125169754,0.0012096773923164414,14.59718526098677,64.799995,4.741483940612725,5.188747425072936,49.90000059455633,2.8699999675154686,0.0011827956724871872,14.30616142881173,65.520004,4.874231247491734,2,0.0645,8.0,23.0,0.2629,1,1,0.2992,0,0.926045,0.0,0.0,0.0,0.926,0.0,0.0,0.0,0.074,1,-2.4492935982947064e-16,1.0,1.0,0.0
