source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,monthly_true_total_services,monthly_pure_delay_count,monthly_cancellation_count,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,target_absolute,target_threshold_month_relative,target_relative,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
OW,O,2022-04-01,2022,4,1,1797.0,1.66,958,4970.0,4.58,193,1085,1085.0,59.0,134.0,0.8829,0.1779,0,1150,1,1150.0,0,4,2460.0,2383.0,4843.0,12.0,6.0,6.0,10,28.0,14.0,14.0,4707.0,4870.0,9577.0,0,0.0,40,0.0,0.0,9.331013975747757,40.700000301003456,3.009999990463257,0.0024583332783853014,15.674161464969318,89.64,9.920875131338835,9.318013793437018,40.700000301003456,3.009999990463257,0.0024583332783853014,15.674161464969318,89.64,9.907874888098902,4,0.1333,9.0,18.0,0.2629,0,0,0.2338,0,0.0,0.0,0.0,0.001843318,0.0,0.0,0.0,0.002,0.998,2,0.8660254037844387,-0.4999999999999998,1.0,0.0
MAS,BKL,2023-04-01,2023,4,5,188.0,0.63,116,819.0,2.74,127,299,299.0,109.0,18.0,0.388,0.4247,1,839,1,839.0,0,4,3827.0,2757.0,6584.0,10.0,5.0,5.0,6,24.0,12.0,12.0,4043.0,5093.0,9136.0,0,0.0,24,0.0,0.0,8.412305756210763,90.80000052601099,0.0,0.0,15.119620060258441,58.679996,9.025430762933361,8.423791654594243,87.10000043362379,0.0,0.0,15.401959365771877,60.120003,9.164486096302669,4,0.1333,10.0,17.0,0.2629,1,1,0.2338,1,0.0100334445,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.99,2,0.8660254037844387,-0.4999999999999998,0.0,0.0
AHZ,AH,2020-04-01,2020,4,8,322.0,0.34,113,1042.0,1.09,114,956,956.0,88.0,26.0,0.1182,0.1192,1,1027,1,1027.0,0,4,3988.0,3004.0,6992.0,11.0,5.5,5.5,16,38.625,21.875,16.75,8816.0,8836.0,17652.0,1,0.1,64,0.7213475204444817,0.25,11.15887501847206,21.200000293552876,0.0,0.0,12.9477370970779,61.199997,11.42220845338371,11.01704198796716,19.900000140070915,0.0,0.0,12.851397349188725,60.839996,11.303153130412102,4,0.1333,8.0,19.0,0.2629,0,0,0.2338,0,0.024058577,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.976,2,0.8660254037844387,-0.4999999999999998,1.0,0.0
VNDC,VNDW,2020-04-01,2020,4,1,57.0,0.04,14,29941.0,19.0,559,1576,1576.0,56.0,503.0,0.0089,0.3547,8,1501,1,1501.0,0,3,2411.0,1501.0,3912.0,5.5,4.5,1.0,4,15.0,7.5,7.5,2989.0,2712.0,5701.0,0,0.0,12,0.0,0.0,11.07587512259682,18.70000021904707,0.0,0.0,12.735531708267,58.679996,11.333375170744128,10.997125122220153,17.300000250339508,0.0,0.0,13.20150569015079,59.399998,11.698166802856658,4,0.1333,8.0,19.0,0.2629,1,1,0.2338,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,1.0,0.0
ZLW,DDZD,2020-04-01,2020,4,14,1605.0,0.87,759,2510.0,1.37,489,1835,1835.0,440.0,49.0,0.4136,0.2665,53,2115,1,2115.0,0,8,4328.0,4313.0,8641.0,26.25,11.75,14.5,4,29.0,7.5,21.5,4287.0,2172.0,6459.0,1,0.14285714285714285,32,0.43429448190325176,0.1,11.325013899347848,19.500000230968,0.0,0.0,13.23429701609744,61.199997,11.914944482925865,11.197041504509333,20.700000166893005,0.0,0.0,13.638004150407182,62.639996,11.725305386715466,4,0.1333,8.0,19.0,0.2629,1,1,0.2338,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.0,0.0
HAD,HLM,2019-04-01,2019,4,4,2738.0,1.42,629,7945.0,4.12,624,1928,1928.0,447.0,177.0,0.3262,0.3237,3,2177,1,2177.0,0,6,6731.0,5549.0,12280.0,24.0,12.0,12.0,13,16.714285714285715,8.0,8.714285714285714,8920.0,10393.0,19313.0,0,0.0,78,0.0,0.0,10.332277971299158,27.100000120699406,0.3499999940395355,0.0,14.969005352258682,67.32,10.793319720360968,10.231514063311948,28.500000439584255,0.07000000029802322,0.0,15.341238597366544,67.67999,10.745402982831001,4,0.1333,8.0,20.0,0.2629,1,1,0.2338,1,0.78267634,0.0,0.0,0.0,0.783,0.0,0.0,0.0,0.217,2,0.8660254037844387,-0.4999999999999998,1.0,0.0
HAD,HLM,2021-04-01,2021,4,4,648.0,0.3,237,3814.0,1.75,257,2175,2175.0,153.0,104.0,0.109,0.1182,0,2350,1,2350.0,0,6,7002.0,5820.0,12822.0,24.0,12.0,12.0,10,10.0,5.0,5.0,9245.0,11305.0,20550.0,0,0.0,60,0.0,0.0,6.4942917915682,39.100000478327274,4.830000072717667,0.0,15.772822644313177,85.32,7.352972387274106,6.444916815145148,37.8000004068017,3.5000000298023224,0.0,16.413632611019743,86.03999,7.345402947399351,4,0.1333,8.0,19.0,0.2629,0,0,0.2338,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.8660254037844387,-0.4999999999999998,0.0,0.0
RB,BGN,2019-04-01,2019,4,16,824.0,0.8,236,3180.0,3.11,306,1024,1024.0,217.0,89.0,0.2305,0.2988,0,1132,1,1132.0,0,4,2256.0,2256.0,4512.0,19.0,9.5,9.5,6,44.0,22.0,22.0,2341.0,2288.0,4629.0,0,0.0,24,0.0,0.0,10.7502777705176,28.20000046491623,0.0,0.0,14.189098660979006,65.88,11.153958323266771,10.589430493188814,26.800000354647636,0.07000000029802322,0.0,13.954968254516523,68.03999,11.267902684542868,4,0.1333,8.0,20.0,0.2629,1,1,0.2338,1,0.9970703,0.0,0.0,0.0029296875,0.997,0.0,0.0,0.003,0.0,2,0.8660254037844387,-0.4999999999999998,0.0,0.0
RB,BGN,2021-04-01,2021,4,16,501.0,0.5,179,2187.0,2.17,188,1009,1009.0,127.0,61.0,0.1774,0.1863,0,1329,1,1329.0,0,4,2652.0,2650.0,5302.0,19.0,9.5,9.5,6,44.0,22.0,22.0,2732.0,2771.0,5503.0,0,0.0,24,0.0,0.0,6.966458317984102,31.60000018775463,6.090000070631504,0.00043055554593188894,14.44329941181673,68.76,8.127777771486176,6.739777624004313,33.90000019967556,5.88000001013279,0.0004999999888241291,13.884563577257925,70.92,7.889708158208264,4,0.1333,8.0,19.0,0.2629,0,0,0.2338,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.8660254037844387,-0.4999999999999998,0.0,1.0
STZ,ST,2020-04-01,2020,4,1,571.0,0.53,320,535.0,0.49,160,1081,1081.0,155.0,5.0,0.296,0.148,0,1124,1,1124.0,0,4,2281.0,2281.0,4562.0,7.0,3.5,3.5,4,2.0,1.0,1.0,2281.0,2281.0,4562.0,0,0.0,16,0.0,0.0,10.851236280674735,18.700000181794167,0.0,0.0,12.970353366848496,60.839996,11.615264024668269,10.805735959128166,18.700000181794167,0.0,0.0,12.970353366848496,60.839996,11.569763686425157,4,0.1333,8.0,19.0,0.2629,0,0,0.2338,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.0,0.0
