source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,target_absolute,target_threshold_month_relative,target_relative,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
DDR,RSD,2020-11-01,2020,11,38,730.0,0.73,262,3341.0,3.35,273,998,0.2625,0.2735,5,1147,1,1147.0,0,12,2974.0,8614.8,11588.8,36.666666666666664,18.333333333333332,18.333333333333332,7,42.75,25.0,17.75,2483.38,5725.0,8208.380000000001,1,0.1,84,0.5138983423697507,0.14285714285714285,9.142694701585505,47.300000347197056,0.0,0.0,15.828009539345901,86.399994,9.083250296778148,9.177333417865965,46.400000274181366,0.0,0.0,15.883877561613918,86.76,8.968930627240075,0,0.0,9.0,21.0,0.2629,1,1,0.3458,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,-0.5000000000000004,0.8660254037844384,1.0,1.0
HVS,ASD,2019-11-01,2019,11,29,143.0,0.86,23,365.0,2.2,38,166,0.1386,0.2289,1,117,5,23.4,0,18,10937.57,10368.599999999999,21306.17,32.375,18.0,14.375,21,47.95192307692308,19.875,28.076923076923077,9882.4,23986.0,33868.4,3,0.14285714285714285,378,1.4156598442465105,0.36111111111111105,6.258111249510613,88.40000055730343,0.0,0.0,13.897350490755505,64.799995,6.081027899020248,6.25033327142915,80.80000092089176,0.0,0.0,13.904761735929384,68.03999,6.020333278841442,0,0.0,9.0,21.0,0.2629,0,1,0.3458,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,-0.5000000000000004,0.8660254037844384,1.0,1.0
NM,AH,2024-11-01,2024,11,19,1882.0,0.66,595,24161.0,8.48,983,2850,0.2088,0.3449,93,2993,1,2993.0,0,9,5141.0,7984.0,13125.0,22.75,11.75,11.0,14,24.57142857142857,13.714285714285714,10.857142857142858,8240.0,8590.0,16830.0,1,0.08333333333333333,126,0.7213475204444817,0.25,6.826972234732885,52.40000009536743,6.159999914467335,0.0,12.830640314850543,70.56,7.061416661408212,6.618569587000335,57.799999974668026,4.970000095665455,0.0,12.939632878162795,74.159996,6.818083487947782,0,0.0,9.0,21.0,0.2629,1,1,0.3458,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,-0.5000000000000004,0.8660254037844384,1.0,1.0
GD,RTA,2022-11-01,2022,11,14,1631.0,1.06,439,5968.0,3.87,495,1544,0.2843,0.3206,35,2036,1,2036.0,0,16,15287.0,11059.0,26346.0,35.23809523809524,18.666666666666668,16.571428571428573,7,14.166666666666668,7.5,6.666666666666667,7268.0,5233.0,12501.0,1,0.08333333333333333,112,0.45511961331341866,0.1111111111111111,8.765819712914526,94.10000060498714,0.14000000059604645,0.0,17.921440038416122,81.0,8.573944698770841,8.772319366617335,94.10000060498714,0.14000000059604645,0.0,17.921440038416122,81.0,8.580444391237364,0,0.0,8.0,22.0,0.2629,1,1,0.3458,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,-0.5000000000000004,0.8660254037844384,0.0,0.0
HLM,OVN,2021-11-01,2021,11,2,390.0,0.34,189,971.0,0.84,172,1154,0.1638,0.149,62,2060,1,2060.0,0,11,9564.0,11885.0,21449.0,11.333333333333332,5.0,6.333333333333333,3,6.0,4.0,2.0,4118.0,1097.0,5215.0,0,0.0,33,0.0,0.0,8.455889077981313,76.40000031888485,2.5899999365210533,0.0,15.140379109316402,66.24,8.204847406678729,8.449388847417302,76.40000031888485,2.5899999365210533,0.0,15.140379109316402,66.24,8.198347176114718,0,0.0,8.0,22.0,0.2629,0,0,0.3458,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,-0.5000000000000004,0.8660254037844384,0.0,0.0
HLM,HLMS,2023-11-01,2023,11,1,1724.0,0.76,703,5050.0,2.22,641,2277,0.3087,0.2815,196,2711,1,2711.0,0,10,8653.0,10437.0,19090.0,10.0,5.0,5.0,4,8.0,4.0,4.0,5415.0,5374.0,10789.0,0,0.0,40,0.0,0.0,8.369708502334024,155.20000063627958,2.799999952316284,0.0,22.60579693408476,95.399994,8.206930745724176,8.421708404003747,155.20000063627958,2.799999952316284,0.0,22.60579693408476,95.399994,8.258930635535055,0,0.0,8.0,22.0,0.2629,1,1,0.3458,0,0.00043917436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,-0.5000000000000004,0.8660254037844384,0.0,0.0
HLM,HLMS,2021-11-01,2021,11,1,1228.0,0.58,574,3261.0,1.54,401,2121,0.2706,0.1891,106,2678,1,2678.0,0,11,9564.0,11885.0,21449.0,11.333333333333332,5.0,6.333333333333333,4,8.0,4.0,4.0,5336.0,5276.0,10612.0,0,0.0,44,0.0,0.0,8.455889077981313,76.40000031888485,2.5899999365210533,0.0,15.140379109316402,66.24,8.204847406678729,8.50788896009326,76.40000031888485,2.5899999365210533,0.0,15.140379109316402,66.24,8.25684728986687,0,0.0,8.0,22.0,0.2629,0,0,0.3458,0,0.0004714757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,-0.5000000000000004,0.8660254037844384,0.0,1.0
ASD,LEDN,2022-11-01,2022,11,48,29.0,1.16,10,348.0,13.92,17,25,0.4,0.68,4,28,1,28.0,0,19,14762.0,23588.19,38350.19,37.044444444444444,19.6,17.444444444444443,19,36.044444444444444,18.444444444444443,17.6,15193.0,15721.0,30914.0,1,0.05,361,0.48089834696298783,0.125,8.45956938488202,100.50000027567148,0.5600000023841858,0.0,16.837757297025785,74.88,8.281166616796206,8.867499899367491,121.50000105798244,0.14000000059604645,0.0,18.61655148346391,77.03999,8.698541577822633,0,0.0,8.0,22.0,0.2629,1,1,0.3458,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,-0.5000000000000004,0.8660254037844384,0.0,1.0
RTD,RTB,2019-11-01,2019,11,1,2381.0,0.62,664,12763.0,3.34,1162,3816,0.174,0.3045,157,4220,1,4220.0,0,21,14158.0,17890.0,32048.0,56.75,34.333333333333336,22.416666666666668,8,13.5,6.75,6.75,8562.0,7405.0,15967.0,1,0.058823529411764705,168,0.48089834696298783,0.125,6.541736119706184,82.20000063627958,0.0,0.0,14.224484509643581,80.64,6.476736136111948,6.509236231622182,82.20000063627958,0.0,0.0,14.224484509643581,80.64,6.444236187471284,0,0.0,9.0,21.0,0.2629,1,1,0.3458,0,0.5091719,0.0,0.0,0.0023584906,0.509,0.0,0.0,0.002,0.489,4,-0.5000000000000004,0.8660254037844384,0.0,1.0
HVS,AMF,2019-11-01,2019,11,16,1531.0,1.03,385,4882.0,3.3,401,1481,0.26,0.2708,22,1543,1,1543.0,0,18,10937.57,10368.599999999999,21306.17,32.375,18.0,14.375,17,53.457142857142856,23.857142857142858,29.6,13525.0,12693.57,26218.57,3,0.16666666666666666,306,1.8265671733784328,0.5595238095238095,6.258111249510613,88.40000055730343,0.0,0.0,13.897350490755505,64.799995,6.081027899020248,6.345930573752978,87.70000036805868,0.2800000011920929,0.0,13.976133726454444,69.84,6.252250013997157,0,0.0,9.0,21.0,0.2629,1,1,0.3458,0,0.9797434,0.0,0.019581364,0.00067521946,0.98,0.0,0.02,0.001,0.0,4,-0.5000000000000004,0.8660254037844384,1.0,1.0
