source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,monthly_true_total_services,monthly_pure_delay_count,monthly_cancellation_count,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,target_absolute,target_threshold_month_relative,target_relative,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
DRON,KPNZ,2019-04-01,2019,4,17,622.0,0.63,159,1383.0,1.41,126,982,982.0,105.0,21.0,0.1619,0.1283,12,1120,1,1120.0,0,4,2270.0,2238.0,4508.0,42.0,21.0,21.0,5,40.66666666666667,16.0,24.666666666666668,2269.0,1199.0,3468.0,1,0.25,20,0.48089834696298783,0.125,10.184930575721793,36.20000023394823,0.2800000011920929,0.0,14.14744677129719,67.32,10.67944439103206,10.052708336152136,30.10000016540289,0.21000000089406967,0.0,14.147053063081371,67.67999,10.49402771294117,4,0.1333,8.0,20.0,0.2629,0,0,0.2338,0,0.049898166,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.95,2,0.8660254037844387,-0.4999999999999998,0.0,1.0
DRON,KPNZ,2021-04-01,2021,4,17,261.0,0.26,87,1647.0,1.67,84,987,987.0,41.0,43.0,0.0881,0.0851,4,1147,1,1147.0,0,4,2322.0,2296.0,4618.0,42.0,21.0,21.0,5,40.66666666666667,16.0,24.666666666666668,2323.0,1284.7,3607.7,1,0.25,20,0.5581106265512472,0.16666666666666666,6.370972233927912,61.70000020414591,4.900000050663948,0.0006666666517655055,14.383014254603122,75.6,7.250486111972067,6.226111125175117,50.700000531971455,4.9700000286102295,0.0006805555403439535,13.850052160107428,70.56,7.156736117270258,4,0.1333,8.0,19.0,0.2629,0,0,0.2338,0,0.045592707,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.954,2,0.8660254037844387,-0.4999999999999998,0.0,0.0
HVSM,HVS,2023-04-01,2023,4,1,1378.0,0.87,463,3782.0,2.39,511,1585,1585.0,448.0,63.0,0.2921,0.3224,0,2068,1,2068.0,0,4,4231.0,4173.0,8404.0,5.0,2.5,2.5,14,21.916666666666664,12.75,9.166666666666666,10663.0,9254.0,19917.0,0,0.0,56,0.0,0.0,8.357749993302342,80.70000063627958,0.0,0.0,15.118869242403242,60.120003,9.059208303689957,8.387972481590179,88.30000039935112,0.0,0.0,14.530854163567225,59.399998,9.089778097139465,4,0.1333,10.0,17.0,0.2629,1,1,0.2338,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,1.0,0.0
ASSP,DMN,2020-04-01,2020,4,2,860.0,0.38,428,2184.0,0.96,485,2268,2268.0,445.0,40.0,0.1887,0.2138,1,2359,1,2359.0,0,4,4769.0,4768.0,9537.0,3.0,1.5,1.5,5,8.5,4.5,4.0,4768.0,4759.33,9527.33,1,0.25,20,0.7213475204444817,0.25,10.415722536838924,20.000000335276127,0.0,0.0,14.461670878281195,60.120003,11.090444775670766,10.441722439990068,20.000000335276127,0.0,0.0,14.461670878281195,60.120003,11.11644468696581,4,0.1333,8.0,19.0,0.2629,0,1,0.2338,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.0,1.0
DVC,HON,2020-04-01,2020,4,15,592.0,0.67,381,337.0,0.38,178,878,878.0,178.0,0.0,0.4339,0.2027,0,939,1,939.0,0,4,1917.0,1801.0,3718.0,19.0,9.5,9.5,4,22.0,11.0,11.0,1918.0,1917.0,3835.0,0,0.0,16,0.0,0.0,10.72405554379026,16.000000230968,0.0,0.0,12.960002808935112,63.0,11.097736167079873,10.935930837364868,21.800000071525574,0.0,0.0,12.80293086949322,63.0,11.743708670180705,4,0.1333,8.0,19.0,0.2629,0,1,0.2338,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.0,0.0
HM,HMH,2024-04-01,2024,4,1,581.0,0.64,279,1883.0,2.08,307,907,907.0,262.0,45.0,0.3076,0.3385,0,930,1,930.0,0,8,4703.0,4531.0,9234.0,12.0,6.0,6.0,4,3.0,1.5,1.5,1854.0,1854.0,3708.0,0,0.0,32,0.0,0.0,10.727083343329529,105.0000002682209,1.1900000125169754,0.0,15.65764256881343,71.64,10.817569509148598,10.727083343329529,105.0000002682209,1.1900000125169754,0.0,15.65764256881343,71.64,10.817569509148598,2,0.0667,8.0,21.0,0.2629,1,1,0.2338,1,0.0011025359,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.999,2,0.8660254037844387,-0.4999999999999998,1.0,0.0
PT,EML,2022-04-01,2022,4,5,1003.0,0.94,448,2657.0,2.49,165,1066,1066.0,120.0,45.0,0.4203,0.1548,12,1120,1,1120.0,0,4,2238.0,2256.0,4494.0,12.0,6.0,6.0,4,9.0,4.5,4.5,2279.0,2251.0,4530.0,0,0.0,16,0.0,0.0,8.960750085146477,52.80000004917383,4.899999991059303,0.00334722215257999,15.907993716994921,93.96,9.43554178153475,8.902249958511028,52.80000004917383,4.899999991059303,0.00334722215257999,15.907993716994921,93.96,9.377041640008489,4,0.1333,9.0,18.0,0.2629,0,0,0.2338,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.0,1.0
RAI,ASDZ,2020-04-01,2020,4,1,279.0,0.14,110,48965.0,24.97,939,1961,1961.0,127.0,812.0,0.0561,0.4788,184,2573,1,2573.0,0,4,4989.0,4845.0,9834.0,4.0,2.0,2.0,12,21.333333333333332,10.666666666666666,10.666666666666666,14904.0,11941.0,26845.0,1,0.14285714285714285,48,0.48089834696298783,0.125,10.292888751227615,20.10000016540289,0.0,0.0,13.681403834289975,60.479996,10.950735915866163,10.299388853258764,20.10000016540289,0.0,0.0,13.681403834289975,60.479996,10.957236073580052,4,0.1333,8.0,19.0,0.2629,1,1,0.2338,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.0,1.0
ZLW,DDZD,2020-04-01,2020,4,14,1605.0,0.87,759,2510.0,1.37,489,1835,1835.0,440.0,49.0,0.4136,0.2665,53,2115,1,2115.0,0,8,4328.0,4313.0,8641.0,26.25,11.75,14.5,4,29.0,7.5,21.5,4287.0,2172.0,6459.0,1,0.14285714285714285,32,0.43429448190325176,0.1,11.325013899347848,19.500000230968,0.0,0.0,13.23429701609744,61.199997,11.914944482925865,11.197041504509333,20.700000166893005,0.0,0.0,13.638004150407182,62.639996,11.725305386715466,4,0.1333,8.0,19.0,0.2629,1,1,0.2338,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.0,0.0
STZ,ST,2020-04-01,2020,4,1,571.0,0.53,320,535.0,0.49,160,1081,1081.0,155.0,5.0,0.296,0.148,0,1124,1,1124.0,0,4,2281.0,2281.0,4562.0,7.0,3.5,3.5,4,2.0,1.0,1.0,2281.0,2281.0,4562.0,0,0.0,16,0.0,0.0,10.851236280674735,18.700000181794167,0.0,0.0,12.970353366848496,60.839996,11.615264024668269,10.805735959128166,18.700000181794167,0.0,0.0,12.970353366848496,60.839996,11.569763686425157,4,0.1333,8.0,19.0,0.2629,0,0,0.2338,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.0,0.0
