source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,count_delayed_services_3min,total_services,monthly_true_total_services,monthly_pure_delay_count,monthly_cancellation_count,ratio_departure_delayed,ratio_arrival_delayed,ratio_arrival_delayed_3min,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,target_absolute,target_threshold_month_relative,target_relative,target_schedule_adherence,target_regulatory_punctuality,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
KRG,KBD,2024-03-01,2024,3,7,1898.0,1.55,596,8757.0,7.16,752,336,1223,1223.0,535.0,217.0,0.4873,0.6149,0.2747,14,1750,1,1750.0,0,4,3457.0,3462.0,6919.0,13.0,6.5,6.5,4,10.0,5.0,5.0,3462.0,3462.0,6924.0,0,0.0,16,0.0,0.0,8.733674899886788,76.00000064074993,0.0,0.0,16.989182614221225,66.96,8.766985820087417,8.753016417793438,81.10000115633011,0.0,0.0,15.254247899411665,62.279995,8.664254638099413,2,0.0645,10.0,20.0,0.263,1,1,0.2364,1,0.6149,0.2747,0.729354,0.0,0.0,0.00081766146,0.729,0.0,0.0,0.001,0.27,2,1.0,6.123233995736766e-17,0.4235769212245941,0.2680390179157257
ASN,BL,2024-03-01,2024,3,16,593.0,0.54,291,1836.0,1.69,322,67,1089,1089.0,282.0,40.0,0.2672,0.2957,0.0615,7,1141,1,1141.0,0,8,4604.0,3862.0,8466.0,73.46666666666667,34.8,38.666666666666664,4,30.0,15.0,15.0,2281.0,2281.0,4562.0,1,0.16666666666666666,32,0.7213475204444817,0.25,7.95343204199626,43.30000060796738,1.1899999901652336,0.0,14.819118939530641,70.92,7.790174961731861,8.047632794115255,40.000000171363354,0.6300000101327896,0.0,15.208365929078607,67.67999,8.00725592706919,2,0.0645,10.0,20.0,0.263,1,1,0.2364,1,0.2957,0.0615,0.061524335,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.938,2,1.0,6.123233995736766e-17,0.3750678300857544,0.19500064849853516
EST,AH,2024-03-01,2024,3,11,24.0,1.26,12,24.0,1.26,12,1,19,19.0,12.0,0.0,0.6316,0.6316,0.0526,0,19,1,19.0,0,7,3371.0,3291.0,6662.0,14.25,7.25,7.0,13,22.857142857142858,12.0,10.857142857142858,7907.0,8240.0,16147.0,2,0.2222222222222222,91,2.0640299754485754,0.7,8.84778783218697,55.800000339746475,0.6999999955296516,0.0,13.588134896787308,73.079994,8.7806949580181,8.596329987169435,51.80000039190054,5.179999873042107,0.0,13.932958875177366,70.2,8.520286921697542,2,0.0645,10.0,20.0,0.263,1,1,0.2364,1,0.6316,0.0526,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1.0,6.123233995736766e-17,0.20322799682617188,0.44005414843559265
AMRN,AMR,2024-03-01,2024,3,1,938.0,0.45,415,6305.0,3.05,552,218,2066,2066.0,387.0,165.0,0.2009,0.2672,0.1055,0,2295,1,2295.0,0,4,4716.0,4665.0,9381.0,7.0,3.5,3.5,6,12.0,6.0,6.0,4647.0,5593.0,10240.0,0,0.0,24,0.0,0.0,8.223474014976624,54.00000049173832,0.07000000029802322,0.0,18.899561962561524,80.28,8.329126766841473,8.223474014976624,54.00000049173832,0.07000000029802322,0.0,18.899561962561524,80.28,8.329126766841473,2,0.0645,10.0,20.0,0.263,1,1,0.2364,1,0.2672,0.1055,0.5425944,0.0,0.0,0.0,0.543,0.0,0.0,0.0,0.457,2,1.0,6.123233995736766e-17,0.3778642416000366,0.47209060192108154
HLM,HLMS,2023-03-01,2023,3,1,975.0,0.51,383,6808.0,3.55,490,227,1918,1918.0,301.0,189.0,0.1997,0.2555,0.1184,164,2376,1,2376.0,0,12,9084.17,10887.83,19972.0,14.666666666666666,7.333333333333333,7.333333333333333,4,8.0,4.0,4.0,4767.0,4723.0,9490.0,0,0.0,48,0.0,0.0,6.616074831868004,98.90000082552433,9.02999997138977,0.002611036280804335,20.201364357851716,91.079994,6.485523024766955,6.668074721031763,98.90000082552433,9.02999997138977,0.002611036280804335,20.201364357851716,91.079994,6.537522900313099,0,0.0,8.0,23.0,0.263,0,1,0.2364,1,0.2555,0.1184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,6.123233995736766e-17,0.2974338233470917,0.3600510060787201
OW,RS,2022-03-01,2022,3,11,723.0,0.61,302,5581.0,4.69,337,198,1191,1191.0,174.0,163.0,0.2536,0.283,0.1662,0,1233,1,1233.0,0,4,2460.0,2378.0,4838.0,12.0,6.0,6.0,4,17.0,8.5,8.5,2460.0,2460.0,4920.0,0,0.0,16,0.0,0.0,7.050376208198243,12.400000125169754,1.1900000125169754,0.0,11.816089196689678,45.719997,7.213835162718556,7.192557838653912,11.10000005364418,0.9799999892711639,0.0,11.778121048958113,47.16,7.4527193550145805,0,0.0,8.0,23.0,0.263,1,1,0.2364,1,0.283,0.1662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,6.123233995736766e-17,0.2526608109474182,0.1845449060201645
YPB,VB,2020-03-01,2020,3,4,622.0,0.34,408,20303.0,11.24,489,386,1807,1807.0,120.0,369.0,0.2258,0.2706,0.2136,1,1821,1,1821.0,0,4,3621.0,3636.0,7257.0,9.0,4.5,4.5,3,7.5,3.5,4.0,3621.0,1800.0,5421.0,0,0.0,12,0.0,0.0,6.547996812335856,52.80000028014183,0.0,0.0,19.30628419467931,81.36,6.946112590073577,6.6369328441883,49.800000466406345,0.07000000029802322,0.0,21.012392904925314,85.67999,7.036529089849377,0,0.0,9.0,22.0,0.263,1,1,0.2364,1,0.2706,0.2136,0.0,0.0,0.0,0.0044272277,0.0,0.0,0.0,0.004,0.996,2,1.0,6.123233995736766e-17,0.2885686159133911,0.36420944333076477
YPB,VB,2021-03-01,2021,3,4,674.0,0.56,429,1891.0,1.57,183,67,1203,1203.0,135.0,48.0,0.3566,0.1521,0.0557,2,1866,1,1866.0,0,4,3708.0,3708.0,7416.0,9.0,4.5,4.5,3,7.5,3.5,4.0,3708.0,1842.0,5550.0,0,0.0,12,0.0,0.0,6.282855478811052,55.30000064522028,0.0,0.0,16.34142640445627,98.27999,6.3790869834365305,6.363110432113003,61.40000069141388,0.0,0.0,17.84777311593655,103.67999,6.5135142182277,0,0.0,8.0,23.0,0.263,0,0,0.2364,0,0.1521,0.0557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,6.123233995736766e-17,0.17172984778881073,0.27244308590888977
BET,EHS,2022-03-01,2022,3,9,1609.0,0.7,585,5116.0,2.24,649,227,2283,2283.0,528.0,121.0,0.2562,0.2843,0.0994,66,2322,1,2322.0,0,4,5492.0,5492.0,10984.0,19.0,9.5,9.5,4,10.0,5.0,5.0,5492.0,5094.0,10586.0,0,0.0,16,0.0,0.0,7.266325075043964,10.200000181794167,0.49000000208616257,0.0,11.2224564354962,46.8,7.45966288844477,7.26981220372312,12.100000143051147,1.8899999558925629,0.0,10.734984495076645,46.44,7.52694545563907,0,0.0,8.0,23.0,0.263,1,1,0.2364,1,0.2843,0.0994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,6.123233995736766e-17,0.2675786018371582,0.25537750124931335
DDZD,ZLW,2022-03-01,2022,3,14,1527.0,0.7,749,6689.0,3.05,320,217,2195,2195.0,126.0,194.0,0.3412,0.1458,0.0989,1,2187,1,2187.0,0,3,4336.0,2187.0,6523.0,21.5,7.5,14.0,6,21.333333333333332,10.666666666666666,10.666666666666666,4349.0,4343.0,8692.0,0,0.0,18,0.0,0.0,7.479502656144838,9.900000110268593,1.4000000357627869,0.00022880214831790566,12.624815298522625,50.039997,7.810054475413999,7.473568765168275,9.400000117719173,0.9100000113248825,9.421264930737291e-05,12.10033304116928,49.32,7.750419429702681,0,0.0,8.0,23.0,0.263,0,0,0.2364,0,0.1458,0.0989,0.014123007,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.986,2,1.0,6.123233995736766e-17,0.21782676875591278,0.35364624857902527
