source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,count_delayed_services_3min,total_services,monthly_true_total_services,monthly_pure_delay_count,monthly_cancellation_count,ratio_departure_delayed,ratio_arrival_delayed,ratio_arrival_delayed_3min,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,target_absolute,target_threshold_month_relative,target_relative,target_schedule_adherence,target_regulatory_punctuality,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
EKZ,BKF,2019-05-01,2019,5,3,126.0,0.1,53,4290.0,3.51,98,98,1222,1222.0,0.0,98.0,0.0434,0.0802,0.0802,16,1290,1,1290.0,0,1,0.0,1290.0,1290.0,3.0,0.0,3.0,3,3.0,2.0,1.0,2514.0,1290.0,3804.0,0,0.0,3,0.0,0.0,11.52425015485415,39.40000060200691,0.0,0.0,17.4443811309594,65.159996,12.903147905103621,11.53724983430678,39.40000060200691,0.0,0.0,17.4443811309594,65.159996,12.91614765826092,1,0.0323,8.0,22.0,0.263,0,0,0.23745,0,0.0802,0.0802,0.9762684,0.0,0.0,0.0,0.976,0.0,0.0,0.0,0.024,2,0.49999999999999994,-0.8660254037844387,0.05251626670360565,0.2461550533771515
AMFS,AVAT,2023-05-01,2023,5,3,691.0,0.59,200,2519.0,2.16,244,100,1164,1164.0,186.0,58.0,0.1718,0.2096,0.0859,17,1165,1,1165.0,0,4,4402.0,4448.0,8850.0,6.0,3.0,3.0,4,8.0,4.0,4.0,2309.0,3339.0,5648.0,0,0.0,16,0.0,0.0,13.07349213605286,68.50000022351742,0.0,0.0,12.604339931520723,52.56,13.88652979173968,13.086491934714779,68.50000022351742,0.0,0.0,12.604339931520723,52.56,13.899529579506126,3,0.0968,8.0,21.0,0.263,0,1,0.23745,0,0.2096,0.0859,0.0017182131,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.998,2,0.49999999999999994,-0.8660254037844387,0.46234795451164246,0.47122499346733093
BKG,HKS,2023-05-01,2023,5,4,208.0,0.16,81,5601.0,4.34,217,188,1291,1291.0,36.0,181.0,0.0627,0.1681,0.1456,30,1446,1,1446.0,0,4,2815.0,2816.0,5631.0,5.0,2.5,2.5,4,13.0,6.5,6.5,2816.0,2816.0,5632.0,0,0.0,16,0.0,0.0,12.66677184771466,56.60000067949295,0.0,0.0,17.45316706774055,69.84,13.818586276423547,12.673271277899383,56.60000067949295,0.0,0.0,17.45316706774055,69.84,13.82508578864477,3,0.0968,8.0,21.0,0.263,0,0,0.23745,0,0.1681,0.1456,0.98373353,0.0,0.0,0.0,0.984,0.0,0.0,0.0,0.016,2,0.49999999999999994,-0.8660254037844387,0.23408932983875275,0.26428574323654175
BSMZ,HVSM,2024-05-01,2024,5,4,2220.0,1.31,778,7123.0,4.21,900,297,1693,1693.0,744.0,156.0,0.4595,0.5316,0.1754,1,1951,1,1951.0,0,4,3933.0,3923.0,7856.0,5.0,2.5,2.5,5,13.5,11.0,2.5,3941.0,3925.0,7866.0,0,0.0,20,0.0,0.0,15.364333116880028,138.90000016242266,0.0,0.0,11.91579532070506,50.76,15.93610732401571,15.344833720114924,138.90000016242266,0.0,0.0,11.91579532070506,50.76,15.916607995187082,3,0.0968,8.0,21.0,0.263,1,1,0.23745,1,0.5316,0.1754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.49999999999999994,-0.8660254037844387,0.44235342741012573,0.46745067834854126
GVMW,GV,2019-05-01,2019,5,1,1680.0,0.89,761,6956.0,3.68,716,191,1888,1888.0,607.0,109.0,0.4031,0.3792,0.1012,1,1904,1,1904.0,0,4,3779.0,3779.0,7558.0,3.0,1.5,1.5,15,36.55555555555556,20.88888888888889,15.666666666666666,11477.5,7694.0,19171.5,0,0.0,60,0.0,0.0,11.318951604507303,39.000000193715096,0.0,0.0,15.450247505018789,67.32,12.807594085893323,11.279951960489313,39.000000193715096,0.0,0.0,15.450247505018789,67.32,12.76859450083907,1,0.0323,8.0,22.0,0.263,1,1,0.23745,1,0.3792,0.1012,0.0,0.0,0.0,0.000529661,0.0,0.0,0.0,0.001,0.999,2,0.49999999999999994,-0.8660254037844387,0.22244855761528015,0.18305349349975586
HR,SWK,2021-05-01,2021,5,24,666.0,0.67,403,2586.0,2.61,184,87,989,989.0,111.0,73.0,0.4075,0.186,0.088,0,1068,1,1068.0,0,7,4360.0,3243.0,7603.0,34.083333333333336,18.75,15.333333333333334,7,40.25,23.25,17.0,4258.0,3376.0,7634.0,1,0.14285714285714285,49,1.4426950408889634,0.5,10.46446758652887,142.1000008508563,0.0,0.0,15.49831191250073,90.36,11.127773999847392,10.604339006286795,110.80000092089176,0.0,0.0,15.024748818207813,93.6,11.10373421093469,3,0.0968,10.0,19.0,0.263,0,0,0.23745,0,0.186,0.088,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.49999999999999994,-0.8660254037844387,0.28068220615386963,0.5069047212600708
RB,KBD,2022-05-01,2022,5,3,957.0,0.78,286,8357.0,6.84,481,307,1221,1221.0,258.0,223.0,0.2342,0.3939,0.2514,0,1185,1,1185.0,0,4,2382.0,2382.0,4764.0,19.0,9.5,9.5,4,10.0,5.0,5.0,2382.0,2382.0,4764.0,0,0.0,16,0.0,0.0,14.737163973751889,43.29999999701977,0.0,0.0,13.034248483597592,58.32,16.26229840517044,14.629809291772945,38.500000230968,0.0,0.0,13.529388958167646,63.0,16.014217745873236,1,0.0323,9.0,21.0,0.263,1,1,0.23745,1,0.3939,0.2514,0.7403767,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.26,2,0.49999999999999994,-0.8660254037844387,0.2926727533340454,0.32172513008117676
KRG,KBD,2019-05-01,2019,5,7,860.0,0.76,464,3783.0,3.35,419,95,1130,1130.0,348.0,71.0,0.4106,0.3708,0.0841,6,1132,1,1132.0,0,4,2248.0,2252.0,4500.0,13.0,6.5,6.5,4,10.0,5.0,5.0,2256.0,2252.0,4508.0,0,0.0,16,0.0,0.0,11.855193376541138,47.700000554323196,0.0,0.0,15.09162566366215,69.479996,13.130394941376101,12.067443817533473,51.10000053793192,0.0,0.0,14.293727967607719,68.4,13.215158835534126,1,0.0323,8.0,22.0,0.263,1,1,0.23745,1,0.3708,0.0841,0.99911505,0.0,0.0,0.00088495575,0.999,0.0,0.0,0.001,0.0,2,0.49999999999999994,-0.8660254037844387,0.14488738775253296,0.12236525118350983
AMRN,HWD,2019-05-01,2019,5,6,2246.0,0.96,697,9001.0,3.86,603,315,2330,2330.0,430.0,173.0,0.2991,0.2588,0.1352,1,2321,1,2321.0,0,4,4694.0,4668.0,9362.0,7.0,3.5,3.5,6,17.333333333333332,8.666666666666666,8.666666666666666,4685.0,4576.0,9261.0,0,0.0,24,0.0,0.0,10.949298735908283,26.800000198185444,0.0,0.0,16.225922450903923,62.639996,12.293855123622443,11.057094368883359,27.100000247359276,0.0,0.0,14.221511026223501,58.679996,12.285521753372684,1,0.0323,8.0,22.0,0.263,0,1,0.23745,1,0.2588,0.1352,0.56866956,0.0,0.0,0.0,0.569,0.0,0.0,0.0,0.431,2,0.49999999999999994,-0.8660254037844387,0.24646922945976257,0.1471811980009079
CL,GDM,2021-05-01,2021,5,8,1209.0,0.53,602,2909.0,1.27,406,113,2292,2292.0,346.0,60.0,0.2627,0.1771,0.0493,0,2337,1,2337.0,0,4,4669.0,4668.0,9337.0,17.0,8.5,8.5,6,18.0,9.0,9.0,4667.0,4669.0,9336.0,0,0.0,24,0.0,0.0,11.066021402356444,84.30000079423189,0.0,0.0,15.34914990923097,100.079994,11.319247177852098,11.072521575356042,84.30000079423189,0.0,0.0,15.34914990923097,100.079994,11.325747361747167,3,0.0968,10.0,19.0,0.263,0,0,0.23745,0,0.1771,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.49999999999999994,-0.8660254037844387,0.11278163641691208,0.24908147752285004
