source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,count_delayed_services_3min,total_services,monthly_true_total_services,monthly_pure_delay_count,monthly_cancellation_count,ratio_departure_delayed,ratio_arrival_delayed,ratio_arrival_delayed_3min,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,target_absolute,target_threshold_month_relative,target_relative,target_schedule_adherence,target_regulatory_punctuality,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
ASD,ASDM,2022-04-01,2022,4,4,2644.0,0.66,1061,7830.0,1.94,487,250,4034,4034.0,276.0,211.0,0.263,0.1207,0.062,468,4385,1,4385.0,0,16,10250.0,23446.5,33696.5,37.349206349206355,18.571428571428573,18.77777777777778,8,5.0,2.5,2.5,8800.17,6315.11,15115.279999999999,1,0.07692307692307693,128,0.6213349345596119,0.2,8.963944418728351,43.70000000298023,5.109999932348728,0.0026388888299051258,16.660098104344474,91.439995,9.468180516884766,9.13238914406134,47.90000066161156,4.690000042319298,0.0026388888299051258,17.426164739992885,89.27999,9.58662529042922,4,0.1333,9.0,18.0,0.263,0,0,0.2339,0,0.1207,0.062,0.002231036,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.998,2,0.8660254037844387,-0.4999999999999998,0.12312201410531998,0.26909884810447693
ASB,ASA,2024-04-01,2024,4,4,461.0,1.73,143,1224.0,4.58,157,58,267,267.0,130.0,27.0,0.5356,0.588,0.2172,9,351,1,351.0,0,14,8738.0,8196.1,16934.1,17.916666666666664,8.666666666666666,9.25,10,18.8,9.4,9.4,10234.0,9710.0,19944.0,3,0.3,140,1.235390351477864,0.26666666666666666,10.178375248114268,97.8000003695488,0.6300000175833702,0.0,18.769380096263355,75.6,10.582819727063178,10.230375296622515,97.8000003695488,0.6300000175833702,0.0,18.769380096263355,75.6,10.63481977350182,2,0.0667,8.0,21.0,0.263,1,1,0.2339,1,0.588,0.2172,0.79026216,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.21,2,0.8660254037844387,-0.4999999999999998,0.28557348251342773,0.3363306224346161
ASD,ALM,2022-04-01,2022,4,30,24.0,0.35,17,0.0,0.0,0,0,68,68.0,0.0,0.0,0.25,0.0,0.0,2,387,1,387.0,0,16,10250.0,23446.5,33696.5,37.349206349206355,18.571428571428573,18.77777777777778,13,31.214285714285715,16.714285714285715,14.5,8892.0,9394.0,18286.0,0,0.0,208,0.0,0.0,8.963944418728351,43.70000000298023,5.109999932348728,0.0026388888299051258,16.660098104344474,91.439995,9.468180516884766,9.17954158840908,44.60000044852495,3.8499999940395355,0.0027499999385327102,18.394490430752438,89.64,9.703569329364433,4,0.1333,9.0,18.0,0.263,0,0,0.2339,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.8660254037844387,-0.4999999999999998,0.07939686626195908,0.1985398530960083
ASB,UT,2024-04-01,2024,4,29,1600.0,0.62,483,15240.0,5.92,893,565,2573,2573.0,453.0,440.0,0.1877,0.3471,0.2196,5,2586,1,2586.0,0,14,8738.0,8196.1,16934.1,17.916666666666664,8.666666666666666,9.25,31,46.42436974789916,24.071428571428573,22.352941176470587,22604.260000000002,35165.0,57769.26,3,0.13043478260869565,434,1.5107490297762824,0.41111111111111115,10.178375248114268,97.8000003695488,0.6300000175833702,0.0,18.769380096263355,75.6,10.582819727063178,10.385333514834445,90.50000061094761,1.6099999099969864,0.0,17.468227198057704,75.96,10.53137519955635,2,0.0667,8.0,21.0,0.263,1,1,0.2339,1,0.3471,0.2196,0.97745824,0.0,0.0,0.0,0.977,0.0,0.0,0.0,0.023,2,0.8660254037844387,-0.4999999999999998,0.438433974981308,0.30432385206222534
DVC,HON,2022-04-01,2022,4,15,704.0,0.8,330,2016.0,2.28,253,80,885,885.0,219.0,34.0,0.3729,0.2859,0.0904,0,953,1,953.0,0,4,1954.0,1831.0,3785.0,19.0,9.5,9.5,4,22.0,11.0,11.0,1954.0,1954.0,3908.0,0,0.0,16,0.0,0.0,8.805027880105708,45.80000052601099,4.759999975562096,0.0034166665902982158,15.414648554060195,88.56,9.120375161866347,8.785028028601987,44.30000030249357,3.0099999979138374,0.0034444443674551115,14.946130912005902,84.6,9.317389146114389,4,0.1333,9.0,18.0,0.263,1,1,0.2339,1,0.2859,0.0904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.1830197125673294,0.2328616976737976
OW,RS,2020-04-01,2020,4,11,675.0,0.61,317,2194.0,1.98,231,90,1108,1108.0,174.0,57.0,0.2861,0.2085,0.0812,0,1251,1,1251.0,0,4,2479.0,2354.0,4833.0,12.0,6.0,6.0,4,17.0,8.5,8.5,2479.0,2479.0,4958.0,0,0.0,16,0.0,0.0,11.274625134729366,18.40000020712614,0.0,0.0,12.870028601379857,57.96,11.661569597075383,11.432597091897494,15.300000123679638,0.0,0.0,12.907952766120435,60.120003,11.89940260168579,4,0.1333,8.0,19.0,0.263,0,1,0.2339,0,0.2085,0.0812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.10812246799468994,0.3100263178348541
LDL,APN,2019-04-01,2019,4,14,250.0,0.25,115,1998.0,1.98,84,61,1007,1007.0,34.0,50.0,0.1142,0.0834,0.0606,0,1159,1,1159.0,0,3,3110.0,1159.0,4269.0,21.5,7.5,14.0,4,22.0,11.0,11.0,2318.0,2714.0,5032.0,0,0.0,12,0.0,0.0,10.307027849045376,29.900000371038914,0.0,0.0,14.594916150636143,68.76,10.929250093963411,10.27220852141165,29.700000405311584,0.0,0.0,14.19573032922215,64.439995,10.796305827299754,4,0.1333,8.0,20.0,0.263,0,0,0.2339,0,0.0834,0.0606,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.8660254037844387,-0.4999999999999998,0.13293856382369995,0.23018035292625427
LDL,APN,2021-04-01,2021,4,14,200.0,0.18,71,1294.0,1.15,88,35,1124,1124.0,65.0,23.0,0.0632,0.0783,0.0311,0,1180,1,1180.0,0,3,3176.0,1180.0,4356.0,21.5,7.5,14.0,4,22.0,11.0,11.0,2360.0,2768.0,5128.0,0,0.0,12,0.0,0.0,6.4246668260544535,42.60000019520521,5.320000022649765,8.333333147068819e-05,15.420216240651078,84.96,7.519527969095442,6.361791785884027,45.10000041127205,4.4100000485777855,0.0006111110974517134,14.405884621540705,75.96,7.429916832016574,4,0.1333,8.0,19.0,0.263,0,0,0.2339,0,0.0783,0.0311,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.8660254037844387,-0.4999999999999998,0.12906275689601898,0.2522435188293457
DLD,AMF,2022-04-01,2022,4,9,471.0,0.48,194,2532.0,2.57,169,66,984,984.0,124.0,45.0,0.1972,0.1717,0.0671,3,1146,1,1146.0,0,6,4611.0,4599.0,9210.0,12.0,6.0,6.0,15,46.10714285714286,23.857142857142858,22.25,11831.0,12110.0,23941.0,0,0.0,90,0.0,0.0,9.09137520779752,45.00000062584877,3.640000030398369,0.003583333273935649,15.578806299302313,92.52,9.648597460571263,9.130374948928754,45.00000062584877,3.640000030398369,0.0029027777128956384,15.578806299302313,92.52,9.687597177674373,4,0.1333,9.0,18.0,0.263,0,0,0.2339,0,0.1717,0.0671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.20218528807163239,0.17888066172599792
ALM,ALMP,2022-04-01,2022,4,2,1040.0,0.47,276,6837.0,3.08,372,209,2218,2218.0,237.0,135.0,0.1244,0.1677,0.0942,43,2304,1,2304.0,0,13,8892.0,9394.0,18286.0,31.214285714285715,16.714285714285715,14.5,4,6.0,3.0,3.0,4710.0,4709.0,9419.0,1,0.125,52,0.7213475204444817,0.25,9.17954158840908,44.60000044852495,3.8499999940395355,0.0027499999385327102,18.394490430752438,89.64,9.703569329364433,9.333958340519004,48.70000050961971,4.060000017285347,0.003027777717862692,18.4183656933407,96.479996,9.911666649497217,4,0.1333,9.0,18.0,0.263,0,0,0.2339,0,0.1677,0.0942,0.0,0.0,0.0,0.00045085663,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.2226070612668991,0.20919764041900635
