source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,count_delayed_services_3min,total_services,monthly_true_total_services,monthly_pure_delay_count,monthly_cancellation_count,ratio_departure_delayed,ratio_arrival_delayed,ratio_arrival_delayed_3min,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,target_absolute,target_threshold_month_relative,target_relative,target_schedule_adherence,target_regulatory_punctuality,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
PMR,PMO,2022-05-01,2022,5,1,710.0,0.6,257,5049.0,4.24,323,153,1192,1192.0,206.0,117.0,0.2156,0.271,0.1284,0,1207,1,1207.0,0,4,2398.0,2398.0,4796.0,2.0,1.0,1.0,4,19.0,9.5,9.5,2398.0,2344.0,4742.0,0,0.0,16,0.0,0.0,13.349018767315854,56.000000320374966,0.0,0.0,15.100076254417178,70.92,14.464207066643622,13.375018574858224,56.000000320374966,0.0,0.0,15.100076254417178,70.92,14.490206763949445,1,0.0323,9.0,21.0,0.263,1,1,0.23745,1,0.271,0.1284,0.040268455,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.96,2,0.49999999999999994,-0.8660254037844387,0.2842840552330017,0.5844452381134033
RAI,DVD,2024-05-01,2024,5,3,2356.0,1.49,650,5642.0,3.57,727,254,1579,1579.0,626.0,101.0,0.4117,0.4604,0.1609,4,1828,1,1828.0,0,4,4160.0,3829.0,7989.0,4.0,2.0,2.0,17,20.208333333333336,11.333333333333334,8.875,10107.0,9992.0,20099.0,1,0.1,68,0.5581106265512472,0.16666666666666666,15.02947013672962,149.7000002413988,0.0,0.0,12.25506011364601,54.719997,15.731486253840949,15.136516394153718,132.10000017285347,0.0,0.0,12.743481363019635,50.76,15.964204667716897,3,0.0968,8.0,21.0,0.263,1,1,0.23745,1,0.4604,0.1609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.49999999999999994,-0.8660254037844387,0.40763506293296814,0.25340354442596436
GD,LLZM,2019-05-01,2019,5,13,645.0,0.35,275,6164.0,3.38,283,161,1822,1822.0,168.0,115.0,0.1509,0.1553,0.0884,7,1819,1,1819.0,0,12,14672.0,9882.0,24554.0,33.16666666666667,16.5,16.666666666666668,4,15.0,7.5,7.5,3615.0,3615.0,7230.0,0,0.0,48,0.0,0.0,11.511798664126346,42.60000055283308,0.0,0.0,13.834475989543623,61.920002,12.713344320174187,11.40646227136735,41.200000405311584,0.0,0.0,14.029498396140914,61.920002,12.736905889485472,1,0.0323,8.0,22.0,0.263,0,0,0.23745,0,0.1553,0.0884,0.0005488474,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.999,2,0.49999999999999994,-0.8660254037844387,0.2589879333972931,0.16167689859867096
HK,BV,2022-05-01,2022,5,3,386.0,0.32,244,2143.0,1.8,163,61,1188,1188.0,110.0,53.0,0.2054,0.1372,0.0513,0,1235,1,1235.0,0,4,2540.0,2425.0,4965.0,6.0,3.0,3.0,7,13.75,7.75,6.0,2937.0,2728.0,5665.0,0,0.0,28,0.0,0.0,12.955760959015098,46.10000020265579,0.0,0.0,15.152487118157648,73.799995,14.051392704568883,12.949260753329082,46.10000020265579,0.0,0.0,15.152487118157648,73.799995,14.044892481578295,1,0.0323,9.0,21.0,0.263,0,0,0.23745,0,0.1372,0.0513,0.0008417508,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.999,2,0.49999999999999994,-0.8660254037844387,0.23282726109027863,0.22212035953998566
HFD,LEDN,2021-05-01,2021,5,24,21.0,2.33,3,155.0,17.22,7,5,9,9.0,2.0,5.0,0.3333,0.7778,0.5556,0,193,2,96.5,0,6,4665.0,7917.5,12582.5,22.666666666666668,11.333333333333334,11.333333333333334,23,39.63636363636364,21.0,18.636363636363637,13530.06,14263.24,27793.3,1,0.06666666666666667,138,0.45511961331341866,0.1111111111111111,10.68823923859545,110.50000116229057,0.0,0.0,15.111573651432991,97.92,11.070094100890621,10.667701488861473,98.000000923872,0.0,0.0,16.464050614224966,100.079994,11.317499867690508,3,0.0968,10.0,19.0,0.263,1,1,0.23745,1,0.7778,0.5556,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.49999999999999994,-0.8660254037844387,0.5744839906692505,0.19905954599380493
VTN,UTT,2019-05-01,2019,5,2,331.0,0.19,170,5795.0,3.28,258,134,1768,1768.0,142.0,116.0,0.0962,0.1459,0.0758,0,1766,1,1766.0,0,4,3561.0,2945.0,6506.0,11.0,5.5,5.5,4,4.0,2.0,2.0,3561.0,3561.0,7122.0,0,0.0,16,0.0,0.0,11.486355033933476,38.700000546872616,0.0,0.0,13.57867119757719,58.679996,12.586422226121348,11.505854944388071,38.700000546872616,0.0,0.0,13.57867119757719,58.679996,12.60592217791465,1,0.0323,8.0,22.0,0.263,0,0,0.23745,0,0.1459,0.0758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.49999999999999994,-0.8660254037844387,0.2476414293050766,0.3177618086338043
AHP,AHPR,2024-05-01,2024,5,2,733.0,0.75,312,3410.0,3.49,379,115,978,978.0,297.0,82.0,0.319,0.3875,0.1176,6,1017,1,1017.0,0,4,2032.0,2000.0,4032.0,3.0,1.5,1.5,4,5.0,2.5,2.5,2032.0,2032.0,4064.0,0,0.0,16,0.0,0.0,15.444980713628954,104.00000052154064,0.0,0.0,11.095771695497216,52.92,15.751633965840904,15.496980762609871,104.00000052154064,0.0,0.0,11.095771695497216,52.92,15.803634019308193,3,0.0968,8.0,21.0,0.263,1,1,0.23745,1,0.3875,0.1176,0.056237217,0.0,0.0,0.0,0.056,0.0,0.0,0.0,0.944,2,0.49999999999999994,-0.8660254037844387,0.3031223714351654,0.40408751368522644
DLD,STZ,2024-05-01,2024,5,6,610.0,0.7,322,821.0,0.95,434,40,868,868.0,433.0,1.0,0.371,0.5,0.0461,25,930,1,930.0,0,6,4123.0,4108.0,8231.0,12.0,6.0,6.0,4,7.0,3.5,3.5,1884.0,1884.0,3768.0,0,0.0,24,0.0,0.0,15.312604900329344,137.10000060498714,0.0,0.0,11.548026879308043,49.68,15.796207053686983,15.324903299731593,122.60000026971102,0.0,0.0,11.28610613032855,47.519997,15.698021537514142,3,0.0968,8.0,21.0,0.263,1,1,0.23745,1,0.5,0.0461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.49999999999999994,-0.8660254037844387,0.5892921686172485,0.32269251346588135
DN,HMBH,2024-05-01,2024,5,8,949.0,1.05,337,1172.0,1.29,40,39,907,907.0,1.0,39.0,0.3716,0.0441,0.043,0,930,1,930.0,0,6,2974.0,3801.0,6775.0,23.333333333333332,11.666666666666666,11.666666666666666,4,9.0,4.5,4.5,1861.0,1040.0,2901.0,1,0.25,24,0.7213475204444817,0.25,15.379628646758295,150.90000130981207,0.0,0.0,10.094842380894129,49.32,15.670757693629112,15.327363078953118,145.5000007301569,0.0,0.0,10.353899365951937,47.16,15.681731338142066,3,0.0968,8.0,21.0,0.263,0,0,0.23745,0,0.0441,0.043,0.0022050717,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.998,2,0.49999999999999994,-0.8660254037844387,0.2151569128036499,0.5375905632972717
LEDN,HAD,2020-05-01,2020,5,25,387.0,0.2,124,53650.0,27.33,1077,997,1963,1963.0,111.0,966.0,0.0632,0.5487,0.5079,129,2326,1,2326.0,0,25,13232.0,13991.0,27223.0,92.39102564102564,45.083333333333336,47.30769230769231,10,127.6,67.8,59.8,6961.0,5772.0,12733.0,1,0.05,250,0.45511961331341866,0.1111111111111111,12.894784957651169,15.700000047683716,0.0,0.0,15.331917120764652,72.36,14.60432803951284,12.713478654623032,16.100000120699406,0.0,0.0,14.806025947614383,70.56,13.897618412971497,3,0.0968,10.0,19.0,0.263,1,1,0.23745,1,0.5487,0.5079,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.49999999999999994,-0.8660254037844387,0.4629528820514679,0.5327878594398499
LEDN,HAD,2022-05-01,2022,5,25,975.0,0.49,343,13205.0,6.59,627,439,2005,2005.0,266.0,361.0,0.1711,0.3127,0.219,104,2298,1,2298.0,0,21,14371.0,14899.0,29270.0,36.0,19.0,17.0,6,24.0,12.0,12.0,6971.0,5789.0,12760.0,0,0.0,126,0.0,0.0,13.326975797132778,50.59999977052212,0.0,0.0,14.394640149007882,71.28,14.689610303409639,13.251449148821575,53.900000400841236,0.0,0.0,14.08649156691246,70.2,14.131758220734135,1,0.0323,9.0,21.0,0.263,1,1,0.23745,1,0.3127,0.219,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.49999999999999994,-0.8660254037844387,0.28470873832702637,0.26325884461402893
