TrainPeriod,TestPeriod,TrueLabels,Predictions,Probabilities
2024-01,2024-01,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1]","[0.21715924039983794, 0.6683605857892055, 0.9216013908282034, 0.7395330711775435, 0.9101809841889632, 0.8652819694285132, 0.8556743664803534, 0.4684527728513178, 0.37513758666212094, 0.6696196765817137, 0.5492239608913912, 0.4685566725424918, 0.7682272479172969, 0.6676613837683406, 0.5158888616796676, 0.12431317280258625, 0.774574496688349, 0.6855007026441995, 0.43810473395735605, 0.07981728468469448, 0.3027640334616143, 0.6655640836457332, 0.5065046139196172, 0.8274605677697631, 0.7146039594379354, 0.9194330248118653, 0.38785107736731295, 0.2090646054068401, 0.7801178364104592, 0.9440970669289809, 0.8252381849610719, 0.131889341217572, 0.3321657846462279, 0.7021104432632728, 0.6996153789774526, 0.4165556831687207, 0.7503304193347479, 0.2570830402746247, 0.6800769142155209, 0.8461975173526396, 0.7754321963968416, 0.6530000385361165, 0.7814206167239836, 0.6005810865016561, 0.8445577695004626, 0.889972051874806, 0.34505130333374606, 0.6740780818406655, 0.6895114951432544, 0.14618189085591765, 0.8069880657261601, 0.821257343308445, 0.7225361110865172, 0.7752908865193596, 0.28136036324286673, 0.7648452249213845, 0.7158501080290133, 0.700757942909626, 0.38096575916464104, 0.9707374024211488, 0.9135453112605519, 0.9163804004109893, 0.7036549023801536, 0.6266441639440702, 0.760882442709451, 0.5927651706444633, 0.7302373019700594, 0.3941655908510251, 0.7546948980306112, 0.8082373702501146, 0.2670380501846679, 0.39135123868320487, 0.7470311746888892, 0.8787447065282217, 0.6783821695877988, 0.8210687511966019, 0.48969760339832574, 0.8647822190137506, 0.8487912200930605, 0.8173682324244298, 0.2955609041371234, 0.5236247609336411, 0.21305072264838326, 0.7244153568724817, 0.8076817730465218, 0.25267276808952, 0.773964222406775, 0.8339135049720039, 0.07700111669579576, 0.8176972381696764, 0.7759854481438672, 0.187566437288376, 0.8924903103577028, 0.052925382929694065, 0.14863907925732367, 0.16069588336210827, 0.8250118188681628, 0.41485850998415164, 0.9285340044514414, 0.6583200033102052, 0.6993482274905842, 0.43896021956639036, 0.6220045327455639, 0.801987042991289, 0.6926053597315338, 0.8635797356804115, 0.21091766775668178, 0.7185465721358325, 0.6213750283697284, 0.2375881429565226, 0.6457475002413503, 0.5805205779021422, 0.1011992858796307, 0.8061230855658935, 0.42573532799395336, 0.12460849418185911, 0.11653481098995126, 0.16349312621805392, 0.1859498566824186, 0.14723322350282603, 0.8445270897731875, 0.8453620994384519, 0.8261337166619458, 0.869448616176325, 0.8256979724417718, 0.6719364876796751, 0.6390400413891107, 0.643430971044645, 0.6611674837392658, 0.8356535521796912, 0.5635139150302205, 0.6868007794271525, 0.6556468536651637, 0.8439481863466146, 0.20904317973948663, 0.3520200656690007, 0.44546142030342006, 0.22277685408018022, 0.8776431931489822, 0.5370504805146047, 0.8474801810352044, 0.8537468539956968, 0.6775128193443756, 0.4553870460229573, 0.9197115211185187, 0.9259726182353606, 0.7810006392859268, 0.6931211074538305, 0.6604822656484808, 0.8929230718139485, 0.8845009916588207, 0.17193874042464008, 0.7651839548508778, 0.26673652013970894, 0.36128244625346057, 0.9628613806303583, 0.6806423218091692, 0.7537807530911924, 0.7398323003577855, 0.9400962502432956, 0.5018152050337906, 0.5752119453768916, 0.599219498815612, 0.4484526552451575, 0.22705483098668944, 0.7986555840456542, 0.40681107439844594, 0.6809187033056093, 0.7334481480727357, 0.7048964056428519, 0.7608550506395643, 0.22938501953285548, 0.3434101940712424, 0.4814947288122897, 0.75589334592035, 0.2678682227963991, 0.8863675051746059, 0.8173981088169491, 0.1195798768356624, 0.8153161529630897, 0.7855664326124894, 0.9150622113614331, 0.43551476166456, 0.8955818439191614, 0.7023045869667177, 0.8889969954491954, 0.03571020490914427, 0.573426102264612, 0.8302780947765414, 0.8646172718493352, 0.37403815678073626, 0.16484390193478723, 0.1085840159516001, 0.7859922010971783, 0.19097717258307906, 0.5442547235334555, 0.5208901525030883, 0.8893915932469952, 0.8469872723800502, 0.20217853877098893, 0.5116371911305223, 0.7730418040545199, 0.767172467515151, 0.8793425447320286, 0.7558919753329779, 0.5634695397705477, 0.27073736370623075, 0.3998563392146059, 0.441733025874559, 0.3085455473382549, 0.3247877530490414, 0.6682480494938707]"
2024-01,2024-02,"[1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1]","[1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0]","[0.7716140561731478, 0.8473645445298841, 0.9747525639121879, 0.4959980196513145, 0.12431317280258625, 0.805842037065976, 0.677801431356699, 0.5121060528145601, 0.798282161524167, 0.04694627183638051, 0.04625003753634251, 0.8484237491410294, 0.5581579391548879, 0.9529482675658301, 0.7428679414334493, 0.7558723018976474, 0.9678798401206988, 0.33227890361650414, 0.1478648956604278, 0.7305450510781917, 0.2223342590714846, 0.43802285013983766, 0.07419138931930351, 0.3616616279448545, 0.8653464039405516, 0.6387824979321858, 0.8099865853022192, 0.6727486325245503, 0.43001340823221157, 0.8053744767997821, 0.3014071460112808, 0.140309053043084, 0.5678141395821136, 0.6851146604447385, 0.6876742507285208, 0.38785107736731295, 0.1412056464919002, 0.7384905412119291, 0.4660548844177703, 0.2980302495864825, 0.3721735028289973, 0.6469747320633431, 0.7140730024114428, 0.8348877412698635, 0.5958094951134107, 0.8428432991976387, 0.3821531150900348, 0.7581399213366361, 0.8301656030267168, 0.7078903036897034, 0.4037815171708519, 0.6394272274448943, 0.5945591660380648, 0.8081501789626601, 0.5934371663792902, 0.6550540402314481, 0.5577798948874787, 0.951361935581235, 0.8302780947765414, 0.5586324785861229, 0.28891786314277096, 0.681793459978145, 0.06760404198322849, 0.07312358442428785, 0.3618290742246353, 0.20855230675851302, 0.6360056251464158, 0.8407992297617101, 0.15973712748878224, 0.9595236796055664, 0.5920326821644647, 0.8762151815029912, 0.5546929830921975, 0.4069811765523238, 0.6933044671742172, 0.9341844011941464, 0.13083491102894773, 0.1187168246974503, 0.4995553344688197, 0.45776742206602533, 0.7575522850922769, 0.9020012717668613, 0.9197115211185187, 0.6827341402845223, 0.9004793693732943, 0.6773147738048035, 0.772596780575799, 0.11005120178208493, 0.7853257338710044, 0.9054080480202559, 0.9214011600018217, 0.8909274979775281, 0.5660022172047968, 0.5436010363680958, 0.9313665193075923, 0.7488144695084692, 0.12108924055560225, 0.9000548263602586, 0.9072358140386795, 0.4523446167685745, 0.4170742144149044, 0.8008183351565437, 0.9095882622264837, 0.9522301904767265, 0.9091864913378146, 0.7831810363970068, 0.42591044498963293, 0.6736903071458414, 0.7883098657630322, 0.7236029252085397, 0.20210446334114526, 0.3338176670027545, 0.5264787911554546, 0.7192066635988245, 0.5733058857142121, 0.7470311746888892, 0.5393537091211081, 0.8277961248620803, 0.9367598529615979, 0.9206990822856638, 0.7554474309427487, 0.5264787911554546, 0.8420302676498606, 0.772714693311313, 0.8192274007468254, 0.2239770861509265, 0.7351858783465535, 0.8263970094591413, 0.7797939562831516, 0.5436375598268257, 0.8558453075490211, 0.7474648520941456, 0.16963635871566798, 0.8751922534629255, 0.7888188310032443, 0.7815148209293068, 0.25281821396014054, 0.8350201640979611, 0.3511628683556764, 0.08691184822614306, 0.7427290871274396, 0.8361158749485456, 0.2963606676842342, 0.6166326661320102, 0.2683921250504285, 0.5799795157769942, 0.8936549202969747, 0.8626077430319149, 0.21113854280178407, 0.7695312646707377, 0.4544572310983871, 0.29146972330880005, 0.39791196618851404, 0.4455940621353425, 0.7139582769854059, 0.5683995358574578, 0.23453597747533542, 0.46488802088381964, 0.7148358255031566, 0.4976224330571104, 0.16802973444049507, 0.22332037834198298, 0.13370941202377348, 0.2759490213618213, 0.8420114010442962, 0.7533706748727762, 0.8383969127609258, 0.61923258452575, 0.5302808002085996, 0.3091658429430383, 0.22351979332180946, 0.334314776822144, 0.5226741907012545, 0.6771842487413019, 0.6605089285291472, 0.6500774628961213, 0.7341667475987906, 0.8721134527504516, 0.7364854529109012, 0.6945569376830363, 0.4124330594192134, 0.2674424231734488, 0.9060660557031309, 0.3372311516383467, 0.6429107259630462, 0.6034067081248271, 0.5369475063135725, 0.8004882822389969, 0.26789155279282995, 0.7665724518638817, 0.3889186659809575, 0.8842426829176878, 0.9440201447561779, 0.8561078682555346, 0.8694571928021264, 0.8556734808960914, 0.5278225002782068, 0.5288009885869497, 0.21199322833808248, 0.6798306183636952, 0.7936364473309017, 0.7379867977260033, 0.7028553550303128, 0.31400361817719974, 0.1296896458551929, 0.61341474506878, 0.5185543369199485, 0.4517889807824183, 0.5338163507812326, 0.40174421361619134, 0.40194734912643854, 0.4761286302498156, 0.2997110474456525, 0.28033841227856826]"
2024-02,2024-02,"[1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]","[0.5673982211279972, 0.552372866529973, 0.5429166599329914, 0.5673982211279972, 0.3508017493438514, 0.5890593498392513, 0.6385128423279842, 0.5706119041393326, 0.6342753516773617, 0.3508017493438514, 0.3364421409056865, 0.5673982211279972, 0.32618797200218, 0.5673982211279972, 0.5962024203481171, 0.5680664327168838, 0.5673982211279972, 0.4596551225084582, 0.32542734497139664, 0.6076838796760587, 0.6093121930075803, 0.5006702951912597, 0.24553758400527434, 0.5673982211279972, 0.5673982211279972, 0.47307487045344215, 0.5706119041393326, 0.5935444562687932, 0.6093121930075803, 0.5962024203481171, 0.6276414318323202, 0.24553758400527434, 0.5673982211279972, 0.3892224317552263, 0.5032540234482664, 0.47307487045344215, 0.4564021247559821, 0.5552141808241754, 0.6361132007436809, 0.6361132007436809, 0.5359556567445114, 0.5767403733715181, 0.5557042087913218, 0.4917902896337537, 0.5673982211279972, 0.5680664327168838, 0.5557042087913218, 0.5773093374453737, 0.5562721515214221, 0.6076838796760587, 0.6076838796760587, 0.5562721515214221, 0.5962024203481171, 0.5680664327168838, 0.6170136258672798, 0.5962024203481171, 0.62837041785029, 0.5541091792774255, 0.5429166599329914, 0.5673982211279972, 0.43141269653289854, 0.25765460186504513, 0.23910466654193488, 0.2262105571970039, 0.5429166599329914, 0.45186905474710176, 0.5589372344344451, 0.5673982211279972, 0.24553758400527434, 0.5673982211279972, 0.5673982211279972, 0.5706119041393326, 0.5557042087913218, 0.5680664327168838, 0.4920874696661893, 0.5673982211279972, 0.4596551225084582, 0.22943208465093556, 0.5130361560966261, 0.5673982211279972, 0.5827957023287484, 0.5547818109616472, 0.6361132007436809, 0.5706119041393326, 0.5423456866916689, 0.5680664327168838, 0.5562721515214221, 0.21928761456462323, 0.5547818109616472, 0.5547818109616472, 0.589430579503802, 0.5429166599329914, 0.3655929147370345, 0.47307487045344215, 0.5773093374453737, 0.5673982211279972, 0.5429166599329914, 0.5798864061654017, 0.5562721515214221, 0.5528219561998052, 0.5680664327168838, 0.56611932203067, 0.5552141808241754, 0.5680664327168838, 0.5429166599329914, 0.5552141808241754, 0.5429166599329914, 0.567117850493576, 0.6249502514681061, 0.5680664327168838, 0.24504331409694546, 0.3501906994369945, 0.5673982211279972, 0.5680664327168838, 0.5673982211279972, 0.497632907053403, 0.6361132007436809, 0.5528219561998052, 0.6076838796760587, 0.48763813994207106, 0.5673982211279972, 0.5673982211279972, 0.5541091792774255, 0.56611932203067, 0.5673982211279972, 0.25765460186504513, 0.4569926586834273, 0.6561489064632898, 0.552372866529973, 0.5673982211279972, 0.5673982211279972, 0.5557042087913218, 0.4564021247559821, 0.5557042087913218, 0.5680664327168838, 0.5673982211279972, 0.5673982211279972, 0.5962024203481171, 0.5673982211279972, 0.1971095226104043, 0.56611932203067, 0.5673982211279972, 0.4564021247559821, 0.552372866529973, 0.5760364775637244, 0.2546288441626145, 0.5641895917944464, 0.5962024203481171, 0.552372866529973, 0.5680664327168838, 0.5562721515214221, 0.31907763150040147, 0.5680664327168838, 0.33827143315190394, 0.47719070892196197, 0.5706119041393326, 0.34501616922909883, 0.33827143315190394, 0.589430579503802, 0.5706119041393326, 0.31907763150040147, 0.3361889719528505, 0.35602046249280045, 0.3361889719528505, 0.5673982211279972, 0.5152294418156801, 0.6361132007436809, 0.5562721515214221, 0.47307487045344215, 0.47307487045344215, 0.43141269653289854, 0.2895104428787631, 0.5562721515214221, 0.40057166933456795, 0.5673982211279972, 0.47307487045344215, 0.5680664327168838, 0.5680664327168838, 0.5706119041393326, 0.5798864061654017, 0.3655929147370345, 0.3655929147370345, 0.5641895917944464, 0.39235645975592176, 0.5504168296949389, 0.552372866529973, 0.552372866529973, 0.5641895917944464, 0.5641895917944464, 0.22712354074369542, 0.5573445660937628, 0.5562721515214221, 0.6361132007436809, 0.5706119041393326, 0.5673982211279972, 0.5706119041393326, 0.5673982211279972, 0.5673982211279972, 0.3302198030107664, 0.5139944906894149, 0.5562721515214221, 0.6292253757126052, 0.5673982211279972, 0.47307487045344215, 0.21928761456462323, 0.5673982211279972, 0.5641895917944464, 0.47307487045344215, 0.34501616922909883, 0.552372866529973, 0.3361889719528505, 0.552372866529973, 0.552372866529973, 0.31907763150040147]"
