TrainPeriod,TestPeriod,TrueLabels,Predictions,Probabilities
2024-01-01,2024-01-01,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]","[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]","[0.4321738913867724, 0.5677493897201712, 0.45001677675253643, 0.4321738913867724, 0.5982508386145506, 0.45001677675253643, 0.4099739020715041, 0.4099739020715041, 0.4321738913867724, 0.4099739020715041, 0.4099739020715041, 0.5346004493543774, 0.40323126159424727, 0.4117453202942777, 0.5982508386145506, 0.5982508386145506, 0.5662730576442838, 0.449143560477899, 0.619546741724843, 0.35749680217229324, 0.6173447077072581, 0.45001677675253643, 0.45001677675253643, 0.45001677675253643, 0.406976051998839, 0.48165467366274384, 0.4117453202942777, 0.406976051998839, 0.5346004493543774, 0.555445894356593, 0.4099739020715041, 0.4471464312703128, 0.5982508386145506, 0.4274432956814943, 0.619546741724843, 0.5818049130573, 0.5346004493543774, 0.5818049130573, 0.5982508386145506, 0.7749437178431282, 0.4321738913867724, 0.5818049130573, 0.7749437178431282, 0.6392104396629624, 0.406976051998839, 0.619546741724843, 0.5818049130573, 0.4321738913867724, 0.5435337998344929, 0.35892351902442593, 0.6173447077072581, 0.5818049130573, 0.48165467366274384, 0.4321738913867724, 0.4117453202942777, 0.48165467366274384, 0.5818049130573, 0.555445894356593, 0.4117453202942777, 0.48165467366274384, 0.7749437178431282, 0.4099739020715041, 0.4099739020715041, 0.4099739020715041, 0.5662730576442838, 0.6173447077072581, 0.45001677675253643, 0.4117453202942777, 0.4117453202942777, 0.6042106858109282, 0.4117453202942777, 0.4471464312703128, 0.4321738913867724, 0.6207005558556634, 0.406976051998839, 0.4099739020715041, 0.4471464312703128, 0.5662730576442838, 0.7749437178431282, 0.4321738913867724, 0.406976051998839, 0.4321738913867724, 0.5435337998344929, 0.35892351902442593, 0.5818049130573, 0.40323126159424727, 0.5186015529769237, 0.5346004493543774, 0.45001677675253643, 0.6384090485031482, 0.449143560477899, 0.4471464312703128, 0.45001677675253643, 0.4099739020715041, 0.619546741724843, 0.35892351902442593, 0.40323126159424727, 0.449143560477899, 0.619546741724843, 0.35749680217229324, 0.6384090485031482, 0.406976051998839, 0.449143560477899, 0.5186015529769237, 0.619546741724843, 0.5982508386145506, 0.41707060090856746, 0.619546741724843, 0.619546741724843, 0.5982508386145506, 0.449143560477899, 0.5818049130573, 0.5982508386145506, 0.40323126159424727, 0.5186015529769237, 0.4099739020715041, 0.4099739020715041, 0.4099739020715041, 0.4321738913867724, 0.4117453202942777, 0.5818049130573, 0.6207005558556634, 0.4321738913867724, 0.7749437178431282, 0.35749680217229324, 0.7749437178431282, 0.4471464312703128, 0.5818049130573, 0.4471464312703128, 0.4260775231312063, 0.5818049130573, 0.449143560477899, 0.6392104396629624, 0.449143560477899, 0.5662730576442838, 0.449143560477899, 0.5818049130573, 0.6392104396629624, 0.5818049130573, 0.6207005558556634, 0.5818049130573, 0.5346004493543774, 0.45001677675253643, 0.5435337998344929, 0.5982508386145506, 0.4471464312703128, 0.5186015529769237, 0.6207005558556634, 0.5982508386145506, 0.6207005558556634, 0.5435337998344929, 0.5818049130573, 0.6392104396629624, 0.406976051998839, 0.40323126159424727, 0.5662730576442838, 0.48165467366274384, 0.5435337998344929, 0.5435337998344929, 0.4471464312703128, 0.4321738913867724, 0.4321738913867724, 0.4117453202942777, 0.4099739020715041, 0.4321738913867724, 0.48165467366274384, 0.7749437178431282, 0.449143560477899, 0.4099739020715041, 0.40323126159424727, 0.7749437178431282, 0.4099739020715041, 0.5346004493543774, 0.5982508386145506, 0.5982508386145506, 0.4321738913867724, 0.7749437178431282, 0.7749437178431282, 0.5662730576442838, 0.406976051998839, 0.35892351902442593, 0.5818049130573, 0.4321738913867724, 0.7749437178431282, 0.4099739020715041, 0.40323126159424727, 0.406976051998839, 0.5818049130573, 0.48165467366274384, 0.555445894356593, 0.5818049130573, 0.40323126159424727, 0.4274432956814943, 0.4117453202942777, 0.6384090485031482, 0.5186015529769237, 0.4321738913867724, 0.555445894356593, 0.5346004493543774, 0.4471464312703128, 0.5818049130573, 0.5435337998344929, 0.7749437178431282, 0.4260775231312063, 0.5818049130573, 0.6042106858109282, 0.4321738913867724, 0.4321738913867724, 0.5818049130573, 0.5818049130573, 0.555445894356593, 0.6173447077072581]"
2024-01-01,2024-02-01,"[1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1]","[0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]","[0.4471464312703128, 0.5982508386145506, 0.47412566586515587, 0.4117453202942777, 0.6207005558556634, 0.5435337998344929, 0.35749680217229324, 0.5677493897201712, 0.5435337998344929, 0.5435337998344929, 0.35749680217229324, 0.5346004493543774, 0.35749680217229324, 0.5662730576442838, 0.6207005558556634, 0.5186015529769237, 0.5662730576442838, 0.4321738913867724, 0.4471464312703128, 0.48165467366274384, 0.6392104396629624, 0.5818049130573, 0.40323126159424727, 0.5818049130573, 0.4117453202942777, 0.35749680217229324, 0.4117453202942777, 0.449143560477899, 0.6207005558556634, 0.5435337998344929, 0.619546741724843, 0.4117453202942777, 0.5677493897201712, 0.45001677675253643, 0.4321738913867724, 0.5662730576442838, 0.4321738913867724, 0.4099739020715041, 0.35749680217229324, 0.40323126159424727, 0.619546741724843, 0.5982508386145506, 0.4260775231312063, 0.45001677675253643, 0.45001677675253643, 0.4099739020715041, 0.45001677675253643, 0.5435337998344929, 0.449143560477899, 0.449143560477899, 0.4099739020715041, 0.449143560477899, 0.7749437178431282, 0.5186015529769237, 0.40323126159424727, 0.4099739020715041, 0.7749437178431282, 0.5662730576442838, 0.4321738913867724, 0.4471464312703128, 0.40323126159424727, 0.7749437178431282, 0.4117453202942777, 0.4321738913867724, 0.35749680217229324, 0.4321738913867724, 0.45001677675253643, 0.45001677675253643, 0.5662730576442838, 0.7749437178431282, 0.6173447077072581, 0.6173447077072581, 0.45001677675253643, 0.35749680217229324, 0.48165467366274384, 0.35749680217229324, 0.45001677675253643, 0.4321738913867724, 0.6207005558556634, 0.6173447077072581, 0.45001677675253643, 0.4099739020715041, 0.5982508386145506, 0.5982508386145506, 0.5818049130573, 0.5435337998344929, 0.4099739020715041, 0.5818049130573, 0.5662730576442838, 0.4099739020715041, 0.5677493897201712, 0.449143560477899, 0.4321738913867724, 0.4321738913867724, 0.35749680217229324, 0.5346004493543774, 0.7749437178431282, 0.449143560477899, 0.4471464312703128, 0.5818049130573, 0.45001677675253643, 0.5662730576442838, 0.5982508386145506, 0.4099739020715041, 0.4471464312703128, 0.5982508386145506, 0.5982508386145506, 0.6207005558556634, 0.45001677675253643, 0.4117453202942777, 0.40323126159424727, 0.40323126159424727, 0.4471464312703128, 0.4471464312703128, 0.4117453202942777, 0.4321738913867724, 0.40323126159424727, 0.4471464312703128, 0.619546741724843, 0.4471464312703128, 0.5662730576442838, 0.4117453202942777, 0.4471464312703128, 0.4471464312703128, 0.7749437178431282, 0.45001677675253643, 0.45001677675253643, 0.48165467366274384, 0.619546741724843, 0.5435337998344929, 0.7749437178431282, 0.5818049130573, 0.45001677675253643, 0.5818049130573, 0.4471464312703128, 0.4471464312703128, 0.5435337998344929, 0.7749437178431282, 0.5435337998344929, 0.35749680217229324, 0.619546741724843, 0.5818049130573, 0.4099739020715041, 0.5346004493543774, 0.4099739020715041, 0.4321738913867724, 0.5662730576442838, 0.5346004493543774, 0.5186015529769237, 0.619546741724843, 0.4099739020715041, 0.45001677675253643, 0.5982508386145506, 0.5818049130573, 0.45001677675253643, 0.5346004493543774, 0.5982508386145506, 0.4099739020715041, 0.5982508386145506, 0.5677493897201712, 0.5662730576442838, 0.6207005558556634, 0.4099739020715041, 0.5982508386145506, 0.4471464312703128, 0.4321738913867724, 0.6207005558556634, 0.5662730576442838, 0.7749437178431282, 0.4321738913867724, 0.40323126159424727, 0.48165467366274384, 0.5662730576442838, 0.35749680217229324, 0.4117453202942777, 0.4321738913867724, 0.5662730576442838, 0.4099739020715041, 0.7749437178431282, 0.4099739020715041, 0.4321738913867724, 0.4321738913867724, 0.4471464312703128, 0.4117453202942777, 0.4471464312703128, 0.5818049130573, 0.35749680217229324, 0.6207005558556634, 0.5346004493543774, 0.45001677675253643, 0.4471464312703128, 0.48165467366274384, 0.5982508386145506, 0.619546741724843, 0.5346004493543774, 0.619546741724843, 0.35749680217229324, 0.4471464312703128, 0.6173447077072581, 0.5818049130573, 0.4117453202942777, 0.5982508386145506, 0.5435337998344929, 0.4321738913867724, 0.45001677675253643, 0.35749680217229324, 0.449143560477899, 0.4321738913867724, 0.5982508386145506, 0.6207005558556634, 0.5982508386145506, 0.619546741724843, 0.6173447077072581, 0.5982508386145506]"
2024-02-01,2024-02-01,"[1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1]","[0.7776763305605804, 0.5568873494714037, 0.5137295494275539, 0.5137295494275539, 0.8988916400842886, 0.5681339441827705, 0.2584139396513159, 0.7882128720379552, 0.5480549357052359, 0.7236932974097143, 0.19204512835642112, 0.36562646806485216, 0.2584139396513159, 0.682932145025265, 0.8480055956190418, 0.48743772359971316, 0.682932145025265, 0.541920540853748, 0.7678678807472661, 0.6863471460010933, 0.75757975110133, 0.4132152892425069, 0.5008872805892003, 0.555899921649186, 0.653163205268695, 0.31465950344027593, 0.5137295494275539, 0.47233203258611967, 0.8988916400842886, 0.7236932974097143, 0.8838628980780265, 0.5137295494275539, 0.7882128720379552, 0.25954447138445563, 0.2861668458016928, 0.682932145025265, 0.34117535017008904, 0.383697633599505, 0.2584139396513159, 0.4043169391355826, 0.47465838263506915, 0.5568873494714037, 0.6502345840879711, 0.48670411040493405, 0.25954447138445563, 0.41267847225746324, 0.25954447138445563, 0.5480549357052359, 0.4043169391355826, 0.4043169391355826, 0.4330887560034787, 0.4787212093807179, 0.7371071573084766, 0.75757975110133, 0.41281584974093355, 0.5469929791958541, 0.7115728565069005, 0.6155028253340843, 0.5489656710237487, 0.7826838968774762, 0.41281584974093355, 0.7371071573084766, 0.5137295494275539, 0.3141593169950937, 0.30576298452971923, 0.5489656710237487, 0.25954447138445563, 0.5048594431808869, 0.4768758760161422, 0.7371071573084766, 0.8480055956190418, 0.8480055956190418, 0.25954447138445563, 0.19204512835642112, 0.6863471460010933, 0.31465950344027593, 0.25954447138445563, 0.34117535017008904, 0.8480055956190418, 0.8480055956190418, 0.25954447138445563, 0.43326438179551974, 0.5248693664375524, 0.5248693664375524, 0.555899921649186, 0.5480549357052359, 0.43326438179551974, 0.4132152892425069, 0.6155028253340843, 0.41267847225746324, 0.7882128720379552, 0.4330887560034787, 0.2861668458016928, 0.48058532715226365, 0.19204512835642112, 0.36562646806485216, 0.7371071573084766, 0.47233203258611967, 0.37964368627667733, 0.555899921649186, 0.4238270451747528, 0.682932145025265, 0.5568873494714037, 0.2555765720391643, 0.2621855979234106, 0.5248693664375524, 0.5248693664375524, 0.8480055956190418, 0.48670411040493405, 0.7670199154402949, 0.41281584974093355, 0.5008872805892003, 0.7776763305605804, 0.5326697350666381, 0.653163205268695, 0.541920540853748, 0.4043169391355826, 0.7826838968774762, 0.9015408251586757, 0.7776763305605804, 0.4768758760161422, 0.5137295494275539, 0.37964368627667733, 0.7776763305605804, 0.3380796431488209, 0.3132185460808639, 0.5948520813374454, 0.6863471460010933, 0.9015408251586757, 0.5480549357052359, 0.7371071573084766, 0.555899921649186, 0.6502345840879711, 0.4132152892425069, 0.7776763305605804, 0.7826838968774762, 0.5480549357052359, 0.7371071573084766, 0.5681339441827705, 0.19204512835642112, 0.47465838263506915, 0.37964368627667733, 0.383697633599505, 0.36562646806485216, 0.2824865648479724, 0.34117535017008904, 0.2584139396513159, 0.36562646806485216, 0.75757975110133, 0.9015408251586757, 0.4330887560034787, 0.4376356094952948, 0.5216302718696783, 0.555899921649186, 0.5048594431808869, 0.36562646806485216, 0.5248693664375524, 0.2824865648479724, 0.5248693664375524, 0.7882128720379552, 0.6155028253340843, 0.8988916400842886, 0.43326438179551974, 0.5568873494714037, 0.2621855979234106, 0.3141593169950937, 0.8988916400842886, 0.682932145025265, 0.7371071573084766, 0.5489656710237487, 0.5008872805892003, 0.6863471460010933, 0.682932145025265, 0.30576298452971923, 0.653163205268695, 0.34117535017008904, 0.4768758760161422, 0.43326438179551974, 0.7115728565069005, 0.2824865648479724, 0.2861668458016928, 0.34117535017008904, 0.5326697350666381, 0.5137295494275539, 0.2621855979234106, 0.37964368627667733, 0.19204512835642112, 0.8480055956190418, 0.48743772359971316, 0.4238270451747528, 0.7826838968774762, 0.6863471460010933, 0.5216302718696783, 0.9015408251586757, 0.36562646806485216, 0.9015408251586757, 0.19204512835642112, 0.7678678807472661, 0.40465929898908376, 0.4132152892425069, 0.7670199154402949, 0.5568873494714037, 0.5480549357052359, 0.2861668458016928, 0.48670411040493405, 0.19204512835642112, 0.4043169391355826, 0.34117535017008904, 0.5216302718696783, 0.8480055956190418, 0.5568873494714037, 0.47465838263506915, 0.8480055956190418, 0.5216302718696783]"
