source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,XGBClassifier_TOP_pred,XGBClassifier_TOP_proba
PMO,HN,2024-10,2024,10,18,562.0,1.25,132,1335.0,2.96,151,451,0.2927,0.3348,1,688.0,1,688.0,0,4,2043.0,1715.0,3758.0,19.0,9.5,9.5,11,42.16666666666667,22.0,20.166666666666668,4305.0,5048.0,9353.0,1,0.14285714285714285,44,0.7213475204444817,0.25,12.389875627044063,0.06644295314014358,0.0,0.0,15.392777500376605,26.61052277456194,12.114707838608915,12.207422875397958,0.07315436330617674,0.0,0.0,14.21607276033235,25.292294575864037,12.215140930278189,0,0.0,8.0,23.0,0.2629,1,0.050997782,0.0,0.0,0.0,0.051,0.0,0.0,0.0,0.949,4,-0.8660254037844386,0.5000000000000001,1.0,0.9805464148521423
UT,ASA,2024-10,2024,10,33,2296.0,0.9,651,11901.0,4.67,761,2549,0.2554,0.2985,179,2914.0,1,2914.0,0,29,23736.0,36470.0,60206.0,45.01960784313725,22.666666666666668,22.352941176470587,10,18.8,9.4,9.4,10233.0,9623.0,19856.0,3,0.15789473684210525,290,1.3003603427690789,0.2992424242424242,12.150741816207066,0.06604026929044084,0.0,0.0,13.02439290317113,24.24563688143788,12.139466639013099,12.234288954254765,0.07436241707545799,0.0,0.0,13.843367655965306,24.524455656781292,12.016101063337903,0,0.0,8.0,23.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,-0.8660254037844386,0.5000000000000001,0.0,0.20923514664173126
NM,NML,2024-10,2024,10,1,1742.0,0.99,475,6190.0,3.51,575,1764,0.2693,0.326,92,1818.0,1,1818.0,0,9,5004.0,7910.0,12914.0,22.75,11.75,11.0,4,8.0,4.0,4.0,3572.0,3116.0,6688.0,1,0.16666666666666666,36,0.7213475204444817,0.25,12.252291759388559,0.09597315500246599,0.0,0.0,11.916088344746788,23.35844235356222,12.270345395363417,12.291292058701483,0.09597315500246599,0.0,0.0,11.916088344746788,23.35844235356222,12.309345841247763,0,0.0,8.0,23.0,0.2629,1,0.03514739,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.965,4,-0.8660254037844386,0.5000000000000001,1.0,0.9449401497840881
LLS,ALMO,2024-10,2024,10,16,350.0,0.28,163,1050.0,0.85,27,1233,0.1322,0.0219,88,1251.0,1,1251.0,0,10,4220.0,5243.0,9463.0,67.33333333333333,37.0,30.333333333333332,3,11.0,9.0,2.0,2599.0,1897.0,4496.0,1,0.14285714285714285,30,0.7213475204444817,0.25,12.089083658448802,0.09409395973354379,0.0,0.0,13.969207238350938,24.693583220283458,11.979553435152809,12.35772798589412,0.0821476519407842,0.0,0.0,14.825757907140975,27.346952216897236,12.287258176355554,0,0.0,8.0,23.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,-0.8660254037844386,0.5000000000000001,0.0,0.03878813609480858
NM,AH,2024-10,2024,10,19,2009.0,0.67,692,11718.0,3.92,738,2993,0.2312,0.2466,107,2919.0,1,2919.0,0,9,5004.0,7910.0,12914.0,22.75,11.75,11.0,13,22.857142857142858,12.0,10.857142857142858,8148.0,8560.0,16708.0,1,0.09090909090909091,117,0.7213475204444817,0.25,12.252291759388559,0.09597315500246599,0.0,0.0,11.916088344746788,23.35844235356222,12.270345395363417,12.034960123356557,0.09677852437200163,0.0,0.0,12.437474943947471,23.682683854455117,12.009322574794693,0,0.0,8.0,23.0,0.2629,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,-0.8660254037844386,0.5000000000000001,1.0,0.8426600098609924
LLS,ZL,2024-10,2024,10,57,1984.0,1.83,496,3938.0,3.63,429,1086,0.4567,0.395,21,1186.0,1,1186.0,0,10,4220.0,5243.0,9463.0,67.33333333333333,37.0,30.333333333333332,16,90.17460317460316,49.285714285714285,40.888888888888886,6581.17,10907.0,17488.17,1,0.07142857142857142,160,0.9102392266268373,0.3333333333333333,12.089083658448802,0.09409395973354379,0.0,0.0,13.969207238350938,24.693583220283458,11.979553435152809,12.009664435354654,0.11234899346260416,0.0,0.0,13.67554109864587,24.75736842955519,11.972617462977468,0,0.0,8.0,23.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,-0.8660254037844386,0.5000000000000001,1.0,0.7355314493179321
UT,ED,2024-10,2024,10,41,78.0,0.81,18,814.0,8.48,39,96,0.1875,0.4063,8,162.0,1,162.0,0,29,23736.0,36470.0,60206.0,45.01960784313725,22.666666666666668,22.352941176470587,9,44.1,23.5,20.6,4657.0,5230.0,9887.0,2,0.1,261,1.531574161186449,0.5333333333333333,12.150741816207066,0.06604026929044084,0.0,0.0,13.02439290317113,24.24563688143788,12.139466639013099,12.012869025556833,0.07140939630718039,0.0,0.0,12.737562722247718,24.09535495738855,11.991996458552828,0,0.0,8.0,23.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,-0.8660254037844386,0.5000000000000001,0.0,0.06050633639097214
NM,NMGO,2024-10,2024,10,3,1164.0,0.65,401,7356.0,4.13,410,1780,0.2253,0.2303,89,1926.0,1,1926.0,0,9,5004.0,7910.0,12914.0,22.75,11.75,11.0,4,5.0,2.5,2.5,3790.0,3180.0,6970.0,0,0.0,36,0.0,0.0,12.252291759388559,0.09597315500246599,0.0,0.0,11.916088344746788,23.35844235356222,12.270345395363417,12.181412969499627,0.09060402731567421,0.0,0.0,12.356592850077073,23.202361764843833,12.167050517165421,0,0.0,8.0,23.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,-0.8660254037844386,0.5000000000000001,1.0,0.7497234344482422
UT,WD,2024-10,2024,10,16,1997.0,1.04,536,4920.0,2.57,154,1917,0.2796,0.0803,59,2267.0,1,2267.0,0,29,23736.0,36470.0,60206.0,45.01960784313725,22.666666666666668,22.352941176470587,13,27.357142857142858,13.857142857142858,13.5,10461.0,10392.0,20853.0,2,0.09090909090909091,377,1.344533708530089,0.43333333333333335,12.150741816207066,0.06604026929044084,0.0,0.0,13.02439290317113,24.24563688143788,12.139466639013099,12.169389678647855,0.06912751717855466,0.0,0.0,13.371607867503327,23.844563081920548,12.127510465711556,0,0.0,8.0,23.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,-0.8660254037844386,0.5000000000000001,0.0,0.05060252547264099
LLS,ALM,2024-10,2024,10,24,1417.0,1.19,456,2995.0,2.51,365,1194,0.3819,0.3057,13,1273.0,1,1273.0,0,10,4220.0,5243.0,9463.0,67.33333333333333,37.0,30.333333333333332,16,33.25,16.625,16.625,7137.0,8205.52,15342.52,1,0.07692307692307693,160,0.7213475204444817,0.25,12.089083658448802,0.09409395973354379,0.0,0.0,13.969207238350938,24.693583220283458,11.979553435152809,12.371687728446602,0.07181208081693458,0.0,0.0,14.63244527362337,26.089126809651418,12.199741401288334,0,0.0,8.0,23.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,-0.8660254037844386,0.5000000000000001,1.0,0.9182643294334412
