source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,RandomForestClassifier_ALLF_pred,RandomForestClassifier_ALLF_proba
HTO,RS,2024-07,2024,7,6,575.0,0.5,138,3049.0,2.64,205,1154,0.1196,0.1776,0,1143,1,1143.0,0,4,2326.0,2251.0,4577.0,7.0,3.5,3.5,4,17.0,8.5,8.5,2326.0,2326.0,4652.0,0,0.0,16,0.0,0.0,18.074605402126107,0.11948924746003843,0.0,0.0,12.50791314172168,24.584031526119478,18.508207686485783,18.161174469096686,0.11491935512912209,0.0,0.0,12.519726070184861,24.957096133180844,18.579050804979058,0,0.0,8.0,23.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,-0.4999999999999997,-0.8660254037844388,1.0,0.55
AHP,AHPR,2024-07,2024,7,2,614.0,0.59,307,2815.0,2.71,350,1039,0.2955,0.3369,1,1017,1,1017.0,0,4,2032.0,2000.0,4032.0,3.0,1.5,1.5,4,5.0,2.5,2.5,2032.0,2032.0,4064.0,0,0.0,16,0.0,0.0,18.09350226002355,0.11586021595904904,0.0,0.0,12.719525342747088,25.45645099621947,18.494846310666812,18.145502313490837,0.11586021595904904,0.0,0.0,12.719525342747088,25.45645099621947,18.5468463641341,0,0.0,8.0,23.0,0.2629,1,0.051973052,0.0,0.0,0.0,0.052,0.0,0.0,0.0,0.948,3,-0.4999999999999997,-0.8660254037844388,0.0,0.31
ASSP,ASDM,2024-07,2024,7,1,1792.0,0.83,608,7870.0,3.64,743,2164,0.281,0.3433,0,2455,1,2455.0,0,6,4870.0,4862.0,9732.0,8.0,4.0,4.0,7,10.333333333333334,8.0,2.3333333333333335,8188.0,7556.0,15744.0,0,0.0,42,0.0,0.0,17.5738364829812,0.16129032328164064,0.0,0.0,13.932483237316852,26.197257333545274,18.34258644939751,17.5738364829812,0.16129032328164064,0.0,0.0,13.932483237316852,26.197257333545274,18.34258644939751,0,0.0,8.0,23.0,0.2629,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,-0.4999999999999997,-0.8660254037844388,1.0,0.85
HT,EHV,2024-07,2024,7,32,3179.0,1.4,1015,16208.0,7.13,1826,2272,0.4467,0.8037,121,3373,1,3373.0,0,14,11048.1,13229.0,24277.1,39.57142857142857,19.714285714285715,19.857142857142858,13,33.14285714285714,15.0,18.142857142857142,9790.0,12179.0,21969.0,1,0.07142857142857142,182,0.5138983423697507,0.14285714285714285,18.08760469575082,0.11948924746003843,0.0,0.0,12.50791314172168,24.584031526119478,18.52120670580095,18.519320158548254,0.12432795813086853,0.0,0.0,11.72035156014145,24.597096190016757,19.0529894867251,0,0.0,8.0,23.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,-0.4999999999999997,-0.8660254037844388,1.0,0.85
ALM,ALMM,2024-07,2024,7,1,1397.0,0.51,474,6820.0,2.51,401,2718,0.1744,0.1475,168,3354,1,3354.0,0,20,7221.33,8559.0,15780.33,43.6,21.8,21.8,4,3.0,1.5,1.5,6665.0,5208.0,11873.0,1,0.09090909090909091,80,0.7213475204444817,0.25,17.635032007771155,0.13373655936009782,0.0,0.0,14.756256030131413,27.82016046393302,18.472868023380155,17.80715334799982,0.13534946372151696,0.0,0.0,14.351454434215382,27.91983797921929,18.708430336367698,0,0.0,8.0,23.0,0.2629,0,0.0003679176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,-0.4999999999999997,-0.8660254037844388,1.0,0.67
HT,ZBM,2024-07,2024,7,13,562.0,0.48,191,1290.0,1.11,43,1161,0.1645,0.037,16,1160,1,1160.0,0,14,11048.1,13229.0,24277.1,39.57142857142857,19.714285714285715,19.857142857142858,3,20.0,11.0,9.0,3470.0,1160.0,4630.0,0,0.0,42,0.0,0.0,18.08760469575082,0.11948924746003843,0.0,0.0,12.50791314172168,24.584031526119478,18.52120670580095,18.025152999867675,0.1172043016400709,0.0,0.0,12.59255006516813,24.067741229008604,18.41897020032329,0,0.0,8.0,23.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,-0.4999999999999997,-0.8660254037844388,1.0,0.62
HDR,HDRZ,2024-07,2024,7,1,119.0,0.1,65,4410.0,3.59,139,1229,0.0529,0.1131,10,1253,1,1253.0,0,1,0.0,1253.0,1253.0,1.0,0.0,1.0,3,17.0,6.0,11.0,2541.0,1253.0,3794.0,0,0.0,3,0.0,0.0,17.218854660628946,0.11290322676781685,0.0,0.0,19.584031019159543,27.355160649745695,18.554539844553958,17.308456595226,0.14569892508969193,0.0,0.0,17.290827600065096,33.5695153016557,18.34615812122181,0,0.0,8.0,23.0,0.2629,0,0.97477627,0.0,0.0,0.0,0.975,0.0,0.0,0.0,0.025,3,-0.4999999999999997,-0.8660254037844388,0.0,0.21
HRL,STD,2024-07,2024,7,19,419.0,0.53,158,1652.0,2.07,53,798,0.198,0.0664,0,998,1,998.0,0,1,0.0,998.0,998.0,19.0,0.0,19.0,4,46.66666666666667,21.666666666666668,25.0,4454.0,2230.0,6684.0,0,0.0,4,0.0,0.0,18.50668336499122,0.1334677434035687,0.0,0.0,11.842382533095217,24.60725739438047,18.774022133119644,18.6708630951502,0.10604838754541131,0.0,0.0,11.083658299418868,23.6762896407676,19.0189142739901,0,0.0,8.0,23.0,0.2629,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,-0.4999999999999997,-0.8660254037844388,0.0,0.26
MDB,VSS,2024-07,2024,7,5,1084.0,0.84,306,10891.0,8.49,587,1283,0.2385,0.4575,6,1728,1,1728.0,0,7,4237.0,3849.0,8086.0,17.833333333333336,8.5,9.333333333333334,3,8.0,3.0,5.0,3464.0,1736.0,5200.0,1,0.2,21,1.4426950408889634,0.5,17.709121227264404,0.14637096850101344,0.0,0.0,15.324011193808689,30.319353945793644,18.369470662968133,17.696120738983154,0.14637096850101344,0.0,0.0,15.324011193808689,30.319353945793644,18.356470174686883,0,0.0,8.0,23.0,0.2629,1,0.70615745,0.0,0.0,0.0,0.706,0.0,0.0,0.0,0.294,3,-0.4999999999999997,-0.8660254037844388,1.0,0.68
LLZM,ZTMO,2024-07,2024,7,2,1281.0,0.51,395,5857.0,2.34,507,2504,0.1577,0.2025,0,2459,1,2459.0,0,4,3833.0,3815.0,7648.0,15.0,7.5,7.5,4,3.0,1.5,1.5,3834.0,3833.0,7667.0,0,0.0,16,0.0,0.0,17.57669125577455,0.169489247684357,0.0,0.0,13.646937777919154,26.22580571905259,18.272659080002896,17.557190889953286,0.169489247684357,0.0,0.0,13.646937777919154,26.22580571905259,18.253158603945085,0,0.0,8.0,23.0,0.2629,0,0.004792332,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.995,3,-0.4999999999999997,-0.8660254037844388,1.0,0.77
