source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,total_services_lag1,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,LogisticRegression_TOP_pred,LogisticRegression_TOP_proba
TB,HT,2024-10-01,2024,10,22,1788.0,0.83,591,11980.0,5.59,1051,2142,0.2759,0.4907,120,2183,1,2183.0,0,10,8409.0,6379.92,14788.92,31.6,17.8,13.8,13,40.85714285714286,21.0,19.857142857142858,9713.0,11627.0,21340.0,1.0,0.08333333333333333,130.0,0.48089834696298783,0.125,12.225620729331203,0.09020134284592315,0.0,0.0,12.36642139518021,23.596670472701923,12.26689577422686,12.232168089143382,0.09651006749212342,0.0,0.0,12.45597192197038,23.064160456593406,12.299819208311554,0,0.0,8.0,23.0,0.263,1,0.5284781,0.0,0.0,0.0,0.528,0.0,0.0,0.0,0.472,4,-0.8660254037844386,0.5000000000000001,1.0,0.841753077013604
UTG,KMA,2024-10-01,2024,10,5,1364.0,0.87,474,5538.0,3.52,213,1572,0.3015,0.1355,144,1430,1,1430.0,0,8,2358.0,3756.0,6114.0,12.5,6.25,6.25,4,7.0,3.5,3.5,2869.0,1472.0,4341.0,0.0,0.0,32.0,0.0,0.0,12.532751664539312,0.08322147674008504,0.0,0.0,15.885050605127475,27.69342215717239,12.320604026717628,12.530382184534265,0.08308724935022777,0.0,0.0,15.4761294452136,27.17879119079385,12.344878747799253,0,0.0,8.0,23.0,0.263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,-0.8660254037844386,0.5000000000000001,0.0,0.35199595797978683
HMH,HM,2024-10-01,2024,10,1,701.0,0.71,176,3016.0,3.04,235,992,0.1774,0.2369,1,875,1,875.0,0,4,1755.0,1755.0,3510.0,3.0,1.5,1.5,8,12.0,6.0,6.0,4133.0,3961.0,8094.0,0.0,0.0,32.0,0.0,0.0,12.307265192070263,0.11449664412128846,0.0,0.0,11.795561019686245,22.65245575968851,12.311023669914912,12.307265192070263,0.11449664412128846,0.0,0.0,11.795561019686245,22.65245575968851,12.311023669914912,0,0.0,8.0,23.0,0.263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,-0.8660254037844386,0.5000000000000001,1.0,0.5778425760490203
AVAT,NKK,2024-10-01,2024,10,5,1177.0,1.03,415,4954.0,4.32,515,1148,0.3615,0.4486,23,970,1,970.0,0,4,1958.0,2759.0,4717.0,8.0,4.0,4.0,6,17.0,7.666666666666667,9.333333333333334,1988.0,1988.0,3976.0,0.0,0.0,24.0,0.0,0.0,12.064966450441604,0.07181208145698445,0.0,0.0,13.08896924393289,23.788026112998093,11.9659060241392,12.058466262945393,0.07181208145698445,0.0,0.0,13.08896924393289,23.788026112998093,11.959405818401567,0,0.0,8.0,23.0,0.263,1,0.00087108015,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.999,4,-0.8660254037844386,0.5000000000000001,1.0,0.5836054836501618
UTG,ZD,2024-10-01,2024,10,13,47.0,0.68,23,45.0,0.65,22,69,0.3333,0.3188,0,6,2,3.0,0,8,2358.0,3756.0,6114.0,12.5,6.25,6.25,13,23.761904761904763,12.333333333333334,11.428571428571429,8067.0,8241.5,16308.5,1.0,0.1,104.0,0.6213349345596119,0.2,12.532751664539312,0.08322147674008504,0.0,0.0,15.885050605127475,27.69342215717239,12.320604026717628,12.136866081801037,0.08228187983068044,0.0,0.0,13.230330501306778,23.72182486873345,11.984181619810578,0,0.0,8.0,23.0,0.263,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,-0.8660254037844386,0.5000000000000001,0.0,0.477274280646651
GS,BZL,2024-10-01,2024,10,5,632.0,0.54,245,4240.0,3.6,290,1178,0.208,0.2462,0,1155,1,1155.0,0,8,2972.0,2977.0,5949.0,38.0,19.0,19.0,4,11.0,5.5,5.5,2285.0,2284.0,4569.0,0.0,0.0,32.0,0.0,0.0,12.779436328427103,0.07758389316349222,0.0,0.0,15.018637941347672,27.123703962684477,12.6781611020133,12.78593635751097,0.07758389316349222,0.0,0.0,15.018637941347672,27.123703962684477,12.684661243745945,0,0.0,8.0,23.0,0.263,0,0.7037352,0.0,0.0,0.0,0.704,0.0,0.0,0.0,0.296,4,-0.8660254037844386,0.5000000000000001,0.0,0.3591889505960165
AMFS,AMF,2024-10-01,2024,10,3,1810.0,0.7,666,8560.0,3.31,763,2585,0.2576,0.2952,25,2816,1,2816.0,0,4,3508.0,3786.0,7294.0,6.0,3.0,3.0,17,47.02777777777778,24.25,22.77777777777778,10515.11,10409.0,20924.11,0.0,0.0,68.0,0.0,0.0,12.051966769263249,0.07181208145698445,0.0,0.0,13.08896924393289,23.788026112998093,11.95290641528648,12.152174432485696,0.06832214816904708,0.0,0.0,13.08858158068369,24.833717435478363,12.10640266405656,0,0.0,8.0,23.0,0.263,1,0.28974855,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.71,4,-0.8660254037844386,0.5000000000000001,1.0,0.8123572642198572
BZL,GS,2024-10-01,2024,10,5,2220.0,1.89,707,5834.0,4.98,801,1172,0.6032,0.6834,1,1131,1,1131.0,0,4,2285.0,2284.0,4569.0,11.0,5.5,5.5,8,38.0,19.0,19.0,2972.0,2977.0,5949.0,0.0,0.0,32.0,0.0,0.0,12.78593635751097,0.07758389316349222,0.0,0.0,15.018637941347672,27.123703962684477,12.684661243745945,12.779436328427103,0.07758389316349222,0.0,0.0,15.018637941347672,27.123703962684477,12.6781611020133,0,0.0,8.0,23.0,0.263,1,0.6825939,0.0,0.0,0.0,0.683,0.0,0.0,0.0,0.317,4,-0.8660254037844386,0.5000000000000001,1.0,0.7823130801596347
BZL,KRG,2024-10-01,2024,10,6,520.0,0.44,184,4263.0,3.62,291,1178,0.1562,0.247,0,1153,1,1153.0,0,4,2285.0,2284.0,4569.0,11.0,5.5,5.5,4,13.0,6.5,6.5,2281.0,2295.0,4576.0,0.0,0.0,16.0,0.0,0.0,12.78593635751097,0.07758389316349222,0.0,0.0,15.018637941347672,27.123703962684477,12.684661243745945,12.79893601692763,0.07758389316349222,0.0,0.0,15.018637941347672,27.123703962684477,12.697660833397167,0,0.0,8.0,23.0,0.263,0,0.7037352,0.0,0.0,0.0,0.704,0.0,0.0,0.0,0.296,4,-0.8660254037844386,0.5000000000000001,1.0,0.5567764382571609
VNDW,VNDC,2024-10-01,2024,10,1,1345.0,1.18,680,3194.0,2.8,709,1140,0.5965,0.6219,0,1103,1,1103.0,0,4,2232.0,2232.0,4464.0,15.0,7.5,7.5,3,5.5,4.5,1.0,2232.0,1129.0,3361.0,0.0,0.0,12.0,0.0,0.0,12.101533739998837,0.06751677909953482,0.0,0.0,13.053200117373626,24.160589981399127,12.055493484087439,12.150057226219433,0.06979865821815977,0.0,0.0,12.482435614790692,23.692831546348213,12.132204932654464,0,0.0,8.0,23.0,0.263,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,-0.8660254037844386,0.5000000000000001,0.0,0.3720924399094748
